"County","Min","Median","Mean","Max","Recent"
"ACCOMACK",0.00183317687440842,0.00677259771329275,0.00587917438213392,0.00813832522754176,0.00813832522754176
"ALBEMARLE",0.00847539377508237,0.0150028023815968,0.0152644335125701,0.0225767355120043,0.0132639265034435
"AMELIA",0.156517368210626,0.781115050524543,0.828149794642512,1.59385170931034,0.156517368210626
"APPOMATTOX",0.130008476323566,0.623535767301964,0.835808464270335,1.96615384615385,1.96615384615385
"AUGUSTA",0.00984085705716917,0.0256328131237238,0.0227624023901741,0.0299431262560794,0.0299431262560794
"BEDFORD",0.00353346857332363,0.00425301533953674,0.00754333135284038,0.0181338261589644,0.00378342897325878
"BOTETOURT",0.0104070329992627,0.018111497822041,0.01693522144975,0.0211108571556554,0.0104070329992627
"BRUNSWICK",0.00464038536425312,0.0316540271539601,0.0390368999428195,0.0881991600991045,0.00464038536425312
"BUCKINGHAM",0.0214758668757623,0.0754699878982943,0.0649309948321412,0.0873081366562139,0.0873081366562139
"CAMPBELL",0.0102516714216397,0.0279963206464212,0.0248408646795238,0.0331191460036133,0.0102516714216397
"CAROLINE",0.00512157540786531,0.00548162997420983,0.00875425649571907,0.0189321906265913,0.00512157540786531
"CARROLL",0.0451017772418498,0.0778075311089579,0.0956636855254822,0.181937902642163,0.0451017772418498
"CHARLES CITY",0.012638250871686,0.0316709445446914,0.0509568991114689,0.127847456484807,0.0173591146007223
"CHARLOTTE",0.504864875902274,0.589815529340968,0.6476888298428,0.906259384786992,0.504864875902274
"CHESAPEAKE CITY",0.0061355472667951,0.0115872033622329,0.0221347952273839,0.0592292269182745,0.0105615958412741
"CHESTERFIELD",0.000203794051903265,0.000521905712744963,0.000497795069039028,0.00074357479876292,0.000367698547612114
"CLARKE",0.0612291100683296,0.107856158244277,0.117861659627997,0.194505211955105,0.0748992987774311
"CRAIG",0.00630966049224509,0.0136535674611684,0.0344608994824389,0.104226802515174,0.00841557871734766
"CULPEPER",0.0311918778038399,0.0584302093817795,0.0640405982434123,0.108110096406251,0.0838892217812801
"DINWIDDIE",0.0806469985337519,0.317255697941475,0.329122318135738,0.601330878126248,0.0806469985337519
"FAIRFAX",0.000699578282478353,0.000934808923303813,0.00113148593802035,0.00195674762299542,0.000906183223513732
"FAUQUIER",0.0755184469332041,0.0972314826388122,0.100010921740144,0.130062274749746,0.0926950191423968
"FLOYD",0.849638217756975,2.09986750772718,1.97608683393241,2.85497410251831,0.849638217756975
"FLUVANNA",0.0334518574658625,0.0478320597307016,0.055980607900104,0.0948064546731503,0.0334518574658625
"FRANKLIN",0.0793022932788412,0.121616066597561,0.156618864236313,0.303941030471288,0.0883449484102265
"FREDERICK",0.0040577779462351,0.0259751976085834,0.0455374999545977,0.126141826654989,0.0040577779462351
"GILES",0.000321733517423094,0.000572842517390239,0.000558366175584369,0.000766046150133904,0.000534503876924174
"GLOUCESTER",0.013645662153742,0.0547519454928568,0.0479597279345684,0.0686893585988178,0.013645662153742
"GOOCHLAND",0.0106241146132433,0.0174014844919405,0.0164193796932339,0.0202504351758113,0.015028093157001
"GRAYSON",0.141411901785966,0.485380597966211,0.445051367741363,0.668032373247063,0.141411901785966
"GREENE",0.0498937959352461,0.0840913589296862,0.0782246195536142,0.094821964419838,0.0498937959352461
"HALIFAX",0.0345865394941297,0.0800149973465591,0.0923271359195564,0.174692009490978,0.0345865394941297
"HANOVER",0.0295805878436347,0.0613261111231121,0.0664765896672566,0.113673548579167,0.0641910795544113
"HENRICO",0.000364827144813799,0.00127310896848091,0.0120172007982222,0.0451577581111131,0.00143685474347229
"HENRY",0.00300461350307133,0.00908271216632126,0.00982674403697421,0.018136938312183,0.00599663015457618
"ISLE OF WIGHT",0.00016209877545847,0.00133177871885283,0.00117720848286312,0.00188317771828833,0.00188317771828833
"JAMES CITY",0.00137396969129725,0.00221068737806314,0.00255006137470232,0.00440490105138574,0.00440490105138574
"KING AND QUEEN",0.0291968356127648,0.0417265663392808,0.0658187958470658,0.150625215096937,0.0432846326086859
"KING WILLIAM",0,0.00115777181235977,0.000890959919329659,0.0012482960525991,0.00118435950719806
