"","County","County_Code","Total.Irri.Area","Irr.Area.Under.TH","Facility_withdrawal_mg","PPT","Irrigation","Vol_Unreported","C_tot","Method1_Unreported"
"1","ACCOMACK",1,5079,58,3309.034629,325.98,436,26.93,0.01,33.09034629
"2","ALBEMARLE",3,783,113,4644.929236,250.08,512,61.61,0.01,46.44929236
"3","AMELIA",7,205,19,59.993342,297.94,464,9.39,0.16,9.59893472
"4","AMHERST",9,176,23,6120.38967,264.25,498,12.2,0,0
"5","APPOMATTOX",11,24,24,6.5,262.29,500,12.78,1.97,12.805
"6","AUGUSTA",15,2550,199,3502.974242,267.19,495,104.89,0.03,105.08922726
"7","BEDFORD",19,51,51,6874.71608,283.18,479,26.01,0,0
"8","BLAND",21,801,4,68.0126,256.15,506,2.16,0.03,2.040378
"9","BOTETOURT",23,10,10,532.332318,242.11,520,5.54,0.01,5.32332318
"10","BRUNSWICK",25,2115,6,588.313208,333.93,428,2.73,0,0
"11","BUCKINGHAM",29,65,19,121.18,239.07,523,10.58,0.09,10.9062
"12","CAMPBELL",31,313,40,2235.73299,224.4,538,22.92,0.01,22.3573299
"13","CAROLINE",33,3411,19,1675.265776,337.88,424,8.58,0.01,16.75265776
"14","CARROLL",35,597,16,182.032738,280.39,482,8.21,0.05,9.1016369
"15","CHARLES CITY",36,1376,15,389.420783,339.03,423,6.76,0.02,7.78841566
"16","CHARLOTTE",37,534,94,97.947,268.04,494,49.45,0.5,48.9735
"17","CHESTERFIELD",41,75,28,36089.345705,317.01,445,13.27,0,0
"18","CLARKE",43,143,34,237.3854,270.91,491,17.78,0.07,16.616978
"19","CRAIG",45,115,19,1247.68603,243.33,519,10.5,0.01,12.4768603
"20","CULPEPER",47,615,167,1074.750702004,255.33,507,90.16,0.08,85.98005616032
"21","CUMBERLAND",49,167,23,5.11825,219.8,542,13.27,2.59,13.2562675
"22","DINWIDDIE",53,1578,27,156.484435,323.25,439,12.62,0.08,12.5187548
"23","ESSEX",57,3,3,440.214291,304.12,458,1.46,0,0
"24","FAIRFAX",59,60,60,32642.405236,299.07,463,29.58,0,0
"25","FAUQUIER",61,452,217,1176.654377,289.97,472,109.07,0.09,105.89889393
"26","FLOYD",63,182,122,79.81044,240.31,522,67.81,0.85,67.838874
"27","FLUVANNA",65,79,18,311.791356,217.59,544,10.43,0.03,9.35374068
"28","FRANKLIN",67,441,107,448.80891,413.52,348,39.65,0.09,40.3928019
"29","FREDERICK",69,38,15,1937.0207301,269.65,492,7.86,0,0
"30","GILES",71,27,27,25126.104,294.61,467,13.43,0,0
"31","GLOUCESTER",73,13,13,486.601524,282.46,480,6.64,0.01,4.86601524
"32","GOOCHLAND",75,112,20,732.627878,245.12,517,11.01,0.02,14.65255756
"33","GRAYSON",77,160,21,74.95833,287.67,474,10.6,0.14,10.4941662
"34","GREENE",79,24,24,229.48745,314.34,448,11.45,0.05,11.4743725
"35","GREENSVILLE",81,5,5,729.41545,332.42,430,2.29,0,0
"36","HALIFAX",83,1061,52,730.0528,306.49,456,25.25,0.03,21.901584
"37","HANOVER",85,3569,179,1365.921879,302.35,460,87.68,0.06,81.95531274
"38","HENRICO",87,28,28,9402.4814,309.16,453,13.51,0,0
"39","HENRY",89,43,14,1227.356,268.15,494,7.36,0.01,12.27356
"40","ISLE OF WIGHT",93,934,37,7678.510562,395.49,367,14.46,0,0
"41","JAMES CITY",95,40,27,3185.0885721,273.6,488,14.03,0,0
"42","KING AND QUEEN",97,1221,37,423.2449,297.21,465,18.32,0.04,16.929796
"43","KING WILLIAM",101,1618,17,7126.21459,296.25,466,8.44,0,0
"44","LANCASTER",103,12,12,177.555194,342.73,419,5.35,0.03,5.32665582
"45","LEE",105,32,32,870.482,351.04,411,14.01,0.02,17.40964
"46","LOUDOUN",107,392,242,4344.775718,293.73,468,120.6,0.03,130.34327154
"47","LOUISA",109,215,90,264.1097,246.28,516,49.45,0.19,50.180843
"48","LUNENBURG",111,1408,15,189.453,306.44,456,7.28,0.04,7.57812
"49","MADISON",113,80,67,65.750999,296.25,466,33.25,0.51,33.53300949
"50","MATHEWS",115,10,10,4.953694,274.9,487,5.19,1.05,5.2013787
"51","MECKLENBURG",117,4163,101,717.926693,323.14,439,47.21,0.07,50.25486851
"52","MIDDLESEX",119,270,26,92.475447,318.98,443,12.27,0.13,12.02180811
"53","MONTGOMERY",121,323,36,9659.7504,261.1,501,19.21,0,0
"54","NELSON",125,1016,66,1035.72252,249.6,512,35.98,0.03,31.0716756
"55","NEW KENT",127,271,18,6832.186418,303.81,458,8.78,0,0
"56","NORTHAMPTON",131,5857,8,883.160583,286.89,475,4.05,0,0
"57","NOTTOWAY",135,44,44,392.2,271.51,490,22.96,0.06,23.532
"58","ORANGE",137,214,39,638.69024,279.31,483,20.06,0.03,19.1607072
"59","PAGE",139,108,20,658.17335,252.41,510,10.86,0.02,13.163467
"60","PATRICK",141,213,77,232.381726,315.62,446,36.57,0.16,37.18107616
"61","PITTSYLVANIA",143,1492,78,929.003341,314.63,447,37.13,0.04,37.16013364
"62","POWHATAN",145,63,16,69.956393,278.17,484,8.25,0.12,8.39476716
"63","PRINCE EDWARD",147,14,14,428.133855,257.96,504,7.51,0.02,8.5626771
"64","PRINCE WILLIAM",153,943,34,25403.4781039,298.57,463,16.76,0,0
"65","PULASKI",155,28,28,1598.12,232.42,530,15.8,0.01,15.9812
"66","RAPPAHANNOCK",157,61,61,12.237,286.95,475,30.85,2.52,30.83724
"67","RICHMOND",159,29,16,102.71097,293.6,468,7.97,0.08,8.2168776
"68","ROANOKE",161,71,71,4181.9055,286.85,475,35.91,0.01,41.819055
"69","ROCKBRIDGE",163,83,40,670.42992,263.72,498,21.21,0.03,20.1128976
"70","ROCKINGHAM",165,5526,282,8875.608445,275.33,487,146.24,0.02,177.5121689
"71","SCOTT",169,13,13,415.799,317.51,444,6.15,0.01,4.15799
"72","SHENANDOAH",171,893,99,2336.51783,260.5,502,52.92,0.02,46.7303566
"73","SMYTH",173,28,28,2062.959199,317.14,445,13.27,0.01,20.62959199
"74","SOUTHAMPTON",175,1624,14,2809.935864,397.15,365,5.44,0,0
"75","SPOTSYLVANIA",177,96,27,4081.041726,323.44,439,12.62,0,0
"76","STAFFORD",179,10,10,4400.723,283.35,479,5.1,0,0
"77","SURRY",181,929,10,119.07845,337.31,425,4.53,0.04,4.763138
"78","SUSSEX",183,699,15,541.786839,368.46,394,6.29,0.01,5.41786839
"79","WARREN",187,10,10,3619.16156,242.86,519,5.53,0,0
"80","WASHINGTON",191,122,51,3971.443,319.35,443,24.06,0.01,39.71443
"81","WESTMORELAND",193,882,111,436.639511,327.94,434,51.3,0.12,52.39674132
"82","WISE",195,27,15,2262.56029,349.44,413,6.6,0,0
"83","WYTHE",197,18,18,2789.952249,244.4,518,9.93,0,0
"84","YORK",199,11,11,6494.847647,300.68,461,5.4,0,0
"85","CHESAPEAKE CITY",550,72,57,1982.654924,416.67,345,20.94,0.01,19.82654924
"86","SUFFOLK CITY",800,585,60,35939.419179,390.7,371,23.7,0,0
"87","VIRGINIA BEACH CITY",810,315,65,10503.862962,430.3,332,22.98,0,0
