"Year","County_Code","name","PPT","Irrigation","Max_UnderTh","Unreported_Irrigation_based"
2002,3,"ALBEMARLE",249.55,512,168,91.6
2002,51,"DICKENSON",303.83,458,12,5.85
2002,49,"CUMBERLAND",174.03,588,27,16.91
2002,85,"HANOVER",170.63,591,278,174.95
2002,81,"GREENSVILLE",268.68,493,9,4.72
2002,5,"ALLEGHANY",220.71,541,11,6.34
2002,165,"ROCKINGHAM",211.37,551,350,205.36
2002,171,"SHENANDOAH",237.71,524,125,69.75
2002,145,"POWHATAN",177.67,584,32,19.9
2002,175,"SOUTHAMPTON",296.08,466,90,44.66
2002,139,"PAGE",231.87,530,47,26.53
2002,133,"NORTHUMBERLAND",215.27,547,10,5.82
2002,75,"GOOCHLAND",187.49,575,32,19.59
2002,65,"FLUVANNA",225.19,537,61,34.88
2002,95,"JAMES CITY",169.8,592,27,17.02
2002,63,"FLOYD",204.98,557,196,116.25
2002,149,"PRINCE GEORGE",228.06,534,8,4.55
2002,77,"GRAYSON",287.24,475,77,38.95
2002,131,"NORTHAMPTON",204.19,558,48,28.52
2002,137,"ORANGE",237.63,524,53,29.57
2002,79,"GREENE",279.71,482,47,24.12
2002,195,"WISE",308.96,453,15,7.24
2002,183,"SUSSEX",297.29,465,25,12.38
2002,87,"HENRICO",175.58,586,49,30.58
2002,101,"KING WILLIAM",174.97,587,17,10.63
2002,103,"LANCASTER",211.98,550,12,7.03
2002,187,"WARREN",238.84,523,70,38.98
2002,9,"AMHERST",194.36,568,36,21.77
2002,155,"PULASKI",212.68,549,28,16.37
2002,19,"BEDFORD",241.49,521,159,88.21
2002,173,"SMYTH",315.77,446,66,31.35
2003,67,"FRANKLIN",322.8,439,242,113.13
2003,37,"CHARLOTTE",415.76,346,202,74.43
2003,99,"KING GEORGE",346.12,416,34,15.06
2003,135,"NOTTOWAY",440.16,322,55,18.86
2003,25,"BRUNSWICK",424.95,337,126,45.22
2003,161,"ROANOKE",442.56,319,82,27.85
2003,36,"CHARLES CITY",439.57,322,21,7.2
2003,550,"CHESAPEAKE CITY",422.84,339,189,68.23
2003,11,"APPOMATTOX",465.04,297,81,25.62
2003,73,"GLOUCESTER",461.72,300,58,18.53
2003,47,"CULPEPER",411.32,351,167,62.42
2003,105,"LEE",368.35,394,204,85.59
2003,193,"WESTMORELAND",383.56,378,122,49.11
2003,143,"PITTSYLVANIA",499.2,263,211,59.09
2003,117,"MECKLENBURG",424.11,338,236,84.94
2003,121,"MONTGOMERY",441.4,321,41,14.01
2003,89,"HENRY",527.6,234,40,9.97
2003,93,"ISLE OF WIGHT",406.02,356,44,16.68
2003,169,"SCOTT",448.2,314,180,60.19
2003,167,"RUSSELL",506.87,255,118,32.04
2003,59,"FAIRFAX",398.5,364,101,39.15
2003,31,"CAMPBELL",435.97,326,130,45.13
2003,157,"RAPPAHANNOCK",462.52,299,95,30.25
2003,23,"BOTETOURT",462.08,300,77,24.6
2003,197,"WYTHE",419.88,342,55,20.03
2003,43,"CLARKE",422.72,339,94,33.93
2003,83,"HALIFAX",465.17,297,223,70.53
2003,800,"SUFFOLK CITY",344.61,417,109,48.4
2003,113,"MADISON",476.75,285,72,21.85
2003,163,"ROCKBRIDGE",427.69,334,59,20.98
2003,810,"VIRGINIA BEACH CITY",426.34,336,65,23.26
2003,15,"AUGUSTA",447,315,199,66.75
2003,45,"CRAIG",427.08,335,30,10.7
2003,181,"SURRY",413.95,348,65,24.09
2003,159,"RICHMOND",433,329,21,7.36
2003,153,"PRINCE WILLIAM",375.98,386,89,36.58
2003,199,"YORK",456.99,305,41,13.32
2003,7,"AMELIA",404.26,358,109,41.55
2003,119,"MIDDLESEX",458.62,303,26,8.39
2003,109,"LOUISA",403.25,359,90,34.41
2003,111,"LUNENBURG",415.3,347,61,22.54
2003,115,"MATHEWS",450.97,311,19,6.29
2003,191,"WASHINGTON",508.84,253,155,41.76
2003,29,"BUCKINGHAM",361.27,401,26,11.1
2003,33,"CAROLINE",378.49,384,79,32.3
2003,53,"DINWIDDIE",437.53,324,115,39.68
2003,141,"PATRICK",610.09,152,134,21.69
2003,177,"SPOTSYLVANIA",317.17,445,79,37.44
2003,35,"CARROLL",557.96,204,60,13.03
2003,57,"ESSEX",403.58,358,39,14.87
2003,41,"CHESTERFIELD",414.74,347,46,17
2003,125,"NELSON",510.25,252,145,38.91
2003,147,"PRINCE EDWARD",386.74,375,60,23.96
2003,97,"KING AND QUEEN",457.34,305,64,20.79
2003,179,"STAFFORD",318.74,443,25,11.79
2003,107,"LOUDOUN",422.64,339,242,87.36
2003,71,"GILES",444.68,317,32,10.8
2003,1,"ACCOMACK",384.95,377,58,23.28
2003,127,"NEW KENT",461.13,301,18,5.77
2003,185,"TAZEWELL",434.16,328,29,10.13
2003,21,"BLAND",386.02,376,21,8.41
2003,91,"HIGHLAND",376.33,386,9,3.7
2003,61,"FAUQUIER",426.46,336,217,77.64
2003,69,"FREDERICK",379.59,382,159,64.68
2003,17,"BATH",397.41,365,19,7.38
2003,3,"ALBEMARLE",471.21,291,168,52.06
2003,51,"DICKENSON",435.47,327,12,4.18
2003,49,"CUMBERLAND",362.77,399,27,11.47
2003,85,"HANOVER",471.1,291,278,86.15
2003,81,"GREENSVILLE",347.17,415,9,3.98
2003,5,"ALLEGHANY",368.17,394,11,4.62
2003,165,"ROCKINGHAM",408.59,353,350,131.56
2003,171,"SHENANDOAH",416.07,346,125,46.06
2003,145,"POWHATAN",402.54,359,32,12.23
2003,175,"SOUTHAMPTON",371.6,390,90,37.38
2003,139,"PAGE",394.39,368,47,18.42
2003,133,"NORTHUMBERLAND",483.68,278,10,2.96
2003,75,"GOOCHLAND",365.12,397,32,13.53
2003,65,"FLUVANNA",342.75,419,61,27.22
2003,95,"JAMES CITY",427.09,335,27,9.63
2003,63,"FLOYD",469.37,293,196,61.15
2003,149,"PRINCE GEORGE",433.07,329,8,2.8
2003,77,"GRAYSON",468.35,294,77,24.11
2003,131,"NORTHAMPTON",422.18,340,48,17.38
2003,137,"ORANGE",367.23,395,53,22.29
2003,79,"GREENE",437.56,324,47,16.22
2003,195,"WISE",444.17,318,15,5.08
2003,183,"SUSSEX",403.11,359,25,9.56
2003,87,"HENRICO",467.83,294,49,15.34
2003,101,"KING WILLIAM",455.78,306,17,5.54
2003,103,"LANCASTER",447.71,314,12,4.01
2003,187,"WARREN",399.74,362,70,26.98
2003,9,"AMHERST",488.43,274,36,10.5
2003,155,"PULASKI",399.44,363,28,10.82
2003,19,"BEDFORD",505.41,257,159,43.51
2003,173,"SMYTH",487.53,274,66,19.26
2004,67,"FRANKLIN",440.7,321,242,82.72
2004,37,"CHARLOTTE",455.8,306,202,65.82
2004,99,"KING GEORGE",382.62,379,34,13.72
2004,135,"NOTTOWAY",453.91,308,55,18.04
2004,25,"BRUNSWICK",476.98,285,126,38.24
2004,161,"ROANOKE",371.41,391,82,34.14
2004,36,"CHARLES CITY",549.93,212,21,4.74
2004,550,"CHESAPEAKE CITY",546.15,216,189,43.47
2004,11,"APPOMATTOX",364.96,397,81,34.24
2004,73,"GLOUCESTER",536.93,225,58,13.9
2004,47,"CULPEPER",325.13,437,167,77.71
2004,105,"LEE",283.01,479,204,104.05
2004,193,"WESTMORELAND",493.34,269,122,34.95
2004,143,"PITTSYLVANIA",405.29,357,211,80.21
2004,117,"MECKLENBURG",449.69,312,236,78.41
2004,121,"MONTGOMERY",286.95,475,41,20.74
2004,89,"HENRY",427.37,335,40,14.27
2004,93,"ISLE OF WIGHT",530.98,231,44,10.82
2004,169,"SCOTT",320.1,442,180,84.72
2004,167,"RUSSELL",436.91,325,118,40.84
2004,59,"FAIRFAX",340.51,421,101,45.28
2004,31,"CAMPBELL",375.88,386,130,53.43
2004,157,"RAPPAHANNOCK",286.05,476,95,48.15
2004,23,"BOTETOURT",282.54,479,77,39.28
