"","Estimate","Std..Error","t.value","p.KR"
"(Intercept)",3.12352438764232,0.256181428621308,12.1926261573768,0
"PPT",-0.0738798600018148,0.0232226700420681,-3.18136802822332,0.00246530203384454
"Min_Temp",0.160943774806517,0.0180569665662871,8.91311252173464,4.47020198635073e-12
"Max_Temp",0.316050420972172,0.0332539191130943,9.50415558230315,5.47339951140202e-13
"Zero_PPT_days",0.0915724698750229,0.0266838188304651,3.43176029101479,0.00117894724491374
"Extreme_days",-0.318418098830557,0.0299981404862701,-10.614594560496,1.17683640610267e-14
"SDI",0.00529381462060142,0.0153948677253165,0.343868795436017,0.732322595668947
"GC",-0.0111983472392389,0.0253095262643712,-0.442455821664391,0.659982473975326
