"","COUNTYFP","YEAR","Total_DEQ_withdrawals","SF_Unreported_Eff_precip_method_all_counties","SF_Unreported_Coeff_method_Deq_irri_counties","DEQ_Irrigation_withdrawals","LF_Unreported_Coeff_method_Deq_irri_counties","LF_Unreported_Eff_precip_method_all_counties","Total_irrigation_withdarwals_calculated"
"1",1,2002,5389.55086,16.01,17.16,3444.534,-935.39,-1613.714,3460.544
"2",3,2002,3908.210335,32.01,NA,NA,NA,299.46,331.47
"3",5,2002,21938.65572,2.9,NA,0,NA,27.51,30.41
"4",7,2002,42.093,14.32,23.8,42.093,185.63,105.057,161.47
"5",9,2002,5863,9.03,NA,NA,NA,40.12,49.15
"6",11,2002,87.302,10.95,NA,NA,NA,13.24,24.19
"7",13,2002,84.836,NA,NA,NA,NA,NA,0
"8",15,2002,4341.0051,65.58,51.59,461.554,464.07,629.986,1157.12
"9",17,2002,4118.789482,2.21,NA,NA,NA,3.8,6.01
"10",19,2002,4864.389855,14.93,NA,NA,NA,78.9,93.83
"11",21,2002,72.718,2.57,NA,NA,NA,32.08,34.65
"12",23,2002,2906.553869,7.69,NA,NA,NA,10.01,17.7
"13",25,2002,731.753,7.98,NA,0,NA,329.22,337.2
"14",27,2002,278.16,NA,NA,NA,NA,NA,0
"15",29,2002,459.12,6.06,NA,NA,NA,11.94,18
"16",31,2002,2215.3349,30.12,NA,0,NA,130.35,160.47
"17",33,2002,2657.6773,8.09,8.6,960.526,-54.65,-259.026,968.616
"18",35,2002,168.574,6.02,NA,0,NA,160.64,166.66
"19",36,2002,291.196,4.96,4.91,268.67,38.03,185.22,458.85
"20",37,2002,116.545,29.02,NA,0,NA,159,188.02
"21",41,2002,32908.706117,11.51,12.78,55,-0.65,-19.03,66.51
"22",43,2002,259.376083,12.51,20.91,42.8,23.77,21.36,76.67
"23",45,2002,862.29,3.95,NA,NA,NA,13.09,17.04
"24",47,2002,598.094,27.77,1.48,4.11,2.05,164.06,195.94
"25",49,2002,2.622,8.18,NA,NA,NA,51.22,59.4
"26",51,2002,1571.946,2.61,NA,NA,NA,0,2.61
"27",53,2002,102.639,10.65,7.19,14.055,180.34,340.275,364.98
"28",57,2002,295.8453,6.75,6.4,140.34,-107.05,-107.05,147.09
"29",59,2002,31715.8939,18.92,22.84,14.599,-14.6,-14.599,33.519
"30",61,2002,917.868,65.55,NA,NA,NA,145.03,210.58
"31",63,2002,59.2953,41.14,NA,NA,NA,19.2,60.34
"32",65,2002,264.928204,8.14,NA,NA,NA,25.46,33.6
"33",67,2002,414.587,30.9,60.56,11.81,209.4,178.13,220.84
"34",69,2002,672.497,23.67,31.85,9,59.82,26.38,59.05
"35",71,2002,24886.2384,7.5,NA,NA,NA,0.95,8.45
"36",73,2002,445.9206,16.01,NA,NA,NA,1.16,17.17
