"Scenario","DEQ_Withdrawals","Mean_Withdarwals","Modelled_withdarwals"
"Drydata",10199.325811,8399.81732768272,10613.7915170814
"Moderate_Drydata",9438.884351,8399.81732768272,10420.3219947821
"Avgdata",9114.11790232,8399.81732768272,9481.34708185903
"Moderate_Wetdata",9874.143889,8399.81732768272,9128.22314232731
"Wetdata",4161.328412,8399.81732768272,5971.0447280912
