"Year","Min","Median","Mean","Max"
"2002",0,29.62649,46.6989813809524,174.673818
"2007",0,25.014,34.0284656848837,110.85558
"2012",0,22.6117,35.2465625870732,161.89488
"2017",0,16.72215,29.0784193821622,147.4621
