"","County","County_Code","Total.Irri.Area","Irr.Area.Under.TH","Facility_withdrawal_mg","PPT","Irrigation","Vol_Unreported","C_tot","Method1_Unreported"
"1","ACCOMACK",1,9716,17,5389.55086,215.86,546,9.88,0,0
"2","ALBEMARLE",3,1387,120,3908.210335,249.55,512,65.43,0.02,78.1642067
"3","ALLEGHANY",5,191,11,21938.65572,220.71,541,6.34,0,0
"4","AMELIA",7,886,109,42.093,183.52,578,67.09,1.59,66.92787
"5","AMHERST",9,144,36,5863,194.36,568,21.77,0,0
"6","APPOMATTOX",11,508,19,87.302,200.94,561,11.35,0.13,11.34926
"7","AUGUSTA",15,3416,184,4341.0051,183.24,579,113.45,0.03,130.230153
"8","BATH",17,109,0,4118.789482,211.17,551,0,0,0
"9","BEDFORD",19,676,159,4864.389855,241.49,521,88.21,0.02,97.2877971
"10","BLAND",21,135,21,72.718,266.76,495,11.07,0.15,10.9077
"11","BOTETOURT",23,253,77,2906.553869,219.1,543,44.52,0.02,58.13107738
"12","BRUNSWICK",25,1474,126,731.753,280.95,481,64.54,0.09,65.85777
"13","BUCKINGHAM",29,469,16,459.12,182.8,579,9.86,0.02,9.1824
"14","CAMPBELL",31,1328,130,2215.3349,231.63,530,73.37,0.03,66.460047
"15","CAROLINE",33,2272,25,2657.6773,203.9,558,14.85,0.01,26.576773
"16","CARROLL",35,785,60,168.574,281.67,480,30.67,0.18,30.34332
"17","CHARLES CITY",36,1122,21,291.196,162.91,599,13.39,0.05,14.5598
"18","CHARLOTTE",37,1454,202,116.545,271.47,491,105.62,0.91,106.05595
"19","CHESTERFIELD",41,571,35,32908.706117,164.69,597,22.25,0,0
"20","CLARKE",43,327,94,259.376083,257.98,504,50.45,0.19,49.28145577
"21","CRAIG",45,130,30,862.29,252.17,510,16.29,0.02,17.2458
"22","CULPEPER",47,589,111,598.094,214.71,547,64.66,0.11,65.79034
"23","CUMBERLAND",49,222,27,2.622,174.03,588,16.91,6.45,16.9119
"24","DINWIDDIE",53,1164,115,102.639,257.98,504,61.72,0.6,61.5834
"25","ESSEX",57,246,39,295.8453,205.9,556,23.09,0.08,23.667624
"26","FAIRFAX",59,101,101,31715.8939,185.45,577,62.06,0,0
"27","FAUQUIER",61,862,202,917.868,206.7,555,119.38,0.13,119.32284
"28","FLOYD",63,779,196,59.2953,204.98,557,116.25,1.96,116.218788
"29","FLUVANNA",65,57,24,264.928204,225.19,537,13.72,0.05,13.2464102
"30","FRANKLIN",67,1126,242,414.587,273.46,489,126.01,0.3,124.3761
"31","FREDERICK",69,520,159,672.497,261.41,501,84.83,0.13,87.42461
"32","GILES",71,193,28,24886.2384,252.49,510,15.21,0,0
"33","GLOUCESTER",73,98,51,445.9206,198.37,564,30.63,0.07,31.214442
"34","GOOCHLAND",75,101,23,695.2937,187.49,575,14.08,0.02,13.905874
"35","GRAYSON",77,619,77,67.504,287.24,475,38.95,0.58,39.15232
"36","GREENE",79,36,36,201.205732,279.71,482,18.48,0.09,18.10851588
"37","GREENSVILLE",81,734,0,647.5772,268.68,493,0,0,0
"38","HALIFAX",83,2617,82,772.2776,253.93,508,44.36,0.06,46.336656
"39","HANOVER",85,2393,278,5914.3517,170.63,591,174.95,0.03,177.430551
"40","HENRICO",87,49,49,677.181536,175.58,586,30.58,0.05,33.8590768
"41","HENRY",89,416,39,1815.299008,230.12,532,22.09,0.01,18.15299008
"42","ISLE OF WIGHT",93,791,5,16964.964678,246.5,516,2.75,0,0
"43","JAMES CITY",95,102,12,5502.30478,169.8,592,7.56,0,0
"44","KING AND QUEEN",97,743,64,261.51,184.5,578,39.39,0.15,39.2265
"45","KING GEORGE",99,3,3,761.1532,194.17,568,1.81,0,0
"46","KING WILLIAM",101,2457,15,7514.2431,174.97,587,9.38,0,0
"47","LEE",105,1374,204,597.42,232.23,530,115.13,0.19,113.5098
"48","LOUDOUN",107,3666,185,2154.691,209.01,553,108.94,0.05,107.73455
"49","LOUISA",109,365,51,199.934,266.05,496,26.94,0.13,25.99142
"50","LUNENBURG",111,1484,61,231.424,278.51,483,31.37,0.14,32.39936
"51","MADISON",113,333,72,39.538,261.94,500,38.34,0.97,38.35186
"52","MATHEWS",115,117,5,1.113,209.99,552,2.94,2.64,2.93832
"53","MECKLENBURG",117,4158,236,1132.005,244.82,517,129.93,0.11,124.52055
"54","MIDDLESEX",119,651,16,117.3,217.69,544,9.27,0.08,9.384
"55","MONTGOMERY",121,303,41,8396.0889,189.56,572,24.97,0,0
"56","NELSON",125,795,145,593.2255,200.79,561,86.62,0.15,88.983825
"57","NEW KENT",127,458,15,14967.40878,167.24,595,9.5,0,0
"58","NORTHAMPTON",131,9338,44,997.0889,204.19,558,26.14,0.03,29.912667
"59","NORTHUMBERLAND",133,38,10,73.9144,215.27,547,5.82,0.08,5.913152
"60","NOTTOWAY",135,457,32,214.159,215.41,547,18.64,0.09,19.27431
"61","ORANGE",137,1556,53,569.231,237.63,524,29.57,0.05,28.46155
"62","PAGE",139,238,14,876.3444,231.87,530,7.9,0.01,8.763444
"63","PATRICK",141,325,134,241.6111,230.32,532,75.91,0.31,74.899441
"64","PITTSYLVANIA",143,5606,211,1800.3949,237,525,117.96,0.07,126.027643
"65","POWHATAN",145,230,32,32.6476,177.67,584,19.9,0.61,19.915036
"66","PRINCE EDWARD",147,526,46,408.714,192.82,569,27.87,0.07,28.60998
"67","PRINCE WILLIAM",153,1173,10,21593.872,191.17,571,6.08,0,0
"68","PULASKI",155,320,3,1760.111,212.68,549,1.75,0,0
"69","RAPPAHANNOCK",157,335,10,14.576,222.83,539,5.74,0.39,5.68464
"70","ROANOKE",161,92,82,7430.9603,255.62,506,44.18,0.01,74.309603
"71","ROCKBRIDGE",163,700,55,1333.348511,182.33,580,33.97,0.03,40.00045533
"72","ROCKINGHAM",165,4355,174,8784.345484,211.37,551,102.09,0.01,87.84345484
"73","RUSSELL",167,251,118,1644.2773,327.72,434,54.53,0.03,49.328319
"74","SCOTT",169,637,180,380.623,281.04,481,92.2,0.24,91.34952
"75","SHENANDOAH",171,1110,36,1967.5901,237.71,524,20.09,0.01,19.675901
"76","SMYTH",173,452,38,2503.458,315.77,446,18.05,0.01,25.03458
"77","SOUTHAMPTON",175,2385,0,6068.35342,296.08,466,0,0,0
"78","SPOTSYLVANIA",177,346,40,3729.491,188.63,573,24.41,0.01,37.29491
"79","STAFFORD",179,186,22,3516.87,198.83,563,13.19,0,0
"80","SURRY",181,1472,30,136.30141,239.91,522,16.68,0.12,16.3561692
"81","SUSSEX",183,1410,16,397.3285,297.29,465,7.92,0.02,7.94657
"82","TAZEWELL",185,245,29,1763.684,294.61,467,14.42,0.01,17.63684
"83","WARREN",187,151,70,3691.9461,238.84,523,38.98,0.01,36.919461
"84","WASHINGTON",191,836,155,3081.793,372.99,389,64.21,0.02,61.63586
"85","WESTMORELAND",193,1474,122,663.730732,229.79,532,69.11,0.1,66.3730732
"86","WISE",195,28,10,2350.4953,308.96,453,4.82,0,0
"87","WYTHE",197,1061,22,1596.5893,254.55,507,11.88,0.01,15.965893
"88","YORK",199,41,41,31129.510681,179.13,583,25.45,0,0
"89","CHESAPEAKE CITY",550,314,189,1681.9399,266.87,495,99.62,0.06,100.916394
"90","SUFFOLK CITY",800,1167,109,35591.817279,262.99,499,57.92,0,0
"91","VIRGINIA BEACH CITY",810,431,35,10522.4833922,228.38,534,19.9,0,0
