"Year","Min","Median","Mean","Max"
"2002",0,0.675,4.57809523809524,65.71
"2007",0,0.49,2.18767441860465,20.02
"2012",0,0.32,12.6758536585366,311.57
"2017",0,0.36,4.79027027027027,86.44
