"","County","County_Code","Total.Irri.Area","Irr.Area.Under.TH","Facility_withdrawal_mg","PPT","Irrigation","Vol_Unreported","C_tot","Method1_Unreported"
"1","ACCOMACK",1,5371,54,4613.681973,315.02,447,25.7,0.01,46.13681973
"2","ALBEMARLE",3,1456,168,3716.21486,292.78,469,83.9,0.02,74.3242972
"3","ALLEGHANY",5,8,8,14351.1265,271.22,491,4.18,0,0
"4","AMELIA",7,374,45,117.781,195.37,567,27.17,0.23,27.08963
"5","APPOMATTOX",11,105,81,42.3,269.17,493,42.52,1.01,42.723
"6","AUGUSTA",15,3271,87,4038.266156,332.94,429,39.74,0.01,40.38266156
"7","BATH",17,19,19,3818.33,287.21,475,9.61,0,0
"8","BEDFORD",19,93,54,6562.0609,223.25,539,30.99,0,0
"9","BOTETOURT",23,52,25,621.356066,274.14,488,12.99,0.02,12.42712132
"10","BRUNSWICK",25,1280,40,361.79871,366.46,396,16.87,0.05,18.0899355
"11","BUCKINGHAM",29,16,16,125.099,269.99,492,8.38,0.07,8.75693
"12","CAMPBELL",31,290,98,1786.7911,256.6,505,52.7,0.03,53.603733
"13","CAROLINE",33,1959,25,2654.55079,225.94,536,14.27,0.01,26.5455079
"14","CARROLL",35,1086,19,190.4055,259.57,502,10.16,0.05,9.520275
"15","CHARLES CITY",36,1435,11,428.065565,300.37,462,5.41,0.01,4.28065565
"16","CHARLOTTE",37,759,85,82.747,272.3,490,44.35,0.54,44.68338
"17","CHESTERFIELD",41,64,12,32729.120098,240.09,522,6.67,0,0
"18","CLARKE",43,249,28,252.6576,243.06,519,15.47,0.06,15.159456
"19","CRAIG",45,10,10,895.4523,230.71,531,5.65,0.01,8.954523
"20","CULPEPER",47,641,64,998.447221,279.19,483,32.92,0.03,29.95341663
"21","CUMBERLAND",49,18,18,2.3137,255.47,507,9.72,4.2,9.71754
"22","DICKENSON",51,12,12,2145.649,308.27,454,5.8,0,0
"23","DINWIDDIE",53,1162,53,52.41692,251.02,511,28.84,0.55,28.829306
"24","FAIRFAX",59,50,50,32000.095555,182.77,579,30.83,0,0
"25","FAUQUIER",61,394,207,1089.4393,258.57,503,110.87,0.1,108.94393
"26","FLOYD",63,192,133,34.472,216.51,545,77.19,2.24,77.21728
"27","FLUVANNA",65,144,61,326.771,284.91,477,30.98,0.09,29.40939
"28","FRANKLIN",67,893,103,450.932735,436.18,326,35.76,0.08,36.0746188
"29","FREDERICK",69,151,79,1624.9001,277.36,485,40.8,0.03,48.747003
"30","GILES",71,32,32,24019.4406,222.16,540,18.4,0,0
"31","GLOUCESTER",73,46,46,475.7657,286.32,476,23.32,0.05,23.788285
"32","GOOCHLAND",75,32,32,801.5221,296.55,465,15.85,0.02,16.030442
"33","GRAYSON",77,45,45,36.6599,251.37,511,24.49,0.67,24.562133
"34","GREENE",79,49,38,228.98635,330.5,432,17.48,0.08,18.318908
"35","GREENSVILLE",81,246,9,743.817485,384.09,378,3.62,0,0
"36","HALIFAX",83,2152,223,675.589,265.24,497,118.02,0.17,114.85013
"37","HANOVER",85,3338,247,1177.758605,252.59,509,133.88,0.11,129.55344655
"38","HENRICO",87,7,7,9648.404868,290.28,472,3.52,0,0
"39","HENRY",89,137,40,1209.6859802,246.69,515,21.94,0.02,24.193719604
"40","HIGHLAND",91,20,9,2577.252,296.95,465,4.46,0,0
"41","ISLE OF WIGHT",93,702,13,4499.247341,399.4,363,5.03,0,0
"42","JAMES CITY",95,37,15,2230.915845,341.42,421,6.72,0,0
"43","KING AND QUEEN",97,18,18,250.445,236.84,525,10.06,0.04,10.0178
"44","KING GEORGE",99,350,34,636.7857,218.14,544,19.7,0.03,19.103571
"45","KING WILLIAM",101,1125,16,7903.222704,236.94,525,8.94,0,0
"46","LEE",105,61,61,800.624,327.51,434,28.19,0.04,32.02496
"47","LOUDOUN",107,580,235,2337.318326,223.71,538,134.63,0.06,140.23909956
"48","LOUISA",109,278,88,217.138472,304.24,458,42.92,0.2,43.4276944
"49","LUNENBURG",111,444,33,170.069,319.14,443,15.57,0.09,15.30621
"50","MADISON",113,70,30,49.5564,332.64,429,13.7,0.28,13.875792
"51","MATHEWS",115,17,17,7.8853,313.66,448,8.11,1.03,8.121859
"52","MECKLENBURG",117,2760,66,585.58439,394.32,368,25.86,0.04,23.4233756
"53","MIDDLESEX",119,477,18,144.40603,285.59,476,9.12,0.06,8.6643618
"54","MONTGOMERY",121,349,37,10645.2492,217.7,544,21.43,0,0
"55","NELSON",125,862,57,1032.9,284.05,478,29.01,0.03,30.987
"56","NORTHAMPTON",131,6335,47,1177.014682,319.6,442,22.12,0.02,23.54029364
"57","NORTHUMBERLAND",133,38,2,135.1638,283.85,478,1.02,0.01,1.351638
"58","NOTTOWAY",135,75,55,392.96,245.45,517,30.28,0.08,31.4368
"59","ORANGE",137,563,51,641.9746,312.69,449,24.38,0.04,25.678984
"60","PAGE",139,1005,19,646.848,286.71,475,9.61,0.01,6.46848
"61","PATRICK",141,108,38,251.0541,304.98,457,18.49,0.07,17.573787
"62","PITTSYLVANIA",143,3717,184,703.511485,256.64,505,98.95,0.14,98.4916079
"63","POWHATAN",145,99,20,40.7775,262.98,499,10.63,0.26,10.60215
"64","PRINCE EDWARD",147,96,11,380.86968,232.14,530,6.21,0.02,7.6173936
"65","PRINCE GEORGE",149,8,8,107.589905,282.06,480,4.09,0.04,4.3035962
"66","PRINCE WILLIAM",153,1006,69,24517.308691,219.82,542,39.82,0,0
"67","PULASKI",155,14,14,1651.929,226.95,535,7.98,0,0
"68","RAPPAHANNOCK",157,121,95,13.24,286.53,475,48.05,3.63,48.0612
"69","RICHMOND",159,126,21,100.346,244.79,517,11.56,0.12,12.04152
"70","ROANOKE",161,96,53,4364.626,292.6,469,26.47,0.01,43.64626
"71","ROCKBRIDGE",163,137,59,818.7137,325.1,437,27.46,0.03,24.561411
"72","ROCKINGHAM",165,5645,350,9269.70398,331.01,431,160.63,0.02,185.3940796
"73","RUSSELL",167,12,12,233.732,334.45,428,5.47,0.02,4.67464
"74","SCOTT",169,56,23,377.6281,357.26,405,9.92,0.03,11.328843
"75","SHENANDOAH",171,719,111,1984.4259,315.7,446,52.72,0.03,59.532777
"76","SMYTH",173,18,18,2090.0066,270.66,491,9.41,0,0
"77","SOUTHAMPTON",175,3246,28,1398.276026,408.28,354,10.55,0.01,13.98276026
"78","SPOTSYLVANIA",177,58,29,3808.4174,216.38,546,16.86,0,0
"79","STAFFORD",179,25,25,3946.842,218.84,543,14.46,0,0
"80","SURRY",181,1238,65,78.119956,351.19,411,28.45,0.36,28.12318416
"81","SUSSEX",183,1371,25,456.542,311.6,450,11.98,0.03,13.69626
"82","TAZEWELL",185,18,18,613.3172,302.98,459,8.8,0.01,6.133172
"83","WARREN",187,12,12,3510.696,262.79,499,6.38,0,0
"84","WASHINGTON",191,224,89,3633.4089,306.03,456,43.22,0.01,36.334089
"85","WESTMORELAND",193,1642,2,757.3936,234.47,528,1.12,0,0
"86","WISE",195,12,12,2587.3307,408.33,354,4.52,0,0
"87","WYTHE",197,72,52,2699.777321,253.77,508,28.13,0.01,26.99777321
"88","YORK",199,21,8,8251.782001,345.53,416,3.54,0,0
"89","CHESAPEAKE CITY",550,282,68,2422.93334,339.65,422,30.56,0.01,24.2293334
"90","SUFFOLK CITY",800,414,62,33496.6765933,418.81,343,22.65,0,0
"91","VIRGINIA BEACH CITY",810,180,44,7247.615924,314.3,448,20.99,0,0
