"County","County_Code","Total.Irri.Area","Irr.Area.Under.TH","Facility_withdrawal_mg","PPT","Irrigation","Vol_Unreported","C_irr","Method1_Unreported"
"ACCOMACK",1,9716,17,3444.534,215.86,546,9.88,0,0
"AMELIA",7,886,109,42.093,183.52,578,67.09,1.59,66.92787
"AUGUSTA",15,3416,184,461.554,183.24,579,113.45,0.25,115.3885
"CAROLINE",33,2272,25,960.526,203.9,558,14.85,0.02,19.21052
"CHARLES CITY",36,1122,21,268.67,162.91,599,13.39,0.05,13.4335
"CHESTERFIELD",41,571,35,55,164.69,597,22.25,0.4,22
"CLARKE",43,327,94,42.8,257.98,504,50.45,1.18,50.504
"CULPEPER",47,589,111,4.11,214.71,547,64.66,15.73,64.6503
"DINWIDDIE",53,1164,115,14.055,257.98,504,61.72,4.39,61.70145
"ESSEX",57,246,39,140.34,205.9,556,23.09,0.16,22.4544
"FAIRFAX",59,101,101,14.599,185.45,577,62.06,4.25,62.04575
"FRANKLIN",67,1126,242,11.81,273.46,489,126.01,10.67,126.0127
"FREDERICK",69,520,159,9,261.41,501,84.83,9.43,84.87
"GREENSVILLE",81,734,0,50.8297,268.68,493,0,0,0
"HALIFAX",83,2617,82,26.816,253.93,508,44.36,1.65,44.2464
"HANOVER",85,2393,278,236.0457,170.63,591,174.95,0.74,174.673818
"ISLE OF WIGHT",93,791,5,97.5,246.5,516,2.75,0.03,2.925
"KING AND QUEEN",97,743,64,256.91,184.5,578,39.39,0.15,38.5365
"KING WILLIAM",101,2457,15,143.51,174.97,587,9.38,0.07,10.0457
"LOUDOUN",107,3666,185,36.6,209.01,553,108.94,2.98,109.068
"LUNENBURG",111,1484,61,10,278.51,483,31.37,3.14,31.4
"MECKLENBURG",117,4158,236,5.59,244.82,517,129.93,23.24,129.9116
"MIDDLESEX",119,651,16,13.4,217.69,544,9.27,0.69,9.246
"MONTGOMERY",121,303,41,17,189.56,572,24.97,1.47,24.99
"NELSON",125,795,145,192.13,200.79,561,86.62,0.45,86.4585
"NEW KENT",127,458,15,11.89,167.24,595,9.5,0.8,9.512
"NORTHAMPTON",131,9338,44,742.087,204.19,558,26.14,0.04,29.68348
"ORANGE",137,1556,53,0.45,237.63,524,29.57,65.71,29.5695
"PAGE",139,238,14,34.476,231.87,530,7.9,0.23,7.92948
"PITTSYLVANIA",143,5606,211,86.068,237,525,117.96,1.37,117.91316
"POWHATAN",145,230,32,0.58,177.67,584,19.9,34.31,19.8998
"PRINCE EDWARD",147,526,46,38.6,192.82,569,27.87,0.72,27.792
"PRINCE WILLIAM",153,1173,10,3.4,191.17,571,6.08,1.79,6.086
"ROANOKE",161,92,82,20.7,255.62,506,44.18,2.13,44.091
"ROCKINGHAM",165,4355,174,276.896,211.37,551,102.09,0.37,102.45152
"SHENANDOAH",171,1110,36,30.277,237.71,524,20.09,0.66,19.98282
"SOUTHAMPTON",175,2385,0,41,296.08,466,0,0,0
"SPOTSYLVANIA",177,346,40,60.56,188.63,573,24.41,0.4,24.224
"SURRY",181,1472,30,53.203,239.91,522,16.68,0.31,16.49293
"SUSSEX",183,1410,16,38.6,297.29,465,7.92,0.21,8.106
"WESTMORELAND",193,1474,122,311.381,229.79,532,69.11,0.22,68.50382
"SUFFOLK CITY",800,1167,109,208.64,262.99,499,57.92,0.28,58.4192
