"County","County_Code","Total.Irri.Area","Irr.Area.Under.TH","Facility_withdrawal_mg","PPT","Irrigation","Vol_Unreported","C_irr","Method1_Unreported"
"ACCOMACK",1,5079,58,1673.84777,325.98,436,26.93,0.02,33.4769554
"AMELIA",7,205,19,9.343,297.94,464,9.39,1.01,9.43643
"AUGUSTA",15,2550,199,175.66,267.19,495,104.89,0.6,105.396
"BEDFORD",19,51,51,16.15,283.18,479,26.01,1.61,26.0015
"CAMPBELL",31,313,40,121.59,224.4,538,22.92,0.19,23.1021
"CAROLINE",33,3411,19,543.92,337.88,424,8.58,0.02,10.8784
"CHARLES CITY",36,1376,15,344.0851,339.03,423,6.76,0.02,6.881702
"CHARLOTTE",37,534,94,15.35,268.04,494,49.45,3.22,49.427
"CLARKE",43,143,34,16.56,270.91,491,17.78,1.07,17.7192
"CULPEPER",47,615,167,81.2651,255.33,507,90.16,1.11,90.204261
"DINWIDDIE",53,1578,27,31.129,323.25,439,12.62,0.41,12.76289
"ESSEX",57,3,3,340.34,304.12,458,1.46,0,0
"FLOYD",63,182,122,31.672,240.31,522,67.81,2.14,67.77808
"GREENSVILLE",81,5,5,48.91836,332.42,430,2.29,0.05,2.445918
"HANOVER",85,3569,179,583.82644,302.35,460,87.68,0.15,87.573966
"HENRICO",87,28,28,97.14,309.16,453,13.51,0.14,13.5996
"ISLE OF WIGHT",93,934,37,71.1,395.49,367,14.46,0.2,14.22
"KING AND QUEEN",97,1221,37,418.6888,297.21,465,18.32,0.04,16.747552
"KING WILLIAM",101,1618,17,285.391,296.25,466,8.44,0.03,8.56173
"MIDDLESEX",119,270,26,22.39,318.98,443,12.27,0.55,12.3145
"MONTGOMERY",121,323,36,42.2739,261.1,501,19.21,0.45,19.023255
"NELSON",125,1016,66,474.32,249.6,512,35.98,0.08,37.9456
"NEW KENT",127,271,18,24.19,303.81,458,8.78,0.36,8.7084
"NORTHAMPTON",131,5857,8,529.24973,286.89,475,4.05,0.01,5.2924973
"PAGE",139,108,20,25.55,252.41,510,10.86,0.43,10.9865
"POWHATAN",145,63,16,4.3,278.17,484,8.25,1.92,8.256
"PRINCE WILLIAM",153,943,34,14.541,298.57,463,16.76,1.15,16.72215
"ROANOKE",161,71,71,0.75,286.85,475,35.91,47.88,35.91
"ROCKINGHAM",165,5526,282,254.245,275.33,487,146.24,0.58,147.4621
"SHENANDOAH",171,893,99,36.38,260.5,502,52.92,1.45,52.751
"SOUTHAMPTON",175,1624,14,138.2595,397.15,365,5.44,0.04,5.53038
"SPOTSYLVANIA",177,96,27,0.146,323.44,439,12.62,86.44,12.62024
"SURRY",181,929,10,43.719,337.31,425,4.53,0.1,4.3719
"SUSSEX",183,699,15,195.364,368.46,394,6.29,0.03,5.86092
"WESTMORELAND",193,882,111,321.7426,327.94,434,51.3,0.16,51.478816
"CHESAPEAKE CITY",550,72,57,0.896212,416.67,345,20.94,23.37,20.94447444
"SUFFOLK CITY",800,585,60,111.95,390.7,371,23.7,0.21,23.5095
