"County","County_Code","Total.Irri.Area","Irr.Area.Under.TH","Facility_withdrawal_mg","PPT","Irrigation","Vol_Unreported","C_irr","Method1_Unreported"
"ACCOMACK",1,6508,49,1779.744198,254.2,508,26.51,0.01,17.79744198
"AMELIA",7,562,38,15.681,245.76,516,20.88,1.33,20.85573
"AUGUSTA",15,3813,195,592.1592,263.68,498,103.41,0.17,100.667064
"BEDFORD",19,567,41,11.9226,227.42,535,23.36,1.96,23.368296
"CAMPBELL",31,779,107,59.51,242.45,520,59.25,1,59.51
"CAROLINE",33,2112,79,541.364,221.7,540,45.43,0.08,43.30912
"CHARLES CITY",36,739,12,11.9,310.18,452,5.78,0.49,5.831
"CHARLOTTE",37,731,136,23.2,231.06,531,76.9,3.31,76.792
"CHESTERFIELD",41,185,46,37.9,254.63,507,24.83,0.66,25.014
"CLARKE",43,514,60,44,191.58,570,36.42,0.83,36.52
"CULPEPER",47,1266,67,410.727,212.79,549,39.17,0.1,41.0727
"DINWIDDIE",53,1885,25,97.3087,266.9,495,13.18,0.14,13.623218
"FAIRFAX",59,40,40,17.4,202.2,560,23.85,1.37,23.838
"FREDERICK",69,298,101,13.534,202.47,560,60.23,4.45,60.2263
"HALIFAX",83,1549,123,9.12,215.03,547,71.65,7.86,71.6832
"HANOVER",85,3188,116,274.1886,272.89,489,60.4,0.22,60.321492
"ISLE OF WIGHT",93,702,44,123,255.19,507,23.75,0.19,23.37
"KING AND QUEEN",97,16,16,293.42,250.93,511,8.71,0.03,8.8026
"KING GEORGE",99,672,21,175.802,187.45,575,12.86,0.07,12.30614
"KING WILLIAM",101,2690,0,702.694,247.95,514,0,0,0
"LOUDOUN",107,3533,142,32.6308,177.57,584,88.31,2.71,88.429468
"LUNENBURG",111,770,35,8.66,206.45,556,20.72,2.39,20.6974
"MECKLENBURG",117,3235,60,7.17,191.51,570,36.42,5.08,36.4236
"MIDDLESEX",119,480,0,90.576,266.65,495,0,0,0
"MONTGOMERY",121,384,38,46.54,203.37,559,22.62,0.49,22.8046
"NELSON",125,774,97,468.463,271.92,490,50.61,0.11,51.53093
"NEW KENT",127,495,7,138.01,290.31,472,3.52,0.03,4.1403
"NORTHAMPTON",131,9286,48,907.219324,238.36,524,26.78,0.03,27.21657972
"ORANGE",137,627,39,70,258.99,503,20.89,0.3,21
"PAGE",139,296,47,12.17,291.6,470,23.52,1.93,23.4881
"PATRICK",141,432,22,1,276.37,486,11.39,11.39,11.39
"PITTSYLVANIA",143,4187,64,65.3438,217.54,544,37.07,0.57,37.245966
"POWHATAN",145,28,2,3.3,242.05,520,1.11,0.34,1.122
"PRINCE WILLIAM",153,685,89,2.632,206.26,556,52.69,20.02,52.69264
"ROCKINGHAM",165,4808,241,167.963,332.69,429,110.1,0.66,110.85558
"SHENANDOAH",171,755,125,29.928,278.97,483,64.29,2.15,64.3452
"SOUTHAMPTON",175,3507,90,259.1787,249.88,512,49.07,0.19,49.243953
"SPOTSYLVANIA",177,144,79,25.43,240.3,522,43.91,1.73,43.9939
"SURRY",181,1028,22,39.699,277.11,485,11.36,0.29,11.51271
"SUSSEX",183,1645,0,41.22,252.6,509,0,0,0
"WESTMORELAND",193,1673,5,863.926,175.57,586,3.12,0,0
"CHESAPEAKE CITY",550,239,56,1.440575,297.57,464,27.67,19.21,27.67344575
"SUFFOLK CITY",800,616,68,180.6075,314.63,447,32.37,0.18,32.50935
