Sizebins,Farms,AreaIrrigated
1 to 49 acres,486,4776
50 to 99 acres,56,3560
100 to 199 acres,60,7624
200 to 499 acres,33,9380
500  to 999 acres,14,8873
"1,000 to 1,999 acres",8,10605
"2,000 acres or more",,
