"","Countycode","GEOID","NAMELSAD","Irrigated_Acreage","Irrigated_Operations","Rank_census_Irr_Acreage","Rank_census_Operations","percet_acreage","status"
"3",165,51165,"Rockingham County",4808,137,3,1,7,"High in USDA data not in DEQ"
"4",143,51143,"Pittsylvania County",4187,127,4,2,6,"High in USDA data not in DEQ"
"6",107,51107,"Loudoun County",3533,76,6,5,5,"High in USDA data not in DEQ"
"10",117,51117,"Mecklenburg County",3235,81,8,4,4,"High in USDA data not in DEQ"
"12",53,51053,"Dinwiddie County",1884,26,12,23,3,"High in USDA data not in DEQ"
"13",25,51025,"Brunswick County",1316,27,16,22,2,"High in USDA data not in DEQ"
"15",83,51083,"Halifax County",1549,59,15,7,2,"High in USDA data not in DEQ"
"16",183,51183,"Sussex County",1644,14,14,46,2,"High in USDA data not in DEQ"
"18",7,51007,"Amelia County",561,17,33,37,1,"High in USDA data not in DEQ"
"19",19,51019,"Bedford County",567,32,32,19,1,"High in USDA data not in DEQ"
"20",31,51031,"Campbell County",780,42,20,12,1,"High in USDA data not in DEQ"
