"","COUNTY_NAME","COUNTY_CODE","Irrigated_Operations","Irrigated_Acreage","Size_Bins","Ops_Bins"
"1","ACCOMACK","001",44,5370,6,11
"2","ALBEMARLE","003",63,1456,4,11
"3","ALLEGHANY","005",8,8,0,3
"4","AMELIA","007",22,375,2,8
"5","ARLINGTON","013",2,NA,0,1
"6","AUGUSTA","015",95,3271,7,11
"7","BEDFORD","019",30,94,3,9
"8","BOTETOURT","023",8,52,1,5
"9","BRUNSWICK","025",22,1281,2,9
"10","BUCHANAN","027",1,NA,0,1
"11","CAMPBELL","031",46,291,6,9
"12","CARROLL","035",23,1086,2,6
"13","CLARKE","043",17,249,2,8
"14","CRAIG","045",4,11,0,3
"15","CULPEPER","047",34,641,2,7
"16","DINWIDDIE","053",30,1161,5,10
"17","ESSEX","057",8,NA,0,5
"18","FAIRFAX","059",30,50,2,4
"19","FAUQUIER","061",62,395,4,10
"20","FLOYD","063",36,192,6,10
"21","FRANKLIN","067",54,893,6,8
"22","FREDERICK","069",23,150,3,8
"23","GILES","071",20,33,1,4
"24","GLOUCESTER","073",17,46,1,4
"25","GRAYSON","077",20,44,1,4
"26","GREENE","079",14,49,1,4
"27","GREENSVILLE","081",10,246,2,5
"28","HALIFAX","083",85,2152,9,11
"29","HANOVER","085",81,3338,8,12
"30","HENRICO","087",14,NA,1,7
"31","HENRY","089",13,137,1,5
"32","HIGHLAND","091",3,20,0,2
"33","KING AND QUEEN","097",9,NA,1,6
"34","LEE","105",18,61,2,5
"35","LOUDOUN","107",77,580,6,9
"36","LOUISA","109",41,278,4,8
"37","MADISON","113",23,69,3,7
"38","MATHEWS","115",8,17,0,2
"39","MECKLENBURG","117",67,2760,8,11
"40","MIDDLESEX","119",8,478,0,6
"41","MONTGOMERY","121",24,349,2,5
"42","NELSON","125",37,862,5,9
"43","NEW KENT","127",3,NA,0,2
"44","NORTHAMPTON","131",44,6336,6,11
"45","NORTHUMBERLAND","133",4,39,0,3
"46","NOTTOWAY","135",18,75,2,5
"47","ORANGE","137",29,564,4,10
"48","PAGE","139",22,1004,4,7
"49","PATRICK","141",34,108,4,8
"50","PITTSYLVANIA","143",120,3716,9,12
"51","POWHATAN","145",15,100,2,5
"52","PRINCE EDWARD","147",8,96,1,4
"53","PRINCE GEORGE","149",6,8,0,2
"54","PRINCE WILLIAM","153",27,1006,3,7
"55","PULASKI","155",8,14,1,3
"56","RAPPAHANNOCK","157",21,121,2,6
"57","RICHMOND","159",5,127,0,4
"58","ROANOKE","161",14,96,3,3
"59","ROCKBRIDGE","163",26,137,2,6
"60","ROCKINGHAM","165",182,5645,9,12
"61","SHENANDOAH","171",50,719,3,8
"62","SMYTH","173",10,18,1,4
"63","SOUTHAMPTON","175",20,3246,3,7
"64","SPOTSYLVANIA","177",20,58,2,6
"65","STAFFORD","179",9,24,1,4
"66","SURRY","181",21,1237,1,6
"67","SUSSEX","183",20,1372,3,9
"68","WARREN","187",11,12,2,2
"69","WASHINGTON","191",35,224,4,9
"70","WESTMORELAND","193",26,1641,3,10
"71","WISE","195",11,11,1,4
"72","YORK","199",7,22,1,4
"73","CHESAPEAKE CITY","550",31,283,2,5
"74","SUFFOLK CITY","800",28,413,2,8
"75","VIRGINIA BEACH CITY","810",27,180,4,7
"76","APPOMATTOX","011",22,105,2,6
"77","BATH","017",6,19,0,3
"78","BUCKINGHAM","029",6,16,0,4
"79","CAROLINE","033",18,1959,2,7
"80","CHARLES CITY","036",10,1435,1,5
"81","CHARLOTTE","037",47,760,5,9
"82","CHESTERFIELD","041",9,64,2,4
"83","DICKENSON","051",3,12,1,1
"84","FLUVANNA","065",21,144,0,4
"85","GOOCHLAND","075",15,31,2,5
"86","ISLE OF WIGHT","093",12,702,1,4
"87","JAMES CITY","095",7,38,0,3
"88","KING GEORGE","099",12,351,0,4
"89","KING WILLIAM","101",15,1125,3,6
"90","LANCASTER","103",3,NA,0,2
"91","LUNENBURG","111",24,444,5,8
"92","SCOTT","169",15,55,2,6
"93","TAZEWELL","185",18,18,3,3
"94","WYTHE","197",12,72,2,5
"95","CUMBERLAND","049",5,18,0,3
"96","RUSSELL","167",5,12,0,3
"97","AMHERST","009",5,NA,0,4
"98","BLAND","021",3,NA,0,2
