"","Countycode","GEOID","NAMELSAD","Irrigated_Acreage","Irrigated_Operations","Rank_census_Irr_Acreage","Rank_census_Operations","percet_acreage","status"
"4",143,51143,"Pittsylvania County",3716,120,4,2,6,"High in USDA data not in DEQ"
"7",117,51117,"Mecklenburg County",2760,67,8,7,5,"High in USDA data not in DEQ"
"8",175,51175,"Southampton County",3246,20,7,36,5,"High in USDA data not in DEQ"
"9",83,51083,"Halifax County",2152,85,9,4,4,"High in USDA data not in DEQ"
"11",193,51193,"Westmoreland County",1641,26,11,27,3,"High in USDA data not in DEQ"
"12",25,51025,"Brunswick County",1281,22,14,33,2,"High in USDA data not in DEQ"
"13",35,51035,"Carroll County",1086,23,18,30,2,"High in USDA data not in DEQ"
"15",53,51053,"Dinwiddie County",1161,30,16,20,2,"High in USDA data not in DEQ"
"17",139,51139,"Page County",1004,22,20,34,2,"High in USDA data not in DEQ"
"18",153,51153,"Prince William County",1006,27,19,24,2,"High in USDA data not in DEQ"
"19",181,51181,"Surry County",1237,21,15,35,2,"High in USDA data not in DEQ"
"20",183,51183,"Sussex County",1372,20,13,38,2,"High in USDA data not in DEQ"
