"","County_Name","County_Code","Irrigated_Operations","Irrigated_Acreage","Size_Bins","Ops_Bins"
"1","ACCOMACK","001","47","6508",6,9
"2","ALBEMARLE","003","52","1026",5,11
"3","ALLEGHANY","005","2","-9999",0,2
"4","AMELIA","007","17","561",3,9
"5","AMHERST","009","13","147",1,8
"6","APPOMATTOX","011","10","43",1,6
"7","AUGUSTA","015","94","3813",9,12
"8","BATH","017","4","7",0,3
"9","BEDFORD","019","32","567",4,10
"10","BLAND","021","6","10",0,3
"11","BOTETOURT","023","17","63",3,6
"12","BRUNSWICK","025","27","1316",4,9
"13","BUCHANAN","027","1","-9999",0,1
"14","BUCKINGHAM","029","11","39",2,6
"15","CAMPBELL","031","42","780",5,10
"16","CAROLINE","033","24","2111",2,6
"17","CARROLL","035","20","601",2,8
"18","CHARLES CITY","036","10","739",0,8
"19","CHARLOTTE","037","49","731",8,10
"20","CHESTERFIELD","041","14","185",1,7
"21","CLARKE","043","20","515",2,7
"22","CRAIG","045","5","6",0,2
"23","CULPEPER","047","29","1266",2,8
"24","CUMBERLAND","049","4","-9999",0,4
"25","DICKENSON","051","2","-9999",0,1
"26","DINWIDDIE","053","26","1884",4,11
"27","ESSEX","057","3","-9999",0,2
"28","FAIRFAX","059","23","40",1,4
"29","FAUQUIER","061","54","921",5,11
"30","FLOYD","063","40","108",7,10
"31","FLUVANNA","065","16","265",1,6
"32","FRANKLIN","067","54","872",5,11
"33","FREDERICK","069","32","299",5,8
"34","GILES","071","8","30",1,5
"35","GLOUCESTER","073","20","58",1,4
"36","GOOCHLAND","075","10","21",1,4
"37","GRAYSON","077","15","97",3,7
"38","GREENE","079","20","154",2,7
"39","GREENSVILLE","081","4","-9999",0,4
"40","HALIFAX","083","59","1549",7,11
"41","HANOVER","085","50","3188",3,12
"42","HENRICO","087","16","-9999",2,7
"43","HENRY","089","10","524",1,6
"44","ISLE OF WIGHT","093","15","702",2,6
"45","JAMES CITY","095","6","29",0,5
"46","KING AND QUEEN","097","8","-9999",1,6
"47","KING GEORGE","099","11","672",2,5
"48","KING WILLIAM","101","15","2690",1,8
"49","LANCASTER","103","3","-9999",0,2
"50","LEE","105","21","297",2,8
"51","LOUDOUN","107","76","3533",6,12
"52","LOUISA","109","26","278",3,7
"53","LUNENBURG","111","26","770",5,8
"54","MADISON","113","18","69",2,5
"55","MATHEWS","115","9","53",0,3
"56","MECKLENBURG","117","81","3235",9,11
"57","MIDDLESEX","119","3","480",0,3
"58","MONTGOMERY","121","21","383",2,6
"59","NELSON","125","37","775",3,11
"60","NEW KENT","127","9","496",1,7
"61","NORTHAMPTON","131","60","9286",6,12
"62","NORTHUMBERLAND","133","5","62",0,2
"63","NOTTOWAY","135","19","385",3,8
"64","ORANGE","137","26","627",3,9
"65","PAGE","139","14","295",1,5
"66","PATRICK","141","36","432",4,7
"67","PITTSYLVANIA","143","127","4187",10,12
"68","POWHATAN","145","7","28",0,3
"69","PRINCE EDWARD","147","11","124",1,5
"70","PRINCE GEORGE","149","8","-9999",1,4
"71","PRINCE WILLIAM","153","26","685",4,7
"72","PULASKI","155","8","241",1,4
"73","RAPPAHANNOCK","157","27","131",4,8
"74","RICHMOND","159","10","243",1,4
"75","ROANOKE","161","14","93",2,5
"76","ROCKBRIDGE","163","15","110",2,7
"77","ROCKINGHAM","165","137","4808",11,11
"78","RUSSELL","167","15","134",2,5
"79","SCOTT","169","23","243",3,7
"80","SHENANDOAH","171","38","756",4,10
"81","SMYTH","173","24","188",4,9
"82","SOUTHAMPTON","175","34","3507",5,10
"83","SPOTSYLVANIA","177","13","144",1,5
"84","STAFFORD","179","15","221",2,5
"85","SURRY","181","14","1028",2,6
"86","SUSSEX","183","14","1644",2,5
"87","TAZEWELL","185","10","330",1,5
"88","WARREN","187","18","58",1,4
"89","WASHINGTON","191","47","410",5,8
"90","WESTMORELAND","193","24","1674",2,10
"91","WISE","195","8","115",0,3
"92","WYTHE","197","19","163",3,6
"93","YORK","199","5","18",0,3
"94","CHESAPEAKE CITY","550","34","239",2,6
"95","SUFFOLK CITY","800","23","616",2,7
"96","VIRGINIA BEACH CITY","810","22","194",2,6
