"","GEOID","Countycode","NAMELSAD","Irrigated_Acreage","Irrigated_Operations","Rank_census_Irr_Acreage","Rank_census_Operations","percet_acreage","status","Count","Facility_withdrawal_mg","Rank_DEQ_F_Withdrawls","Rank_Deq_fac","percet_withdrawal"
"1",51001,1,"Accomack County",5370,44,3,12,9,"High in both datasets",51,3465.538315,1,1,36
"2",51015,15,"Augusta County",3271,95,6,3,5,"High in both datasets",30,424.6243,7,4,4
"3",51033,33,"Caroline County",1959,18,10,39,3,"High in both datasets",10,792.39,3,8,8
"4",51036,36,"Charles City County",1435,10,12,47,2,"High in both datasets",8,405.611,8,12,4
"5",51085,85,"Hanover County",3338,81,5,5,5,"High in both datasets",13,560.29,5,7,6
"6",51101,101,"King William County",1125,15,17,42,2,"High in both datasets",7,352.326,10,15,4
"7",51131,131,"Northampton County",6336,44,1,13,10,"High in both datasets",46,881.534113,2,2,9
"8",51165,165,"Rockingham County",5645,182,2,1,9,"High in both datasets",37,578.196,4,3,6
