COUNTY_NAME,COUNTY_CODE
ACCOMACK,1
ALBEMARLE,3
AMELIA,7
AMHERST,9
APPOMATTOX,11
AUGUSTA,15
BEDFORD,19
BRUNSWICK,25
BUCHANAN,27
BUCKINGHAM,29
CAMPBELL,31
CARROLL,35
CHARLES CITY,36
CHARLOTTE,37
CHESTERFIELD,41
CLARKE,43
CRAIG,45
CULPEPER,47
CUMBERLAND,49
DINWIDDIE,53
ESSEX,57
FAIRFAX,59
FAUQUIER,61
FLOYD,63
FRANKLIN,67
FREDERICK,69
GILES,71
GLOUCESTER,73
GREENE,79
GREENSVILLE,81
HALIFAX,83
HANOVER,85
HENRICO,87
HENRY,89
ISLE OF WIGHT,93
JAMES CITY,95
KING AND QUEEN,97
KING WILLIAM,101
LANCASTER,103
LEE,105
LOUDOUN,107
LOUISA,109
MADISON,113
MATHEWS,115
MECKLENBURG,117
MIDDLESEX,119
MONTGOMERY,121
NELSON,125
NEW KENT,127
NORTHAMPTON,131
NOTTOWAY,135
ORANGE,137
PAGE,139
PATRICK,141
PITTSYLVANIA,143
POWHATAN,145
PRINCE EDWARD,147
PRINCE GEORGE,149
PRINCE WILLIAM,153
PULASKI,155
RAPPAHANNOCK,157
RICHMOND,159
ROANOKE,161
ROCKBRIDGE,163
ROCKINGHAM,165
SCOTT,169
SHENANDOAH,171
SMYTH,173
SPOTSYLVANIA,177
STAFFORD,179
SURRY,181
TAZEWELL,185
WARREN,187
WASHINGTON,191
WESTMORELAND,193
WISE,195
YORK,199
CHESAPEAKE CITY,550
SUFFOLK CITY,800
VIRGINIA BEACH CITY,810
BOTETOURT,23
CAROLINE,33
FLUVANNA,65
GOOCHLAND,75
GRAYSON,77
HIGHLAND,91
KING GEORGE,99
LUNENBURG,111
SOUTHAMPTON,175
WYTHE,197
BATH,17
RUSSELL,167
SUSSEX,183
BLAND,21
