"","Year","Survey Irrigation Amounts (mg)","DEQ Withdrawals (mg)","Census Irrigation `Unreported Summary`","Unreported DEQ and Survey","Undereported Deq and Census (-ve sign DEQ has Greater witdhrawals)"
"1",2002,12892,8550,12686,4342,4136
"2",2007,16068,8994,15429,7074,6435
"3",2012,11185,10382,10515,803,133
"4",2017,6201,7323,5875,-1122,-1448
