"","Countycode","GEOID","NAMELSAD","Count","Facility_withdrawal_mg","Rank_DEQ_F_Withdrawls","Rank_Deq_fac","percet_withdrawal","status"
"7",125,51125,"Nelson County",7,468.463,7,18,6,"High in DEQ data not in USDA"
"11",99,51099,"King George County",2,175.802,12,43,2,"High in DEQ data not in USDA"
