"","GEOID","Countycode","NAMELSAD","Irrigated_Acreage","Irrigated_Operations","Rank_census_Irr_Acreage","Rank_census_Operations","percet_acreage","status","Count","Facility_withdrawal_mg","Rank_DEQ_F_Withdrawls","Rank_Deq_fac","percet_withdrawal"
"1",51001,1,"Accomack County",6508,47,2,11,9,"High in both datasets",42,1819.128198,1,2,22
"2",51015,15,"Augusta County",3813,94,5,3,5,"High in both datasets",31,592.1592,5,6,7
"3",51033,33,"Caroline County",2111,24,11,27,3,"High in both datasets",11,541.364,6,11,6
"4",51047,47,"Culpeper County",1266,29,17,21,2,"High in both datasets",2,410.727,8,41,5
"5",51085,85,"Hanover County",3188,50,9,9,4,"High in both datasets",18,274.1886,9,7,3
"6",51101,101,"King William County",2690,15,10,39,4,"High in both datasets",8,702.694,4,14,8
"7",51131,131,"Northampton County",9286,60,1,6,13,"High in both datasets",38,882.595554,2,3,10
"8",51175,175,"Southampton County",3507,34,7,17,5,"High in both datasets",11,259.1787,10,13,3
"9",51193,193,"Westmoreland County",1674,24,13,29,2,"High in both datasets",6,863.926,3,21,10
