"","GEOID","COUNTYFP","NAME","Count","Facility_withdrawal_mg","withdrawal.per.facility"
"8","51015","015","Augusta",11,175.66,15.9690909090909
"20","51037","037","Charlotte",1,15.35,15.35
"26","51051","051","Dickenson",NA,NA,NA
"27","51053","053","Dinwiddie",6,31.129,5.18816666666667
"34","51069","069","Frederick",NA,NA,NA
"36","51073","073","Gloucester",NA,NA,NA
"42","51085","085","Hanover",13,583.82644,44.9097261538462
"49","51099","099","King George",2,191.501113,95.7505565
"61","51125","125","Nelson",2,474.32,237.16
"63","51131","131","Northampton",26,509.60573,19.6002203846154
"66","51137","137","Orange",NA,NA,NA
"70","51145","145","Powhatan",1,4.3,4.3
"72","51149","149","Prince George",NA,NA,NA
"77","51161","161","Roanoke",1,0.75,0.75
"85","51177","177","Spotsylvania",1,0.146,0.146
"89","51185","185","Tazewell",NA,NA,NA
"95","51199","199","York",NA,NA,NA
"4","51007","007","Amelia",2,9.343,4.6715
"9","51017","017","Bath",NA,NA,NA
"10","51019","019","Bedford",1,16.15,16.15
"12","51023","023","Botetourt",NA,NA,NA
"17","51033","033","Caroline",6,543.92,90.6533333333333
"19","51036","036","Charles City",6,344.0851,57.3475166666667
"21","51041","041","Chesterfield",NA,NA,NA
"28","51057","057","Essex",4,340.34,85.085
"33","51067","067","Franklin",NA,NA,NA
"41","51083","083","Halifax",1,0,0
"45","51091","091","Highland",NA,NA,NA
"47","51095","095","James City",NA,NA,NA
"53","51107","107","Loudoun",NA,NA,NA
"55","51111","111","Lunenburg",NA,NA,NA
"62","51127","127","New Kent",2,24.19,12.095
"64","51133","133","Northumberland",NA,NA,NA
"69","51143","143","Pittsylvania",2,0,0
"76","51159","159","Richmond",NA,NA,NA
"79","51165","165","Rockingham",15,254.245,16.9496666666667
"84","51175","175","Southampton",6,138.2595,23.04325
"86","51179","179","Stafford",NA,NA,NA
"90","51187","187","Warren",NA,NA,NA
"31","51063","063","Floyd",1,31.672,31.672
"43","51087","087","Henrico",2,97.14,48.57
"3","51005","005","Alleghany",NA,NA,NA
"15","51029","029","Buckingham",NA,NA,NA
"44","51089","089","Henry",NA,NA,NA
"68","51141","141","Patrick",NA,NA,NA
"92","51193","193","Westmoreland",3,321.7426,107.247533333333
"40","51081","081","Greensville",2,48.91836,24.45918
"52","51105","105","Lee",NA,NA,NA
"93","51195","195","Wise",NA,NA,NA
"56","51113","113","Madison",NA,NA,NA
"51","51103","103","Lancaster",NA,NA,NA
"75","51157","157","Rappahannock",NA,NA,NA
"2","51003","003","Albemarle",NA,NA,NA
"16","51031","031","Campbell",1,121.59,121.59
"29","51059","059","Fairfax",NA,NA,NA
"60","51121","121","Montgomery",3,42.2739,14.0913
"74","51155","155","Pulaski",NA,NA,NA
"46","51093","093","Isle of Wight",2,71.1,35.55
"82","51171","171","Shenandoah",3,36.38,12.1266666666667
"14","51027","027","Buchanan",NA,NA,NA
"50","51101","101","King William",3,285.391,95.1303333333333
"71","51147","147","Prince Edward",NA,NA,NA
"91","51191","191","Washington",NA,NA,NA
"120","51720","720","Norton",NA,NA,NA
"123","51740","740","Portsmouth",NA,NA,NA
"130","51810","810","Virginia Beach",NA,NA,NA
"73","51153","153","Prince William",4,14.541,3.63525
"37","51075","075","Goochland",NA,NA,NA
"87","51181","181","Surry",2,43.719,21.8595
"39","51079","079","Greene",NA,NA,NA
"6","51011","011","Appomattox",NA,NA,NA
"13","51025","025","Brunswick",NA,NA,NA
"22","51043","043","Clarke",2,16.56,8.28
"65","51135","135","Nottoway",NA,NA,NA
"108","51630","630","Fredericksburg",NA,NA,NA
"25","51049","049","Cumberland",NA,NA,NA
"116","51685","685","Manassas Park",NA,NA,NA
"99","51540","540","Charlottesville",NA,NA,NA
"101","51570","570","Colonial Heights",NA,NA,NA
"106","51610","610","Falls Church",NA,NA,NA
"128","51790","790","Staunton",NA,NA,NA
"132","51830","830","Williamsburg",NA,NA,NA
"83","51173","173","Smyth",NA,NA,NA
"96","51510","510","Alexandria",NA,NA,NA
"7","51013","013","Arlington",NA,NA,NA
"23","51045","045","Craig",1,0,0
"102","51580","580","Covington",NA,NA,NA
"105","51600","600","Fairfax",NA,NA,NA
"94","51197","197","Wythe",NA,NA,NA
"57","51115","115","Mathews",NA,NA,NA
"81","51169","169","Scott",NA,NA,NA
"110","51650","650","Hampton",NA,NA,NA
"114","51680","680","Lynchburg",NA,NA,NA
"115","51683","683","Manassas",NA,NA,NA
"100","51550","550","Chesapeake",1,0.896212,0.896212
