"","Countycode","NAMELSAD","Count.x","Facility_withdrawal_mg.x","Count.y","Facility_withdrawal_mg.y","withdiff","facdiff"
"78",163,"Rockbridge County",1,0,NA,NA,NA,NA
"79",165,"Rockingham County",32,276.896,15,254.245,-22.651,-17
"80",167,"Russell County",1,0,NA,NA,NA,NA
"81",169,"Scott County",NA,NA,NA,NA,NA,NA
"82",171,"Shenandoah County",13,30.277,3,36.38,6.103,-10
"83",173,"Smyth County",1,0,NA,NA,NA,NA
"84",175,"Southampton County",3,41,6,138.2595,97.2595,3
"85",177,"Spotsylvania County",1,60.56,1,0.146,-60.414,0
"86",179,"Stafford County",NA,NA,NA,NA,NA,NA
"87",181,"Surry County",2,53.203,2,43.719,-9.484,0
"88",183,"Sussex County",3,38.6,4,195.364,156.764,1
"89",185,"Tazewell County",NA,NA,NA,NA,NA,NA
"90",187,"Warren County",NA,NA,NA,NA,NA,NA
"91",191,"Washington County",NA,NA,NA,NA,NA,NA
"92",193,"Westmoreland County",5,311.381,3,321.7426,10.3616,-2
"93",195,"Wise County",NA,NA,NA,NA,NA,NA
"94",197,"Wythe County",NA,NA,NA,NA,NA,NA
"95",199,"York County",NA,NA,NA,NA,NA,NA
"96",510,"Alexandria city",NA,NA,NA,NA,NA,NA
"97",520,"Bristol city",NA,NA,NA,NA,NA,NA
"98",530,"Buena Vista city",NA,NA,NA,NA,NA,NA
"99",540,"Charlottesville city",NA,NA,NA,NA,NA,NA
"100",550,"Chesapeake city",1,0,1,0.896212,0.896212,0
"101",570,"Colonial Heights city",NA,NA,NA,NA,NA,NA
"102",580,"Covington city",NA,NA,NA,NA,NA,NA
"103",590,"Danville city",NA,NA,NA,NA,NA,NA
"104",595,"Emporia city",NA,NA,NA,NA,NA,NA
"105",600,"Fairfax city",NA,NA,NA,NA,NA,NA
"106",610,"Falls Church city",NA,NA,NA,NA,NA,NA
"107",620,"Franklin city",NA,NA,NA,NA,NA,NA
"108",630,"Fredericksburg city",NA,NA,NA,NA,NA,NA
"109",640,"Galax city",NA,NA,NA,NA,NA,NA
"110",650,"Hampton city",NA,NA,NA,NA,NA,NA
"111",660,"Harrisonburg city",NA,NA,NA,NA,NA,NA
"112",670,"Hopewell city",NA,NA,NA,NA,NA,NA
"113",678,"Lexington city",NA,NA,NA,NA,NA,NA
"114",680,"Lynchburg city",NA,NA,NA,NA,NA,NA
"115",683,"Manassas city",NA,NA,NA,NA,NA,NA
"116",685,"Manassas Park city",NA,NA,NA,NA,NA,NA
"117",690,"Martinsville city",NA,NA,NA,NA,NA,NA
"118",700,"Newport News city",NA,NA,NA,NA,NA,NA
"119",710,"Norfolk city",NA,NA,NA,NA,NA,NA
"120",720,"Norton city",NA,NA,NA,NA,NA,NA
"121",730,"Petersburg city",NA,NA,1,3.6,NA,NA
"122",735,"Poquoson city",NA,NA,NA,NA,NA,NA
"123",740,"Portsmouth city",NA,NA,NA,NA,NA,NA
"124",750,"Radford city",NA,NA,NA,NA,NA,NA
"125",760,"Richmond city",NA,NA,1,1.19,NA,NA
"126",770,"Roanoke city",NA,NA,NA,NA,NA,NA
"127",775,"Salem city",NA,NA,NA,NA,NA,NA
"128",790,"Staunton city",NA,NA,NA,NA,NA,NA
"129",800,"Suffolk city",6,208.64,1,111.95,-96.69,-5
"130",810,"Virginia Beach city",2,0,NA,NA,NA,NA
"131",820,"Waynesboro city",NA,NA,NA,NA,NA,NA
"132",830,"Williamsburg city",NA,NA,NA,NA,NA,NA
"133",840,"Winchester city",NA,NA,NA,NA,NA,NA
