"","GEOID","NAMELSAD","Rank_DEQ_F_Withdrawls","Rank_Deq_fac","Rank_census_Irr_Acreage","Rank_census_Operations","Acreage_withdarwal_difference","Facilities_Operations_difference"
"1",51001,"Accomack County",1,1,3,12,-2,-11
"2",51007,"Amelia County",16,19,32,32,-16,-13
"3",51015,"Augusta County",7,4,6,3,1,1
"4",51019,"Bedford County",31,34,47,19,-16,15
"5",51025,"Brunswick County",40,45,14,33,26,12
"6",51031,"Campbell County",19,35,35,11,-16,24
"7",51033,"Caroline County",3,8,10,39,-7,-31
"8",51035,"Carroll County",41,23,18,30,23,-7
"9",51036,"Charles City County",8,12,12,47,-4,-35
"10",51037,"Charlotte County",30,36,23,10,7,26
"11",51041,"Chesterfield County",26,29,48,50,-22,-21
"12",51043,"Clarke County",22,37,37,40,-15,-3
"13",51045,"Craig County",42,46,55,56,-13,-10
"14",51047,"Culpeper County",14,24,26,16,-12,8
"15",51053,"Dinwiddie County",29,6,16,20,13,-14
"16",51059,"Fairfax County",43,25,50,21,-7,4
"17",51063,"Floyd County",28,47,39,15,-11,32
"18",51067,"Franklin County",44,9,21,8,23,1
"19",51069,"Frederick County",45,38,41,31,4,7
"20",51075,"Goochland County",46,48,51,41,-5,7
"21",51081,"Greensville County",23,30,38,48,-15,-18
"22",51083,"Halifax County",37,13,9,4,28,9
"23",51085,"Hanover County",5,7,5,5,0,2
"24",51093,"Isle of Wight County",35,14,25,45,10,-31
"25",51099,"King George County",11,39,33,46,-22,-7
"26",51101,"King William County",10,15,17,42,-7,-27
"27",51107,"Loudoun County",38,20,27,6,11,14
"28",51111,"Lunenburg County",34,49,30,28,4,21
"29",51117,"Mecklenburg County",47,40,8,7,39,33
"30",51119,"Middlesex County",15,31,29,52,-14,-21
"31",51121,"Montgomery County",18,26,34,29,-16,-3
"32",51125,"Nelson County",6,16,22,14,-16,2
"33",51131,"Northampton County",2,2,1,13,1,-11
"34",51137,"Orange County",32,50,28,22,4,28
"35",51139,"Page County",20,17,20,34,0,-17
"36",51141,"Patrick County",48,51,43,17,5,34
"37",51143,"Pittsylvania County",25,5,4,2,21,3
"38",51145,"Powhatan County",36,32,44,43,-8,-11
"39",51147,"Prince Edward County",39,52,45.5,53,-6.5,-1
"40",51149,"Prince George County",49,53,56,54,-7,-1
"41",51153,"Prince William County",21,27,19,24,2,3
"42",51161,"Roanoke County",50,41,45.5,44,4.5,-3
"43",51163,"Rockbridge County",51,42,42,26,9,16
"44",51165,"Rockingham County",4,3,2,1,2,2
"45",51167,"Russell County",52,54,54,55,-2,-1
"46",51171,"Shenandoah County",24,10,24,9,0,1
"47",51173,"Smyth County",53,55,53,49,0,6
"48",51175,"Southampton County",12,11,7,36,5,-25
"49",51177,"Spotsylvania County",33,43,49,37,-16,6
"50",51179,"Stafford County",54,56,52,51,2,5
"51",51181,"Surry County",27,33,15,35,12,-2
"52",51183,"Sussex County",17,21,13,38,4,-17
"53",51193,"Westmoreland County",9,22,11,27,-2,-5
"54",51550,"Chesapeake city",55,28,36,18,19,10
"55",51800,"Suffolk city",13,18,31,23,-18,-5
"56",51810,"Virginia Beach city",56,44,40,25,16,19
