"","GEOID","Countycode","NAME","NAMELSAD","F_HydroID","Count","Facility_withdrawal_mg"
"126","51770","770","Roanoke","Roanoke city",NA,NA,NA
"127","51775","775","Salem","Salem city",NA,NA,NA
"107","51620","620","Franklin","Franklin city",NA,NA,NA
"119","51710","710","Norfolk","Norfolk city",NA,NA,NA
"122","51735","735","Poquoson","Poquoson city",NA,NA,NA
"111","51660","660","Harrisonburg","Harrisonburg city",NA,NA,NA
"109","51640","640","Galax","Galax city",NA,NA,NA
"118","51700","700","Newport News","Newport News city",NA,NA,NA
"38","51077","77","Grayson","Grayson County",NA,NA,NA
"5","51009","9","Amherst","Amherst County",NA,NA,NA
"24","51047","47","Culpeper","Culpeper County",73211,2,410.727
"59","51119","119","Middlesex","Middlesex County",72216,5,90.576
"67","51139","139","Page","Page County",72228,8,12.17
"121","51730","730","Petersburg","Petersburg city",NA,NA,NA
"48","51097","97","King and Queen","King and Queen County",90580,5,293.42
"117","51690","690","Martinsville","Martinsville city",NA,NA,NA
"80","51167","167","Russell","Russell County",73633,1,0
"104","51595","595","Emporia","Emporia city",NA,NA,NA
"113","51678","678","Lexington","Lexington city",NA,NA,NA
"30","51061","61","Fauquier","Fauquier County",NA,NA,NA
"58","51117","117","Mecklenburg","Mecklenburg County",74041,8,7.17
"1","51001","1","Accomack","Accomack County",73281,42,1819.128198
"54","51109","109","Louisa","Louisa County",NA,NA,NA
"78","51163","163","Rockbridge","Rockbridge County",72186,2,0
