"","GEOID","NAMELSAD","Rank_DEQ_F_Withdrawls","Rank_Deq_fac","Rank_census_Irr_Acreage","Rank_census_Operations","Acreage_withdarwal_difference","Facilities_Operations_difference"
"1",51001,"Accomack County",1,2,2,11,-1,-9
"2",51007,"Amelia County",31,23,33,37,-2,-14
"3",51015,"Augusta County",5,6,5,3,0,3
"4",51019,"Bedford County",34,39,32,19,2,20
"5",51025,"Brunswick County",43,24,16,22,27,2
"6",51031,"Campbell County",20,34,20,12,0,22
"7",51033,"Caroline County",6,11,11,27,-5,-16
"8",51035,"Carroll County",44,20,31,34,13,-14
"9",51036,"Charles City County",35,29,24,50,11,-21
"10",51037,"Charlotte County",29,30,25,10,4,20
"11",51041,"Chesterfield County",25,25,44,42,-19,-17
"12",51043,"Clarke County",22,40,34,35,-12,5
"13",51047,"Culpeper County",8,41,17,21,-9,20
"14",51053,"Dinwiddie County",16,4,12,23,4,-19
"15",51059,"Fairfax County",30,31,52,30,-22,1
"16",51063,"Floyd County",45,48,49,13,-4,35
"17",51067,"Franklin County",46,12,19,8,27,4
"18",51069,"Frederick County",32,35,39,20,-7,15
"19",51073,"Gloucester County",47,49,51,36,-4,13
"20",51075,"Goochland County",48,42,54,51,-6,-9
"21",51083,"Halifax County",36,8,15,7,21,1
"22",51085,"Hanover County",9,7,9,9,0,-2
"23",51093,"Isle of Wight County",15,9,26,38,-11,-29
"24",51099,"King George County",12,43,28,48,-16,-5
"25",51101,"King William County",4,14,10,39,-6,-25
"26",51107,"Loudoun County",26,32,6,5,20,27
"27",51111,"Lunenburg County",37,17,22,24,15,-7
"28",51117,"Mecklenburg County",38,15,8,4,30,11
"29",51119,"Middlesex County",17,26,36,54,-19,-28
"30",51121,"Montgomery County",21,36,38,33,-17,3
"31",51125,"Nelson County",7,18,21,15,-14,3
"32",51127,"New Kent County",14,27,35,52,-21,-25
"33",51131,"Northampton County",2,3,1,6,1,-3
"34",51137,"Orange County",18,50,29,25,-11,25
"35",51139,"Page County",33,16,40,43,-7,-27
"36",51141,"Patrick County",42,44,37,16,5,28
"37",51143,"Pittsylvania County",19,1,4,2,15,-1
"38",51145,"Powhatan County",39,28,53,53,-14,-25
"39",51147,"Prince Edward County",49,51,47,49,2,2
"40",51153,"Prince William County",40,45,27,26,13,19
"41",51161,"Roanoke County",50,52,50,44,0,8
"42",51163,"Rockbridge County",51,46,48,40,3,6
"43",51165,"Rockingham County",13,5,3,1,10,4
"44",51167,"Russell County",52,53,46,41,6,12
"45",51171,"Shenandoah County",27,10,23,14,4,-4
"46",51173,"Smyth County",53,54,43,28,10,26
"47",51175,"Southampton County",10,13,7,17,3,-4
"48",51177,"Spotsylvania County",28,47,45,47,-17,0
"49",51181,"Surry County",24,37,18,45,6,-8
"50",51183,"Sussex County",23,19,14,46,9,-27
"51",51193,"Westmoreland County",3,21,13,29,-10,-8
"52",51550,"Chesapeake city",41,33,41,18,0,15
"53",51800,"Suffolk city",11,22,30,31,-19,-9
"54",51810,"Virginia Beach city",54,38,42,32,12,6
