County_Name,County_Code
CLARKE,43
CULPEPER,47
FAUQUIER,61
FREDERICK,69
LOUDOUN,107
MADISON,113
PRINCE WILLIAM,153
RAPPAHANNOCK,157
ROCKINGHAM,165
SHENANDOAH,171
AUGUSTA,15
BOTETOURT,23
ROCKBRIDGE,163
ALBEMARLE,3
AMELIA,7
AMHERST,9
APPOMATTOX,11
BEDFORD,19
BUCKINGHAM,29
CAMPBELL,31
CAROLINE,33
CHESTERFIELD,41
HANOVER,85
NELSON,125
ORANGE,137
POWHATAN,145
SPOTSYLVANIA,177
ACCOMACK,1
ESSEX,57
KING AND QUEEN,97
KING GEORGE,99
KING WILLIAM,101
MIDDLESEX,119
NEW KENT,127
NORTHAMPTON,131
NORTHUMBERLAND,133
RICHMOND,159
WESTMORELAND,193
YORK,199
BLAND,21
CARROLL,35
FLOYD,63
GILES,71
GRAYSON,77
LEE,105
RUSSELL,167
SMYTH,173
TAZEWELL,185
WASHINGTON,191
WYTHE,197
CHARLOTTE,37
FRANKLIN,67
HALIFAX,83
HENRY,89
LUNENBURG,111
NOTTOWAY,135
PATRICK,141
PITTSYLVANIA,143
BRUNSWICK,25
DINWIDDIE,53
GREENSVILLE,81
ISLE OF WIGHT,93
MECKLENBURG,117
PRINCE GEORGE,149
SOUTHAMPTON,175
SURRY,181
SUSSEX,183
CHESAPEAKE CITY,550
SUFFOLK CITY,800
ARLINGTON,13
FAIRFAX,59
PAGE,139
STAFFORD,179
WARREN,187
ALLEGHANY,5
CRAIG,45
HIGHLAND,91
ROANOKE,161
CUMBERLAND,49
GOOCHLAND,75
GREENE,79
HENRICO,87
LOUISA,109
PRINCE EDWARD,147
CHARLES CITY,36
GLOUCESTER,73
JAMES CITY,95
LANCASTER,103
MATHEWS,115
BUCHANAN,27
MONTGOMERY,121
PULASKI,155
SCOTT,169
WISE,195
VIRGINIA BEACH CITY,810
BATH,17
FLUVANNA,65
DICKENSON,51
