"","Countycode","GEOID","NAMELSAD","status","County_Name","Total.Irri.Area","Irr.Area.above.TH","Irr.Area.Under.TH","Pct.under.TH.of.Irri.area.abv.TH","Pct.under.TH.of.total.Irr.area","AcreageUnderTh"
"1",36,51036,"Charles City County","High in DEQ data not in USDA","CHARLES CITY",1122,1101,21,1.91,1.87,20.9814
"2",97,51097,"King and Queen County","High in DEQ data not in USDA","KING AND QUEEN",743,679,64,9.43,8.61,63.9723
