"","Countycode","GEOID","NAMELSAD","status","County_Name","Total.Irri.Area","Irr.Area.above.TH","Irr.Area.Under.TH","Pct.under.TH.of.Irri.area.abv.TH","Pct.under.TH.of.total.Irr.area","AcreageUnderTh"
"1",125,51125,"Nelson County","High in DEQ data not in USDA","NELSON",774,677,97,14.33,12.53,96.9822
"2",99,51099,"King George County","High in DEQ data not in USDA","KING GEORGE",672,651,21,3.23,3.12,20.9664
