"","Countycode","GEOID","NAMELSAD","Count","Facility_withdrawal_mg","Irrigated_Acreage","Irrigated_Operations"
"1",1,51001,"Accomack County",39,3480.674,9716,58
"2",101,51101,"King William County",7,143.51,2456,19
"3",107,51107,"Loudoun County",3,36.6,3666,93
"4",111,51111,"Lunenburg County",7,10,1483,51
"5",113,51113,"Madison County",2,0,334,29
"6",115,51115,"Mathews County",2,0,117,6
"7",117,51117,"Mecklenburg County",7,5.59,4158,123
"8",119,51119,"Middlesex County",4,13.4,651,10
"9",121,51121,"Montgomery County",3,17,302,27
"10",125,51125,"Nelson County",6,192.13,796,49
"11",127,51127,"New Kent County",2,11.89,458,14
"12",131,51131,"Northampton County",30,742.087,9338,66
"13",135,51135,"Nottoway County",1,0,457,19
"14",137,51137,"Orange County",2,0.45,1556,35
"15",139,51139,"Page County",7,34.476,238,11
"16",143,51143,"Pittsylvania County",99,86.068,5606,235
"17",145,51145,"Powhatan County",6,0.58,229,17
"18",147,51147,"Prince Edward County",1,38.6,526,33
"19",15,51015,"Augusta County",34,461.554,3416,101
"20",153,51153,"Prince William County",2,3.4,1174,19
"21",161,51161,"Roanoke County",4,20.7,92,18
"22",163,51163,"Rockbridge County",1,0,699,36
"23",165,51165,"Rockingham County",32,276.896,4355,141
"24",167,51167,"Russell County",1,0,253,27
"25",171,51171,"Shenandoah County",13,30.277,1110,49
"26",173,51173,"Smyth County",1,0,452,30
"27",175,51175,"Southampton County",3,41,2384,20
"28",177,51177,"Spotsylvania County",1,60.56,346,16
"29",181,51181,"Surry County",2,53.203,1472,17
"30",183,51183,"Sussex County",3,38.6,1410,15
"31",193,51193,"Westmoreland County",5,311.381,1474,31
"32",25,51025,"Brunswick County",4,0,1474,58
"33",31,51031,"Campbell County",4,0,1328,71
"34",33,51033,"Caroline County",11,960.526,2272,24
"35",35,51035,"Carroll County",3,0,785,36
"36",36,51036,"Charles City County",4,268.67,1122,14
"37",37,51037,"Charlotte County",3,0,1454,81
"38",41,51041,"Chesterfield County",6,55,572,20
"39",43,51043,"Clarke County",3,42.8,326,28
"40",47,51047,"Culpeper County",4,4.11,589,34
"41",5,51005,"Alleghany County",1,0,191,9
"42",53,51053,"Dinwiddie County",41,14.055,1163,55
"43",550,51550,"Chesapeake city",1,0,313,48
"44",57,51057,"Essex County",6,140.34,246,11
"45",59,51059,"Fairfax County",3,14.599,102,24
"46",67,51067,"Franklin County",8,11.81,1126,88
"47",69,51069,"Frederick County",3,9,520,44
"48",7,51007,"Amelia County",6,42.093,886,36
"49",75,51075,"Goochland County",1,0,102,7
"50",79,51079,"Greene County",1,0,37,14
"51",800,51800,"Suffolk city",6,208.64,1167,40
"52",81,51081,"Greensville County",3,50.8297,734,8
"53",810,51810,"Virginia Beach city",2,0,432,37
"54",83,51083,"Halifax County",14,26.816,2617,126
"55",85,51085,"Hanover County",8,236.0457,2392,66
"56",93,51093,"Isle of Wight County",11,97.5,790,8
"57",97,51097,"King and Queen County",4,256.91,743,10
