"","AREA OPERATED: (1.0 TO 9.9 ACRES)","AREA OPERATED: (10.0 TO 49.9 ACRES)","AREA OPERATED: (50.0 TO 69.9 ACRES)","AREA OPERATED: (70.0 TO 99.9 ACRES)","AREA OPERATED: (100 TO 139 ACRES)","AREA OPERATED: (140 TO 179 ACRES)","AREA OPERATED: (180 TO 219 ACRES)","AREA OPERATED: (220 TO 259 ACRES)","AREA OPERATED: (260 TO 499 ACRES)","AREA OPERATED: (500 TO 999 ACRES)","AREA OPERATED: (1,000 TO 1,999 ACRES)","AREA OPERATED: (2,000 OR MORE ACRES)"
"ACCOMACK","11","37","86","6","(D)",NA,"(D)","294","(D)","(D)","(D)","3,821"
"ALBEMARLE","25","(D)","(D)","10","34","100","(D)","(D)","(D)","(D)",NA,"(D)"
"ALLEGHANY","(D)","(D)",NA,NA,"(D)",NA,NA,NA,NA,NA,NA,NA
"AMELIA","5","16","(D)",NA,"(D)","(D)",NA,NA,"(D)","(D)","(D)",NA
"ARLINGTON","(D)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUGUSTA","34","53","(D)","86","(D)","71",NA,"(D)","224","881","1,300","(D)"
"BEDFORD","6","10","(D)","10","(D)",NA,"(D)","(D)","(D)","(D)",NA,NA
"BOTETOURT","(D)",NA,"19",NA,NA,"(D)",NA,"(D)",NA,NA,"(D)",NA
"BRUNSWICK","(D)","28",NA,"(D)",NA,NA,"(D)","(D)","(D)","368","(D)","(D)"
"BUCHANAN","(D)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAMPBELL","(D)","78","6","(D)","6",NA,"35","8","31",NA,"(D)",NA
"CARROLL","5","5","(D)",NA,NA,NA,NA,NA,"(D)","(D)","(D)",NA
"CLARKE","8","(D)","6","(D)","(D)",NA,NA,"(D)",NA,NA,"(D)","(D)"
"CRAIG","(D)",NA,"(D)","(D)",NA,NA,NA,NA,NA,NA,NA,NA
"CULPEPER","9","55","(D)",NA,"(D)","(D)",NA,NA,NA,"(D)","(D)",NA
"DINWIDDIE","(D)","27","(D)","(D)",NA,"92","12",NA,"(D)","(D)","264","625"
"ESSEX","(D)","(D)","(D)",NA,NA,NA,NA,NA,NA,NA,"(D)","(D)"
"FAIRFAX","15","26",NA,"(D)","(D)",NA,NA,NA,NA,NA,NA,NA
"FAUQUIER","25","92","(D)","15","(D)","68","(D)",NA,"(D)","(D)","(D)",NA
"FLOYD","3","47","22","6","38","40",NA,"(D)","(D)","(D)","(D)",NA
"FRANKLIN","11","61","(D)","14",NA,NA,"8",NA,"290","427","(D)",NA
"FREDERICK","9","49","(D)","(D)","12",NA,NA,NA,NA,"(D)","(D)","(D)"
"GILES","13","(D)","(D)","(D)",NA,NA,NA,NA,NA,NA,NA,NA
"GLOUCESTER","(D)","34",NA,"(D)",NA,NA,NA,"(D)",NA,NA,NA,NA
"GRAYSON","(D)","17",NA,NA,NA,"(D)",NA,NA,"(D)",NA,NA,NA
"GREENE","(D)","25",NA,"(D)",NA,NA,"(D)",NA,NA,NA,NA,NA
"GREENSVILLE","4","5",NA,NA,NA,NA,NA,NA,NA,"(D)","(D)","(D)"
"HALIFAX","11","23","77","77","70","(D)","31","(D)","259","758","766",NA
"HANOVER","26","95","4","(D)","63","59","39","(D)","(D)","(D)","1,174","1,399"
"HENRICO","(D)","7","(D)","(D)",NA,"(D)",NA,"(D)",NA,NA,NA,"(D)"
"HENRY","20","(D)",NA,NA,"(D)",NA,"(D)",NA,NA,NA,"(D)",NA
"HIGHLAND","(D)",NA,NA,"(D)",NA,NA,NA,NA,NA,NA,NA,NA
"KING AND QUEEN","(D)","18",NA,"(D)",NA,"(D)",NA,NA,NA,NA,"(D)","(D)"
"LEE","(D)","51",NA,"7",NA,"(D)",NA,NA,NA,"(D)",NA,NA
"LOUDOUN","38","155","(D)","20","17","111","(D)",NA,"211","(D)",NA,NA
"LOUISA","11","18","7","29","(D)",NA,"(D)",NA,"(D)","(D)",NA,NA
"MADISON","9","9","(D)",NA,"40",NA,"(D)",NA,"(D)",NA,"(D)",NA
"MATHEWS","(D)","(D)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MECKLENBURG","5","34","47","(D)","16","(D)",NA,"(D)","225","648","562","1,129"
"MIDDLESEX","(D)","(D)",NA,NA,NA,"(D)","(D)",NA,NA,NA,"(D)","(D)"
"MONTGOMERY","15","19",NA,"(D)",NA,NA,NA,NA,"(D)",NA,NA,"(D)"
"NELSON","15","18","11","6","(D)","(D)",NA,NA,"(D)","(D)","639",NA
"NEW KENT","(D)",NA,NA,NA,"(D)",NA,NA,NA,NA,NA,NA,NA
"NORTHAMPTON","22","8","17",NA,"(D)","(D)","(D)","(D)","534","999","2,876","(D)"
"NORTHUMBERLAND","(D)",NA,NA,NA,"(D)",NA,NA,NA,NA,"(D)",NA,NA
"NOTTOWAY","(D)","9",NA,NA,NA,"43",NA,"(D)",NA,NA,"(D)",NA
"ORANGE","3","27",NA,"(D)","88","(D)","(D)","(D)","(D)","330","(D)",NA
"PAGE","10","(D)","(D)","3",NA,"80",NA,NA,"875","(D)",NA,NA
"PATRICK","7","22","(D)","(D)",NA,"70","3",NA,"(D)",NA,"(D)",NA
"PITTSYLVANIA","19","65","(D)","(D)","61","19","138","160","503","1,182","922","(D)"
"POWHATAN","6","9","(D)",NA,"(D)",NA,NA,NA,NA,NA,"(D)",NA
"PRINCE EDWARD","(D)","(D)","(D)",NA,NA,NA,NA,NA,"85",NA,NA,NA
"PRINCE GEORGE","(D)",NA,NA,NA,NA,"(D)",NA,NA,NA,NA,NA,NA
"PRINCE WILLIAM","4","41",NA,"24","(D)","(D)","(D)",NA,NA,NA,NA,"(D)"
"PULASKI","(D)","(D)","6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"RAPPAHANNOCK","6","68","(D)","(D)",NA,"(D)",NA,NA,"(D)",NA,NA,NA
"RICHMOND","(D)","(D)","(D)",NA,NA,NA,NA,"(D)",NA,NA,NA,NA
"ROANOKE","4","49",NA,NA,NA,"43",NA,NA,NA,NA,NA,NA
"ROCKBRIDGE","4","46","(D)","(D)",NA,"(D)",NA,NA,NA,NA,"(D)",NA
"ROCKINGHAM","46","(D)","95","206","412","205","414","(D)","1,310","747","1,288","(D)"
"SHENANDOAH","22","54","35",NA,NA,"(D)",NA,"(D)","(D)",NA,"(D)","(D)"
"SMYTH","(D)","7",NA,"(D)",NA,NA,NA,NA,"(D)",NA,NA,NA
"SOUTHAMPTON","(D)","12",NA,"(D)",NA,NA,NA,NA,"(D)","(D)","1,595","881"
"SPOTSYLVANIA","12","10",NA,"(D)","(D)",NA,NA,NA,"(D)",NA,"(D)",NA
"STAFFORD","8","(D)","(D)","(D)",NA,NA,NA,NA,NA,NA,NA,NA
"SURRY","(D)","62",NA,NA,NA,"(D)",NA,NA,NA,"(D)","(D)","(D)"
"SUSSEX","4","15","(D)",NA,"102","(D)","(D)",NA,NA,"(D)","(D)","(D)"
"WARREN","3","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WASHINGTON","7","43","(D)","4","(D)","(D)","(D)",NA,"3",NA,"(D)",NA
"WESTMORELAND","(D)","116","53","67","(D)","(D)",NA,NA,"(D)","(D)","(D)","(D)"
"WISE","(D)","5",NA,"(D)","(D)",NA,NA,NA,NA,NA,NA,NA
"YORK","8","(D)","(D)",NA,NA,NA,NA,NA,NA,NA,"(D)",NA
"CHESAPEAKE CITY","27","(D)","94","(D)",NA,NA,NA,NA,NA,"(D)",NA,NA
"SUFFOLK CITY","(D)","37","(D)",NA,"34","(D)",NA,NA,"(D)","(D)",NA,"(D)"
"VIRGINIA BEACH CITY","18","22","(D)","4","(D)","(D)",NA,"44",NA,NA,NA,NA
"APPOMATTOX",NA,"45",NA,NA,"(D)",NA,"(D)","(D)","28",NA,"(D)",NA
"BATH",NA,"(D)",NA,NA,"(D)","(D)",NA,NA,NA,NA,NA,NA
"BUCKINGHAM",NA,"(D)","(D)",NA,NA,NA,NA,"(D)",NA,"(D)",NA,NA
"CAROLINE",NA,"25","(D)",NA,NA,NA,NA,"(D)","(D)","(D)","798","(D)"
"CHARLES CITY",NA,"7",NA,"(D)",NA,NA,"(D)",NA,NA,"(D)",NA,"(D)"
"CHARLOTTE",NA,"17","(D)",NA,"25","(D)","37",NA,"78","434","(D)","(D)"
"CHESTERFIELD",NA,"(D)",NA,"7",NA,"3",NA,NA,"(D)",NA,NA,NA
"DICKENSON",NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FLUVANNA",NA,"(D)",NA,NA,"(D)","(D)",NA,NA,NA,"(D)",NA,NA
"GOOCHLAND",NA,"5","(D)","18","(D)",NA,NA,NA,NA,"(D)",NA,NA
"ISLE OF WIGHT",NA,"8",NA,"(D)",NA,NA,NA,NA,NA,"(D)","(D)",NA
"JAMES CITY",NA,"(D)",NA,"(D)",NA,"(D)",NA,NA,NA,NA,NA,NA
"KING GEORGE",NA,"(D)","(D)",NA,NA,NA,NA,NA,"(D)","(D)",NA,NA
"KING WILLIAM",NA,"(D)",NA,"9",NA,NA,"80",NA,NA,"500","(D)","(D)"
"LANCASTER",NA,"(D)","(D)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LUNENBURG",NA,"6",NA,"14","39","(D)","(D)",NA,"78","190","(D)",NA
"SCOTT",NA,"3","(D)","6","(D)",NA,NA,NA,"(D)","(D)",NA,NA
"TAZEWELL",NA,"10",NA,NA,NA,NA,"4",NA,NA,"4",NA,NA
"WYTHE",NA,"30","13",NA,"(D)",NA,NA,NA,NA,"(D)","(D)",NA
"CUMBERLAND",NA,NA,"(D)",NA,NA,NA,"(D)",NA,"(D)",NA,NA,NA
"RUSSELL",NA,NA,"(D)",NA,NA,NA,NA,NA,"(D)","(D)",NA,NA
"AMHERST",NA,NA,NA,"(D)","(D)",NA,NA,NA,"(D)","(D)",NA,NA
"BLAND",NA,NA,NA,NA,NA,"(D)",NA,NA,NA,NA,NA,"(D)"
