,County,Irr.Area.Under.TH,Pct.Under.Th
1,ACCOMACK,58,1.14
2,ALBEMARLE,113,14.43
3,AMELIA,19,9.27
4,AMHERST,23,13.07
5,APPOMATTOX,24,100
6,AUGUSTA,199,7.8
7,BEDFORD,51,100
8,BRUNSWICK,6,0.28
9,BUCHANAN,0,NA
10,BUCKINGHAM,19,29.23
11,CAMPBELL,40,12.78
12,CARROLL,16,2.68
13,CHARLES CITY,15,1.09
14,CHARLOTTE,94,17.6
15,CHESTERFIELD,28,37.33
16,CLARKE,34,23.78
17,CRAIG,19,16.52
18,CULPEPER,167,27.15
19,CUMBERLAND,23,13.77
20,DINWIDDIE,27,1.71
21,ESSEX,3,100
22,FAIRFAX,60,100
23,FAUQUIER,217,48.01
24,FLOYD,122,67.03
25,FRANKLIN,107,24.26
26,FREDERICK,15,39.47
27,GILES,27,100
28,GLOUCESTER,13,100
29,GREENE,24,100
30,GREENSVILLE,5,100
31,HALIFAX,52,4.9
32,HANOVER,179,5.02
33,HENRICO,28,100
34,HENRY,14,32.56
35,ISLE OF WIGHT,37,3.96
36,JAMES CITY,27,67.5
37,KING AND QUEEN,37,3.03
38,KING WILLIAM,17,1.05
39,LANCASTER,12,100
40,LEE,32,100
41,LOUDOUN,242,61.73
42,LOUISA,90,41.86
43,MADISON,67,83.75
44,MATHEWS,10,100
45,MECKLENBURG,101,2.43
46,MIDDLESEX,26,9.63
47,MONTGOMERY,36,11.15
48,NELSON,66,6.5
49,NEW KENT,18,6.64
50,NORTHAMPTON,8,0.14
51,NOTTOWAY,44,100
52,ORANGE,39,18.22
53,PAGE,20,18.52
54,PATRICK,77,36.15
55,PITTSYLVANIA,78,5.23
56,POWHATAN,16,25.4
57,PRINCE EDWARD,14,100
58,PRINCE GEORGE,0,NA
59,PRINCE WILLIAM,34,3.61
60,PULASKI,28,100
61,RAPPAHANNOCK,61,100
62,RICHMOND,16,55.17
63,ROANOKE,71,100
64,ROCKBRIDGE,40,48.19
65,ROCKINGHAM,282,5.1
66,SCOTT,13,100
67,SHENANDOAH,99,11.09
68,SMYTH,28,100
69,SPOTSYLVANIA,27,28.12
70,STAFFORD,10,100
71,SURRY,10,1.08
72,TAZEWELL,0,NA
73,WARREN,10,100
74,WASHINGTON,51,41.8
75,WESTMORELAND,111,12.59
76,WISE,15,55.56
77,YORK,11,100
78,CHESAPEAKE CITY,57,79.17
79,SUFFOLK CITY,60,10.26
80,VIRGINIA BEACH CITY,65,20.63
81,BOTETOURT,10,100
82,CAROLINE,19,0.56
83,FLUVANNA,18,22.78
84,GOOCHLAND,20,17.86
85,GRAYSON,21,13.12
86,HIGHLAND,0,NA
87,KING GEORGE,0,NA
88,LUNENBURG,15,1.07
89,SOUTHAMPTON,14,0.86
90,WYTHE,18,100
91,BATH,0,NA
92,RUSSELL,0,NA
93,SUSSEX,15,2.15
94,BLAND,4,0.5
