"","GEOID","NAMELSAD","Rank_DEQ_F_Withdrawls","Rank_Deq_fac","Rank_census_Irr_Acreage","Rank_census_Operations","Acreage_withdarwal_difference","Facilities_Operations_difference"
"1",51001,"Accomack County",1,3,1,12,0,-9
"2",51005,"Alleghany County",43,48,52,53,-9,-5
"3",51007,"Amelia County",21,17,27,22,-6,-5
"4",51015,"Augusta County",4,4,7,5,-3,-1
"5",51025,"Brunswick County",44,24,15.5,13,28.5,11
"6",51031,"Campbell County",45,25,20,9,25,16
"7",51033,"Caroline County",2,9,12,34,-10,-25
"8",51035,"Carroll County",46,31,30,23,16,8
"9",51036,"Charles City County",7,26,25,46,-18,-20
"10",51037,"Charlotte County",47,32,18,8,29,24
"11",51041,"Chesterfield County",17,18,36,36,-19,-18
"12",51043,"Clarke County",20,33,45,31,-25,2
"13",51047,"Culpeper County",39,27,35,26,4,1
"14",51053,"Dinwiddie County",32,2,23,14,9,-12
"15",51057,"Essex County",13,19,49,49,-36,-30
"16",51059,"Fairfax County",31,34,54.5,35,-23.5,-1
"17",51067,"Franklin County",35,11,24,7,11,4
"18",51069,"Frederick County",37,35,38,19,-1,16
"19",51075,"Goochland County",48,49,54.5,56,-6.5,-7
"20",51079,"Greene County",49,50,57,47,-8,3
"21",51081,"Greensville County",19,36,32,54,-13,-18
"22",51083,"Halifax County",28,7,8,3,20,4
"23",51085,"Hanover County",9,12,10,10,-1,2
"24",51093,"Isle of Wight County",14,10,29,55,-15,-45
"25",51097,"King and Queen County",8,28,31,51,-23,-23
"26",51101,"King William County",12,13,9,38,3,-25
"27",51107,"Loudoun County",25,37,6,6,19,31
"28",51111,"Lunenburg County",36,14,14,15,22,-1
"29",51113,"Madison County",50,41,44,30,6,11
"30",51115,"Mathews County",51,42,53,57,-2,-15
"31",51117,"Mecklenburg County",38,15,5,4,33,11
"32",51119,"Middlesex County",33,29,34,52,-1,-23
"33",51121,"Montgomery County",30,38,47,32,-17,6
"34",51125,"Nelson County",11,20,28,16,-17,4
"35",51127,"New Kent County",34,43,39,48,-5,-5
"36",51131,"Northampton County",3,6,2,11,1,-5
"37",51135,"Nottoway County",52,51,40,39,12,12
"38",51137,"Orange County",42,44,13,25,29,19
"39",51139,"Page County",26,16,50,50,-24,-34
"40",51143,"Pittsylvania County",15,1,3,1,12,0
"41",51145,"Powhatan County",41,21,51,42,-10,-21
"42",51147,"Prince Edward County",23,52,37,27,-14,25
"43",51153,"Prince William County",40,45,21,40,19,5
"44",51161,"Roanoke County",29,30,56,41,-27,-11
"45",51163,"Rockbridge County",53,53,33,24,20,29
"46",51165,"Rockingham County",6,5,4,2,2,3
"47",51167,"Russell County",54,54,48,33,6,21
"48",51171,"Shenandoah County",27,8,26,17,1,-9
"49",51173,"Smyth County",55,55,41,29,14,26
"50",51175,"Southampton County",22,39,11,37,11,2
"51",51177,"Spotsylvania County",16,56,43,44,-27,12
"52",51181,"Surry County",18,46,17,43,1,3
"53",51183,"Sussex County",24,40,19,45,5,-5
"54",51193,"Westmoreland County",5,23,15.5,28,-10.5,-5
"55",51550,"Chesapeake city",56,57,46,18,10,39
"56",51800,"Suffolk city",10,22,22,20,-12,2
"57",51810,"Virginia Beach city",57,47,42,21,15,26
