"","County","Total.Irri.Area","Irr.Area.above.TH","Irr.Area.Under.TH","Pct.under.TH.of.Irri.area.abv.TH","Pct.under.TH.of.total.Irr.area","AcreageUnderTh"
"1","ACCOMACK",5371,5317,54,1.02,1.01,54.2471
"2","ALBEMARLE",1456,1288,168,13.04,11.54,168.0224
"3","ALLEGHANY",8,0,8,Inf,100,8
"4","AMELIA",374,329,45,13.68,12.03,44.9922
"5","AMHERST",0,0,0,NA,NA,NA
"6","APPOMATTOX",105,24,81,337.5,77.14,80.997
"7","ARLINGTON",0,0,0,NA,NA,NA
"8","AUGUSTA",3271,3184,87,2.73,2.66,87.0086
"9","BATH",19,0,19,Inf,100,19
"10","BEDFORD",93,39,54,138.46,58.06,53.9958
"11","BLAND",0,0,0,NA,NA,NA
"12","BOTETOURT",52,27,25,92.59,48.08,25.0016
"13","BRUNSWICK",1280,1240,40,3.23,3.12,39.936
"14","BUCHANAN",0,0,0,NA,NA,NA
"15","BUCKINGHAM",16,0,16,Inf,100,16
"16","CAMPBELL",290,192,98,51.04,33.79,97.991
"17","CAROLINE",1959,1934,25,1.29,1.28,25.0752
"18","CARROLL",1086,1067,19,1.78,1.75,19.005
"19","CHARLES CITY",1435,1424,11,0.77,0.77,11.0495
"20","CHARLOTTE",759,674,85,12.61,11.2,85.008
"21","CHESTERFIELD",64,52,12,23.08,18.75,12
"22","CLARKE",249,221,28,12.67,11.24,27.9876
"23","CRAIG",10,0,10,Inf,100,10
"24","CULPEPER",641,577,64,11.09,9.98,63.9718
"25","CUMBERLAND",18,0,18,Inf,100,18
"26","DICKENSON",12,0,12,Inf,100,12
"27","DINWIDDIE",1162,1109,53,4.78,4.56,52.9872
"28","ESSEX",0,0,0,NA,NA,NA
"29","FAIRFAX",50,0,50,Inf,100,50
"30","FAUQUIER",394,187,207,110.7,52.54,207.0076
"31","FLOYD",192,59,133,225.42,69.27,132.9984
"32","FLUVANNA",144,83,61,73.49,42.36,60.9984
"33","FRANKLIN",893,790,103,13.04,11.53,102.9629
"34","FREDERICK",151,72,79,109.72,52.32,79.0032
"35","GILES",32,0,32,Inf,100,32
"36","GLOUCESTER",46,0,46,Inf,100,46
"37","GOOCHLAND",32,0,32,Inf,100,32
"38","GRAYSON",45,0,45,Inf,100,45
"39","GREENE",49,11,38,345.45,77.55,37.9995
"40","GREENSVILLE",246,237,9,3.8,3.66,9.0036
"41","HALIFAX",2152,1929,223,11.56,10.36,222.9472
"42","HANOVER",3338,3091,247,7.99,7.4,247.012
"43","HENRICO",7,0,7,Inf,100,7
"44","HENRY",137,97,40,41.24,29.2,40.004
"45","HIGHLAND",20,11,9,81.82,45,9
"46","ISLE OF WIGHT",702,689,13,1.89,1.85,12.987
"47","JAMES CITY",37,22,15,68.18,40.54,14.9998
"48","KING AND QUEEN",18,0,18,Inf,100,18
"49","KING GEORGE",350,316,34,10.76,9.71,33.985
"50","KING WILLIAM",1125,1109,16,1.44,1.42,15.975
"51","LANCASTER",0,0,0,NA,NA,NA
"52","LEE",61,0,61,Inf,100,61
"53","LOUDOUN",580,345,235,68.12,40.52,235.016
"54","LOUISA",278,190,88,46.32,31.65,87.987
"55","LUNENBURG",444,411,33,8.03,7.43,32.9892
"56","MADISON",70,40,30,75,42.86,30.002
"57","MATHEWS",17,0,17,Inf,100,17
"58","MECKLENBURG",2760,2694,66,2.45,2.39,65.964
"59","MIDDLESEX",477,459,18,3.92,3.77,17.9829
"60","MONTGOMERY",349,312,37,11.86,10.6,36.994
"61","NELSON",862,805,57,7.08,6.61,56.9782
"62","NEW KENT",0,0,0,NA,NA,NA
"63","NORTHAMPTON",6335,6288,47,0.75,0.74,46.879
"64","NORTHUMBERLAND",38,36,2,5.56,5.26,1.9988
"65","NOTTOWAY",75,20,55,275,73.33,54.9975
"66","ORANGE",563,512,51,9.96,9.06,51.0078
"67","PAGE",1005,986,19,1.93,1.89,18.9945
"68","PATRICK",108,70,38,54.29,35.19,38.0052
"69","PITTSYLVANIA",3717,3533,184,5.21,4.95,183.9915
"70","POWHATAN",99,79,20,25.32,20.2,19.998
"71","PRINCE EDWARD",96,85,11,12.94,11.46,11.0016
"72","PRINCE GEORGE",8,0,8,Inf,100,8
"73","PRINCE WILLIAM",1006,937,69,7.36,6.86,69.0116
"74","PULASKI",14,0,14,Inf,100,14
"75","RAPPAHANNOCK",121,26,95,365.38,78.51,94.9971
"76","RICHMOND",126,105,21,20,16.67,21.0042
"77","ROANOKE",96,43,53,123.26,55.21,53.0016
"78","ROCKBRIDGE",137,78,59,75.64,43.07,59.0059
"79","ROCKINGHAM",5645,5295,350,6.61,6.2,349.99
"80","RUSSELL",12,0,12,Inf,100,12
"81","SCOTT",56,33,23,69.7,41.07,22.9992
"82","SHENANDOAH",719,608,111,18.26,15.44,111.0136
"83","SMYTH",18,0,18,Inf,100,18
"84","SOUTHAMPTON",3246,3218,28,0.87,0.86,27.9156
"85","SPOTSYLVANIA",58,29,29,100,50,29
"86","STAFFORD",25,0,25,Inf,100,25
"87","SURRY",1238,1173,65,5.54,5.25,64.995
"88","SUSSEX",1371,1346,25,1.86,1.82,24.9522
"89","TAZEWELL",18,0,18,Inf,100,18
"90","WARREN",12,0,12,Inf,100,12
"91","WASHINGTON",224,135,89,65.93,39.73,88.9952
"92","WESTMORELAND",1642,1640,2,0.12,0.12,1.9704
"93","WISE",12,0,12,Inf,100,12
"94","WYTHE",72,20,52,260,72.22,51.9984
"95","YORK",21,13,8,61.54,38.1,8.001
"96","CHESAPEAKE CITY",282,214,68,31.78,24.11,67.9902
"97","SUFFOLK CITY",414,352,62,17.61,14.98,62.0172
