"","County","Total.Irri.Area","Irr.Area.above.TH","Irr.Area.Under.TH","Pct.under.TH.of.Irri.area.abv.TH","Pct.under.TH.of.total.Irr.area","AcreageUnderTh"
"61","NORTHAMPTON",9286,9238,48,0.52,0.52,48.2872
"62","NORTHUMBERLAND",62,61,1,1.64,1.61,0.9982
"63","NOTTOWAY",386,354,32,9.04,8.29,31.9994
"64","ORANGE",627,588,39,6.63,6.22,38.9994
"65","PAGE",296,249,47,18.88,15.88,47.0048
"66","PATRICK",432,410,22,5.37,5.09,21.9888
"67","PITTSYLVANIA",4187,4123,64,1.55,1.53,64.0611
"68","POWHATAN",28,26,2,7.69,7.14,1.9992
"69","PRINCE EDWARD",123,63,60,95.24,48.78,59.9994
"70","PRINCE GEORGE",6,0,6,Inf,100,6
"71","PRINCE WILLIAM",685,596,89,14.93,12.99,88.9815
"72","PULASKI",241,218,23,10.55,9.54,22.9914
"73","RAPPAHANNOCK",132,76,56,73.68,42.42,55.9944
"74","RICHMOND",243,241,2,0.83,0.82,1.9926
"75","ROANOKE",94,41,53,129.27,56.38,52.9972
"76","ROCKBRIDGE",109,63,46,73.02,42.2,45.998
"77","ROCKINGHAM",4808,4567,241,5.28,5.01,240.8808
"78","RUSSELL",134,106,28,26.42,20.9,28.006
"79","SCOTT",243,159,84,52.83,34.57,84.0051
"80","SHENANDOAH",755,630,125,19.84,16.56,125.028
"81","SMYTH",188,122,66,54.1,35.11,66.0068
"82","SOUTHAMPTON",3507,3417,90,2.63,2.57,90.1299
"83","SPOTSYLVANIA",144,65,79,121.54,54.86,78.9984
"84","STAFFORD",221,210,11,5.24,4.98,11.0058
"85","SURRY",1028,1006,22,2.19,2.14,21.9992
"86","SUSSEX",1645,1645,0,0,0,0
"87","TAZEWELL",330,301,29,9.63,8.79,29.007
"88","WARREN",58,0,58,Inf,100,58
"89","WASHINGTON",410,287,123,42.86,30,123
"90","WESTMORELAND",1673,1668,5,0.3,0.3,5.019
"91","WISE",115,110,5,4.55,4.35,5.0025
"92","WYTHE",164,109,55,50.46,33.54,55.0056
"93","YORK",17,0,17,Inf,100,17
"94","CHESAPEAKE CITY",239,183,56,30.6,23.43,55.9977
"95","SUFFOLK CITY",616,548,68,12.41,11.04,68.0064
"96","VIRGINIA BEACH CITY",193,142,51,35.92,26.42,50.9906
