"","County","Total.Irri.Area","Irr.Area.above.TH","Irr.Area.Under.TH","Pct.under.TH.of.Irri.area.abv.TH","Pct.under.TH.of.total.Irr.area","AcreageUnderTh"
"1","ACCOMACK",6508,6459,49,0.76,0.75,48.81
"2","ALBEMARLE",1026,956,70,7.32,6.82,69.9732
"3","ALLEGHANY",0,0,0,NA,NA,NA
"4","AMELIA",562,524,38,7.25,6.76,37.9912
"5","AMHERST",147,120,27,22.5,18.37,27.0039
"6","APPOMATTOX",43,0,43,Inf,100,43
"7","AUGUSTA",3813,3618,195,5.39,5.11,194.8443
"8","BATH",7,0,7,Inf,100,7
"9","BEDFORD",567,526,41,7.79,7.23,40.9941
"10","BLAND",10,0,10,Inf,100,10
"11","BOTETOURT",63,38,25,65.79,39.68,24.9984
"12","BRUNSWICK",1316,1290,26,2.02,1.98,26.0568
"13","BUCHANAN",0,0,0,NA,NA,NA
"14","BUCKINGHAM",39,13,26,200,66.67,26.0013
"15","CAMPBELL",779,672,107,15.92,13.74,107.0346
"16","CAROLINE",2112,2033,79,3.89,3.74,78.9888
"17","CARROLL",600,569,31,5.45,5.17,31.02
"18","CHARLES CITY",739,727,12,1.65,1.62,11.9718
"19","CHARLOTTE",731,595,136,22.86,18.6,135.966
"20","CHESTERFIELD",185,139,46,33.09,24.86,45.991
"21","CLARKE",514,454,60,13.22,11.67,59.9838
"22","CRAIG",6,0,6,Inf,100,6
"23","CULPEPER",1266,1199,67,5.59,5.29,66.9714
"24","CUMBERLAND",0,0,0,NA,NA,NA
"25","DICKENSON",0,0,0,NA,NA,NA
"26","DINWIDDIE",1885,1860,25,1.34,1.33,25.0705
"27","ESSEX",0,0,0,NA,NA,NA
"28","FAIRFAX",40,0,40,Inf,100,40
"29","FAUQUIER",920,760,160,21.05,17.39,159.988
"30","FLOYD",108,0,108,Inf,100,108
"31","FLUVANNA",264,234,30,12.82,11.36,29.9904
"32","FRANKLIN",872,732,140,19.13,16.06,140.0432
"33","FREDERICK",298,197,101,51.27,33.89,100.9922
"34","GILES",30,17,13,76.47,43.33,12.999
"35","GLOUCESTER",58,0,58,Inf,100,58
"36","GOOCHLAND",20,0,20,Inf,100,20
"37","GRAYSON",97,60,37,61.67,38.14,36.9958
"38","GREENE",154,107,47,43.93,30.52,47.0008
"39","GREENSVILLE",0,0,0,NA,NA,NA
"40","HALIFAX",1549,1426,123,8.63,7.94,122.9906
"41","HANOVER",3188,3072,116,3.78,3.64,116.0432
"42","HENRICO",25,0,25,Inf,100,25
"43","HENRY",525,519,6,1.16,1.14,5.985
"44","ISLE OF WIGHT",702,658,44,6.69,6.27,44.0154
"45","JAMES CITY",29,13,16,123.08,55.17,15.9993
"46","KING AND QUEEN",16,0,16,Inf,100,16
"47","KING GEORGE",672,651,21,3.23,3.12,20.9664
"48","KING WILLIAM",2690,2690,0,0,0,0
"49","LANCASTER",0,0,0,NA,NA,NA
"50","LEE",297,254,43,16.93,14.48,43.0056
"51","LOUDOUN",3533,3391,142,4.19,4.02,142.0266
"52","LOUISA",279,225,54,24,19.35,53.9865
"53","LUNENBURG",770,735,35,4.76,4.55,35.035
"54","MADISON",69,30,39,130,56.52,38.9988
"55","MATHEWS",53,34,19,55.88,35.85,19.0005
"56","MECKLENBURG",3235,3175,60,1.89,1.85,59.8475
"57","MIDDLESEX",480,480,0,0,0,0
"58","MONTGOMERY",384,346,38,10.98,9.9,38.016
"59","NELSON",774,677,97,14.33,12.53,96.9822
"60","NEW KENT",495,488,7,1.43,1.41,6.9795
