year,precip
2002,3.0722
2003,6.785
2004,5.7742
2005,3.2214
2006,5.0142
2007,2.7196
2008,4.0378
2009,4.4798
2010,3.382
2011,5.1346
2012,4.05
2013,4.2222
2014,3.9642
2015,4.3386
2016,5.5266
2017,4.6386
