"","County_Name","County_Code","Irrigated_Operations","Irrigated_Acreage","Size_Bins","Ops_Bins"
"1","ACCOMACK","001","44","5370",6,11
"2","ALBEMARLE","003","63","1456",4,11
"3","ALLEGHANY","005","8","8",0,3
"4","AMELIA","007","22","375",2,8
"5","AMHERST","009","5","-9999",0,4
"6","APPOMATTOX","011","22","105",2,6
"7","ARLINGTON","013","2","-9999",0,1
"8","AUGUSTA","015","95","3271",7,11
"9","BATH","017","6","19",0,3
"10","BEDFORD","019","30","94",3,9
"11","BLAND","021","3","-9999",0,2
"12","BOTETOURT","023","8","52",1,5
"13","BRUNSWICK","025","22","1281",2,9
"14","BUCHANAN","027","1","-9999",0,1
"15","BUCKINGHAM","029","6","16",0,4
"16","CAMPBELL","031","46","291",6,9
"17","CAROLINE","033","18","1959",2,7
"18","CARROLL","035","23","1086",2,6
"19","CHARLES CITY","036","10","1435",1,5
"20","CHARLOTTE","037","47","760",5,9
"21","CHESTERFIELD","041","9","64",2,4
"22","CLARKE","043","17","249",2,8
"23","CRAIG","045","4","11",0,3
"24","CULPEPER","047","34","641",2,7
"25","CUMBERLAND","049","5","18",0,3
"26","DICKENSON","051","3","12",1,1
"27","DINWIDDIE","053","30","1161",5,10
"28","ESSEX","057","8","-9999",0,5
"29","FAIRFAX","059","30","50",2,4
"30","FAUQUIER","061","62","395",4,10
"31","FLOYD","063","36","192",6,10
"32","FLUVANNA","065","21","144",0,4
"33","FRANKLIN","067","54","893",6,8
"34","FREDERICK","069","23","150",3,8
"35","GILES","071","20","33",1,4
"36","GLOUCESTER","073","17","46",1,4
"37","GOOCHLAND","075","15","31",2,5
"38","GRAYSON","077","20","44",1,4
"39","GREENE","079","14","49",1,4
"40","GREENSVILLE","081","10","246",2,5
"41","HALIFAX","083","85","2152",9,11
"42","HANOVER","085","81","3338",8,12
"43","HENRICO","087","14","-9999",1,7
"44","HENRY","089","13","137",1,5
"45","HIGHLAND","091","3","20",0,2
"46","ISLE OF WIGHT","093","12","702",1,4
"47","JAMES CITY","095","7","38",0,3
"48","KING AND QUEEN","097","9","-9999",1,6
"49","KING GEORGE","099","12","351",0,4
"50","KING WILLIAM","101","15","1125",3,6
"51","LANCASTER","103","3","-9999",0,2
"52","LEE","105","18","61",2,5
"53","LOUDOUN","107","77","580",6,9
"54","LOUISA","109","41","278",4,8
"55","LUNENBURG","111","24","444",5,8
"56","MADISON","113","23","69",3,7
"57","MATHEWS","115","8","17",0,2
"58","MECKLENBURG","117","67","2760",8,11
"59","MIDDLESEX","119","8","478",0,6
"60","MONTGOMERY","121","24","349",2,5
"61","NELSON","125","37","862",5,9
"62","NEW KENT","127","3","-9999",0,2
"63","NORTHAMPTON","131","44","6336",6,11
"64","NORTHUMBERLAND","133","4","39",0,3
"65","NOTTOWAY","135","18","75",2,5
"66","ORANGE","137","29","564",4,10
"67","PAGE","139","22","1004",4,7
"68","PATRICK","141","34","108",4,8
"69","PITTSYLVANIA","143","120","3716",9,12
"70","POWHATAN","145","15","100",2,5
"71","PRINCE EDWARD","147","8","96",1,4
"72","PRINCE GEORGE","149","6","8",0,2
"73","PRINCE WILLIAM","153","27","1006",3,7
"74","PULASKI","155","8","14",1,3
"75","RAPPAHANNOCK","157","21","121",2,6
"76","RICHMOND","159","5","127",0,4
"77","ROANOKE","161","14","96",3,3
"78","ROCKBRIDGE","163","26","137",2,6
"79","ROCKINGHAM","165","182","5645",9,12
"80","RUSSELL","167","5","12",0,3
"81","SCOTT","169","15","55",2,6
"82","SHENANDOAH","171","50","719",3,8
"83","SMYTH","173","10","18",1,4
"84","SOUTHAMPTON","175","20","3246",3,7
"85","SPOTSYLVANIA","177","20","58",2,6
"86","STAFFORD","179","9","24",1,4
"87","SURRY","181","21","1237",1,6
"88","SUSSEX","183","20","1372",3,9
"89","TAZEWELL","185","18","18",3,3
"90","WARREN","187","11","12",2,2
"91","WASHINGTON","191","35","224",4,9
"92","WESTMORELAND","193","26","1641",3,10
"93","WISE","195","11","11",1,4
"94","WYTHE","197","12","72",2,5
"95","YORK","199","7","22",1,4
"96","CHESAPEAKE CITY","550","31","283",2,5
"97","SUFFOLK CITY","800","28","413",2,8
"98","VIRGINIA BEACH CITY","810","27","180",4,7
