"","Countycode","GEOID","NAMELSAD","Count","Facility_withdrawal_mg","Rank_DEQ_F_Withdrawls","Rank_Deq_fac","percet_withdrawal","status"
"6",36,51036,"Charles City County",4,268.67,7,26,3,"High in DEQ data not in USDA"
"8",97,51097,"King and Queen County",4,256.91,8,28,3,"High in DEQ data not in USDA"
