,F_HydroID,Facility,FIPS.Code,Feb,May,Jun,Jul,Aug,Sep,Per_Diff_May,Per_Diff_Jun,Per_Diff_Jul,Per_Diff_Aug,Per_Diff_Sep,Per_Diff_mean
1,66917,Midwood Farm,51131,0.00,0.00,3.37,3.37,6.55,6.35,0.00,Inf,Inf,Inf,Inf,Inf
2,66967,Seybolt Farm,51001,0.00,0.00,1.33,0.56,0.00,0.56,0.00,Inf,Inf,0.00,Inf,Inf
3,67081,Home Farm & Fitchett Farm,51001,0.00,0.00,4.39,4.04,0.00,1.50,0.00,Inf,Inf,0.00,Inf,Inf
4,67247,Melfa Farm,51001,0.00,0.05,0.05,0.00,0.00,0.00,Inf,Inf,0.00,0.00,0.00,Inf
5,67394,Painter Complex,51001,0.00,0.45,4.32,12.27,3.68,0.02,Inf,Inf,Inf,Inf,Inf,Inf
6,71578,Rees Vineyard,51003,0.00,0.00,0.00,0.01,0.01,0.06,0.00,0.00,Inf,Inf,Inf,Inf
7,71867,Dick Cross Wildlife Management Area (WMA),51117,0.00,0.00,0.00,0.00,0.00,8.10,0.00,0.00,0.00,0.00,Inf,Inf
8,72211,Vic Thomas Striped Bass Hatchery,51031,0.00,19.03,2.56,0.00,0.00,0.29,Inf,Inf,0.00,0.00,Inf,Inf
9,401367,James River Wildlife Management Area,51125,0.00,0.00,0.00,0.00,0.00,8.53,0.00,0.00,0.00,0.00,Inf,Inf
10,378250,Windcrest Holsteins Inc.,51165,2.90,3.20,6.40,9.90,11.80,7.50,10.34,120.69,241.38,306.90,158.62,167.59
11,193261,"Blue Ridge Fish Hatchery, Inc",51141,0.16,0.41,0.31,0.33,0.24,0.23,151.01,91.03,99.65,44.96,42.34,85.80
12,71850,FRONT ROYAL FISH CULTURAL STA.,51187,13.30,31.00,31.00,19.50,18.50,18.50,133.08,133.08,46.62,39.10,39.10,78.20
13,67263,Smithfield Hog Production Farms 1 through 5,51093,1.60,1.56,1.64,2.87,2.48,2.56,-2.80,2.62,79.32,54.88,59.59,38.72
14,67053,Smithfield Hog Production Farm 12,51183,0.43,0.45,0.57,0.85,0.34,0.72,3.24,32.77,97.27,-21.88,65.96,35.47
15,67357,Long Farm,51131,0.10,0.11,0.11,0.12,0.12,0.12,10.00,10.00,26.50,26.50,26.50,19.90
16,67211,Pampatike Hill Farm,51101,0.04,0.08,0.08,0.05,0.01,0.05,82.88,83.11,4.67,-82.19,9.34,19.56
17,66944,Perry Minnow Farm Incorporated,51093,2.09,2.28,2.28,2.70,2.62,2.22,9.24,9.24,29.24,25.50,6.60,15.97
18,67438,Smithfield Hog Production Farms 16 & 17,51181,0.73,0.63,0.73,0.94,1.03,0.85,-13.49,0.56,28.09,41.36,17.08,14.72
19,66991,Smithfield Hog Production Farm 15,51183,0.37,0.29,0.29,0.54,0.38,0.62,-23.26,-23.60,44.22,2.72,66.57,13.33
20,67233,Smithfield Hog Production Farms 6-8,51175,1.17,1.24,0.76,1.30,1.38,1.63,6.00,-34.78,11.09,17.40,39.11,7.76
21,230330,Poultry Farm,51165,0.25,0.10,0.31,0.35,0.39,0.16,-60.00,24.00,40.00,56.00,-36.00,4.80
22,67197,Smithfield Hog Production Farms 13 & 14,51183,0.84,0.81,0.87,1.07,0.75,0.74,-3.83,3.17,26.43,-10.87,-11.83,0.61
