"","AREA OPERATED: (1.0 TO 9.9 ACRES)","AREA OPERATED: (10.0 TO 49.9 ACRES)","AREA OPERATED: (50.0 TO 69.9 ACRES)","AREA OPERATED: (70.0 TO 99.9 ACRES)","AREA OPERATED: (100 TO 139 ACRES)","AREA OPERATED: (140 TO 179 ACRES)","AREA OPERATED: (180 TO 219 ACRES)","AREA OPERATED: (220 TO 259 ACRES)","AREA OPERATED: (260 TO 499 ACRES)","AREA OPERATED: (500 TO 999 ACRES)","AREA OPERATED: (1,000 TO 1,999 ACRES)","AREA OPERATED: (2,000 OR MORE ACRES)"
"ACCOMACK","7","7","6","4","2",NA,"1","3","2","2","2","8"
"ALBEMARLE","17","17","2","10","4","5","2","2","1","1",NA,"2"
"ALLEGHANY","2","4",NA,NA,"2",NA,NA,NA,NA,NA,NA,NA
"AMELIA","3","9","2",NA,"2","1",NA,NA,"2","1","2",NA
"ARLINGTON","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUGUSTA","33","26","5","5","3","7",NA,"1","5","6","3","1"
"BEDFORD","5","8","2","4","5",NA,"2","1","2","1",NA,NA
"BOTETOURT","2",NA,"3",NA,NA,"1",NA,"1",NA,NA,"1",NA
"BRUNSWICK","1","5",NA,"2",NA,NA,"1","1","2","5","3","2"
"BUCHANAN","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAMPBELL","10","7","3","2","3",NA,"8","4","8",NA,"1",NA
"CARROLL","5","5","1",NA,NA,NA,NA,NA,"7","4","1",NA
"CLARKE","6","1","3","1","3",NA,NA,"1",NA,NA,"1","1"
"CRAIG","2",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA
"CULPEPER","4","21","1",NA,"4","2",NA,NA,NA,"1","1",NA
"DINWIDDIE","2","6","2","2",NA,"3","4",NA,"2","2","4","3"
"ESSEX","2","2","2",NA,NA,NA,NA,NA,NA,NA,"1","1"
"FAIRFAX","13","12",NA,"4","1",NA,NA,NA,NA,NA,NA,NA
"FAUQUIER","9","28","2","3","1","10","1",NA,"4","2","2",NA
"FLOYD","3","11","4","4","5","4",NA,"2","1","1","1",NA
"FRANKLIN","7","22","4","5",NA,NA,"4",NA,"5","6","1",NA
"FREDERICK","6","6","1","2","4",NA,NA,NA,NA,"1","1","2"
"GILES","10","6","2","2",NA,NA,NA,NA,NA,NA,NA,NA
"GLOUCESTER","5","9",NA,"2",NA,NA,NA,"1",NA,NA,NA,NA
"GRAYSON","2","12",NA,NA,NA,"3",NA,NA,"3",NA,NA,NA
"GREENE","2","9",NA,"2",NA,NA,"1",NA,NA,NA,NA,NA
"GREENSVILLE","4","3",NA,NA,NA,NA,NA,NA,NA,"1","1","1"
"HALIFAX","5","14","7","10","9","2","4","5","7","12","10",NA
"HANOVER","16","28","4","3","6","7","6","1","3","1","3","3"
"HENRICO","2","5","1","2",NA,"2",NA,"1",NA,NA,NA,"1"
"HENRY","6","2",NA,NA,"2",NA,"2",NA,NA,NA,"1",NA
"HIGHLAND","2",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"KING AND QUEEN","1","4",NA,"1",NA,"1",NA,NA,NA,NA,"1","1"
"LEE","1","12",NA,"3",NA,"1",NA,NA,NA,"1",NA,NA
