,County_Name,County_Code,Irrigated_Operations,Irrigated_Acreage,Size_Bins,Ops_Bins
1,ACCOMACK,1,36,5078,5,9
2,ALBEMARLE,3,67,783,6,12
3,AMELIA,7,14,204,1,6
4,AMHERST,9,12,175,1,7
5,APPOMATTOX,11,11,24,1,3
6,AUGUSTA,15,64,2549,5,11
7,BATH,17,2,-9999,0,2
8,BEDFORD,19,30,51,3,6
9,BLAND,21,7,801,1,4
10,BOTETOURT,23,4,10,0,4
11,BRUNSWICK,25,22,2114,3,7
12,BUCHANAN,27,3,-9999,0,2
13,BUCKINGHAM,29,9,65,0,5
14,CAMPBELL,31,24,313,3,9
15,CAROLINE,33,19,3411,2,8
16,CARROLL,35,16,597,3,7
17,CHARLES CITY,36,10,1376,1,6
18,CHARLOTTE,37,37,533,5,12
19,CHESTERFIELD,41,23,75,2,4
20,CLARKE,43,14,144,1,6
21,CRAIG,45,10,115,0,6
22,CULPEPER,47,36,615,3,8
23,CUMBERLAND,49,11,167,1,4
24,DINWIDDIE,53,22,1578,4,6
25,ESSEX,57,5,-9999,1,3
26,FAIRFAX,59,17,60,3,5
27,FAUQUIER,61,71,451,6,10
28,FLOYD,63,46,182,5,8
29,FLUVANNA,65,16,79,3,3
30,FRANKLIN,67,50,441,5,9
31,FREDERICK,69,13,39,1,5
32,GILES,71,12,27,2,2
33,GLOUCESTER,73,8,13,1,4
34,GOOCHLAND,75,14,112,1,3
35,GRAYSON,77,16,160,1,3
36,GREENE,79,12,25,1,4
37,GREENSVILLE,81,5,-9999,1,3
38,HALIFAX,83,40,1061,5,10
39,HANOVER,85,58,3570,5,10
40,HENRICO,87,16,-9999,2,5
41,HENRY,89,9,43,1,3
42,HIGHLAND,91,4,-9999,0,4
43,ISLE OF WIGHT,93,18,933,3,7
44,JAMES CITY,95,9,40,1,4
45,KING AND QUEEN,97,16,1221,3,5
46,KING GEORGE,99,4,-9999,0,2
47,KING WILLIAM,101,10,1618,1,4
48,LANCASTER,103,8,12,1,3
49,LEE,105,12,32,2,6
50,LOUDOUN,107,74,392,4,7
51,LOUISA,109,43,215,4,7
52,LUNENBURG,111,29,1408,4,7
53,MADISON,113,26,79,1,4
54,MATHEWS,115,4,10,0,2
55,MECKLENBURG,117,74,4162,8,11
56,MIDDLESEX,119,10,270,1,5
57,MONTGOMERY,121,18,323,2,7
58,NELSON,125,39,1016,3,9
59,NEW KENT,127,18,271,3,6
60,NORTHAMPTON,131,33,5858,5,10
61,NOTTOWAY,135,14,44,1,4
62,ORANGE,137,16,214,2,8
63,PAGE,139,10,108,2,4
64,PATRICK,141,24,213,4,7
65,PITTSYLVANIA,143,54,1492,6,12
66,POWHATAN,145,11,63,1,3
67,PRINCE EDWARD,147,10,14,1,4
68,PRINCE GEORGE,149,5,-9999,0,3
69,PRINCE WILLIAM,153,30,944,2,6
70,PULASKI,155,9,28,0,3
71,RAPPAHANNOCK,157,20,61,1,4
72,RICHMOND,159,9,29,1,3
73,ROANOKE,161,16,71,2,5
74,ROCKBRIDGE,163,17,83,3,7
75,ROCKINGHAM,165,160,5526,10,12
76,RUSSELL,167,3,-9999,0,2
77,SCOTT,169,8,14,0,4
78,SHENANDOAH,171,38,893,4,10
79,SMYTH,173,7,28,1,3
80,SOUTHAMPTON,175,15,1624,2,5
81,SPOTSYLVANIA,177,16,96,2,4
82,STAFFORD,179,10,10,0,2
83,SURRY,181,13,929,1,6
84,SUSSEX,183,8,699,0,6
85,TAZEWELL,185,3,-9999,0,2
86,WARREN,187,10,10,2,2
87,WASHINGTON,191,33,122,4,7
88,WESTMORELAND,193,37,881,2,10
89,WISE,195,9,27,0,2
90,WYTHE,197,10,18,1,4
91,YORK,199,7,11,2,2
92,CHESAPEAKE CITY,550,19,72,2,5
93,SUFFOLK CITY,800,12,585,2,5
94,VIRGINIA BEACH CITY,810,30,315,4,6
