"COUNTYFP","YEAR","County_Name","Facility_withdrawal_mg","Mean_Coeff","Unreported_Coeff_Based"
550,2006,"CHESAPEAKE CITY",2.58346,33.4573512502287,86.44
800,2006,"SUFFOLK CITY",159.178,0.739495119822749,117.71
1,2007,"ACCOMACK",1779.744198,0.433555704694594,771.62
7,2007,"AMELIA",15.681,9.47046531782232,148.51
15,2007,"AUGUSTA",592.1592,3.50940304845818,2078.13
19,2007,"BEDFORD",11.9226,8.02410256108611,95.67
31,2007,"CAMPBELL",59.51,2.1076279298765,125.42
33,2007,"CAROLINE",541.364,0.939539274710447,508.63
36,2007,"CHARLES CITY",11.9,7.88173475609148,93.79
37,2007,"CHARLOTTE",23.2,16.5220574715091,383.31
41,2007,"CHESTERFIELD",37.9,2.1458914536244,81.33
43,2007,"CLARKE",44,2.81200919924463,123.73
47,2007,"CULPEPER",410.727,17.9027531604714,7353.14
53,2007,"DINWIDDIE",97.3087,26.2272198173845,2552.14
57,2007,"ESSEX",237.039,-0.563346159327348,-133.54
59,2007,"FAIRFAX",17.4,-1,-17.4
69,2007,"FREDERICK",13.534,14.0392552912008,190.01
81,2007,"GREENSVILLE",44.716,2.5129200773035,112.37
83,2007,"HALIFAX",9.12,205.49750461966,1874.14
85,2007,"HANOVER",274.1886,3.32687745927574,912.19
93,2007,"ISLE OF WIGHT",123,13.6411628324045,1677.86
97,2007,"KING AND QUEEN",293.42,-0.243257516355705,-71.38
99,2007,"KING GEORGE",175.802,0.556703101239541,97.87
101,2007,"KING WILLIAM",702.694,3.31877773881157,2332.09
107,2007,"LOUDOUN",32.6308,191.683282493288,6254.78
111,2007,"LUNENBURG",8.66,49.7066835799955,430.46
117,2007,"MECKLENBURG",7.17,326.518119874352,2341.13
119,2007,"MIDDLESEX",90.576,8.50120598404053,770.01
121,2007,"MONTGOMERY",46.54,4.04705957155143,188.35
125,2007,"NELSON",468.463,0.207809112500824,97.35
127,2007,"NEW KENT",138.01,9.16176371829938,1264.42
131,2007,"NORTHAMPTON",907.219324,4.51761404479922,4098.47
137,2007,"ORANGE",70,629.147573352573,44040.33
139,2007,"PAGE",12.17,5.34483097272663,65.05
141,2007,"PATRICK",1,211.18,211.18
143,2007,"PITTSYLVANIA",65.3438,46.1985613525427,3018.79
145,2007,"POWHATAN",3.3,57.1953169121042,188.74
153,2007,"PRINCE WILLIAM",2.632,95.0700100528181,250.22
165,2007,"ROCKINGHAM",167.963,8.0450354910328,1351.27
171,2007,"SHENANDOAH",29.928,11.8304519974572,354.06
175,2007,"SOUTHAMPTON",259.1787,11.0434849336055,2862.24
177,2007,"SPOTSYLVANIA",25.43,55.778916572181,1418.46
181,2007,"SURRY",39.699,14.1589441033161,562.1
183,2007,"SUSSEX",41.22,11.4940687074363,473.79
193,2007,"WESTMORELAND",863.926,0.799417668435908,690.64
550,2007,"CHESAPEAKE CITY",1.440575,33.4573512502287,48.2
800,2007,"SUFFOLK CITY",180.6075,0.739495119822749,133.56
1,2008,"ACCOMACK",2783.347352,0.433555704694594,1206.74
7,2008,"AMELIA",13.47,9.47046531782232,127.57
15,2008,"AUGUSTA",922.6669,3.50940304845818,3238.01
31,2008,"CAMPBELL",38.75,2.1076279298765,81.67
33,2008,"CAROLINE",702.528,0.939539274710447,660.05
36,2008,"CHARLES CITY",142.45,7.88173475609148,1122.75
37,2008,"CHARLOTTE",22,16.5220574715091,363.49
41,2008,"CHESTERFIELD",40.9,2.1458914536244,87.77
43,2008,"CLARKE",41.9,2.81200919924463,117.82
47,2008,"CULPEPER",105.2,17.9027531604714,1883.37
