"","Year","Newport News","Franklin","Fairfax","Emporia","Hopewell","Alexandria","Lynchburg","Charlotte","King George","Nottoway","Manassas","Fredericksburg","Falls Church","Petersburg","Brunswick","Radford","Roanoke","Charles City","Williamsburg","Hampton","Poquoson","Winchester","Norfolk","Norton","Charlottesville","Chesapeake","Appomattox","Staunton","Covington","Gloucester","Culpeper","Franklin.1","Lee","Westmoreland","Pittsylvania","Mecklenburg","Montgomery","Henry","Isle of Wight","Scott","Manassas Park","Russell","Colonial Heights","Fairfax.1","Campbell","Rappahannock","Botetourt","Wythe","Clarke","Halifax","Suffolk","Roanoke.1","Madison","Rockbridge","Virginia Beach","Augusta","Lexington","Craig","Surry","Richmond","Prince William","York","Amelia","Middlesex","Louisa","Lunenburg","Mathews","Washington","Buckingham","Caroline","Richmond.1","Dinwiddie","Patrick","Spotsylvania","Bristol","Buena Vista","Carroll","Essex","Martinsville","Chesterfield","Galax","Nelson","Prince Edward","King and Queen","Stafford","Loudoun","Giles","Accomack","New Kent","Arlington","Tazewell","Bland","Highland","Fauquier","Frederick","Bath","Portsmouth","Albemarle","Dickenson","Salem","Cumberland","Hanover","Greensville","Alleghany","Rockingham","Shenandoah","Powhatan","Waynesboro","Southampton","Page","Northumberland","Goochland","Fluvanna","James City","Floyd","Buchanan","Prince George","Grayson","Northampton","Orange","Greene","Wise","Sussex","Harrisonburg","Henrico","King William","Lancaster","Warren","Amherst","Danville","Pulaski","Bedford","Smyth"
"1",2002,616.781521534,702.217432222,NA,731.127141693,NA,NA,542.733062576,781.417418426,572.409801064,608.283397618,590.865459572,557.149628421,NA,590.063915251,689.895490526,580.905138253,648.892446467,560.482918696,NA,NA,NA,730.238457458,NA,NA,667.329913228,802.564333813,599.117092008,520.969335028,NA,649.747714244,600.669853627,641.192296597,625.446930508,604.281239304,648.963913379,757.281405198,581.962878269,643.611220805,678.273220071,645.756477414,575.997125687,699.478508272,NA,601.678962614,624.555251198,686.214696313,603.398036668,617.388505598,708.212127466,749.910581549,706.555838475,634.020468611,659.169494944,591.743857454,773.516866621,586.891582274,592.392936714,647.841988599,670.475060086,583.468568396,610.256517224,586.742981323,563.800437134,661.151128347,698.264388706,758.348218121,699.532679627,783.651310734,585.352726112,580.662481653,612.152439924,654.85915688,637.010824663,596.12016435,683.116265302,577.493959112,654.722961177,581.149722957,677.824801778,550.176857317,648.068092555,638.008056043,575.848183657,590.187680398,612.947805624,680.325064871,688.220425523,623.916924367,565.624330101,NA,676.995665523,662.569942769,746.152200967,645.430483529,727.438281086,666.189154584,677.944196367,645.039645368,675.163359598,NA,584.173959893,564.713020308,714.78063508,654.862942432,629.279467603,714.685434082,619.051618189,563.206011635,772.869015603,665.192330443,607.84652904,652.796117208,649.179209595,581.535664951,560.216705651,731.554238246,670.815882134,674.890298907,625.840527374,616.766084683,658.33319149,706.962308082,782.668581583,620.587433587,596.072912359,544.431400798,614.929469279,705.378299141,587.581356046,681.780454454,599.362509459,614.050590275,708.053107702
"2",2007,664.73167278,568.772662055,NA,501.156899799,NA,NA,577.549238279,567.48171572,598.777791435,578.949075642,440.133052116,565.464343222,NA,728.60573279,492.129585882,482.617164119,599.609552482,690.609768579,NA,NA,NA,488.484519672,NA,NA,602.830173532,508.204807576,626.162380854,542.237673882,NA,641.004664836,496.233981244,610.737301921,531.662589829,489.417566084,560.172971222,459.486886644,493.258332185,683.882658167,588.366395351,530.644269058,482.964620975,577.864122519,NA,464.990118903,588.115344205,538.263210055,524.081885106,553.503093036,466.997973603,541.337686828,607.35066031,550.290572475,595.931416887,592.245552419,459.227660697,583.578374366,600.692455741,572.064083549,678.358326689,489.893075888,459.122380538,627.044195342,619.097775519,611.642235654,574.298332804,511.294614795,714.627669459,549.935703538,601.38816435,535.125444215,634.226759198,630.632925674,774.955805056,549.720732915,501.994110779,557.113861271,648.304706709,485.867240592,697.652529434,644.268525812,630.467776051,607.571997452,548.497002364,543.372883183,564.916177082,439.643763269,582.328022473,557.298623974,642.817890367,NA,578.638023977,568.911229823,595.751502044,486.855403783,491.835306115,563.355738831,558.085603174,621.247798002,588.823473849,NA,570.995507429,563.596595654,531.875012091,542.877378784,621.572772324,544.074983966,601.119204168,612.573157255,586.546396942,569.365661544,549.683308962,591.91026868,600.760803361,651.880233096,539.200916133,599.124719932,705.138367476,651.305698475,577.704558085,550.025714407,632.305711459,600.648849979,650.060309095,598.506355879,640.647827046,531.650937801,552.909994356,496.689338763,558.969205499,549.250452188,564.698742242,536.392039897,517.222617983
"3",2012,1056.805627744,1031.777621853,NA,884.895540686,NA,NA,532.342553091,575.060417124,603.889508464,642.014410115,780.414794715,578.008423779,NA,795.739912927,781.822704579,527.559605278,616.845310018,792.613571734,NA,NA,NA,725.124285088,NA,NA,687.162832977,911.809566518,572.336941576,633.975970975,NA,805.71053627,760.027690323,624.341268903,706.724928318,680.601331709,605.071645208,770.875544781,522.884772763,640.24484725,1076.948109342,729.793859966,703.413127774,768.675206161,NA,624.342176173,543.646592913,744.156486428,649.96079284,652.458629436,722.31342441,595.521918281,1006.647312248,525.459774997,787.612761376,706.106806945,990.004030554,670.16007889,708.06366006,593.327538767,913.027236835,679.284272078,740.065684825,914.463813016,546.00220967,726.289098813,687.112641095,677.124234194,841.443701842,721.334100989,592.311151117,623.359561562,646.916953281,670.951391754,778.416294386,619.520377263,735.508641695,696.713902051,692.293822106,665.08790579,629.604937321,634.517857382,597.612618995,649.209301971,567.912142928,669.069756178,696.677401746,735.264030669,594.940785539,990.26547290412,737.707645224,NA,769.89381332,657.702108452,676.815695493,773.958251113,712.764861518,659.039371727,1126.213294341,656.259924804,712.342639897,NA,588.475090672,614.828686458,867.096603463,639.291833333,646.049472027,716.393316885,592.580293465,598.700529999,936.515767844,653.565954537,813.196272014,635.122354828,656.233802301,874.71466216,607.029798257,746.575676925,797.111354149,671.406291943,820.85799231,736.38668715,730.25186125,802.835452718,771.121707756,635.896137356,654.488939974,648.820688003,725.627529412,695.604553926,612.488977015,566.492955642,593.574884946,561.035139589,687.889868698
"4",2017,895.255356329,897.37193638,NA,716.237181179,NA,NA,762.796111628,757.887713984,795.6070979,711.84346378,841.383819601,781.598936328,NA,816.497501635,745.243695297,754.115000633,936.773512386,828.462089915,NA,NA,NA,825.882713593,NA,NA,772.294272808,951.480631598,760.682023874,749.238460109,NA,853.226418603,768.569366155,836.975865924,927.739787472,757.851837318,894.044191549,778.090621857,815.181829651,932.893680818,908.267671639,868.207394027,858.691770568,900.874729979,NA,823.187141459,716.284697234,855.181393868,808.482031328,854.04312536,819.023063284,832.521429083,931.128190558,905.836198807,884.020388294,813.14636363,1016.044512901,747.473973622,813.901599451,884.653850633,853.561223732,751.022344888,871.732535413,896.770548389,744.862938767,894.571377116,692.408638036,728.984508947,915.451290936,891.256046399,774.796576848,795.539522882,778.993580485,751.943758616,1064.984505633,749.693956392,828.609487987,718.50679757,1049.256452583,751.810230423,996.01995545,762.028233617,1018.814993194,810.851038311,704.735991655,778.504170835,774.374107777,858.085164923,843.896694358,979.034856072,807.474508725,NA,861.817880082,795.777308636,731.982415878,832.470809453,780.327476756,759.774545614,949.13342085,780.405747102,896.512554624,NA,699.193678508,775.230948065,777.413138403,767.714705671,685.450485512,682.178951666,775.237741327,736.683582421,855.599074617,660.810178954,857.73207054,731.231267105,699.081826767,820.877847619,931.752589772,855.358615901,803.218199683,991.463961571,921.698140428,732.5249094224,942.511163595,925.755483405,864.076471377,721.061365126,768.214852794,751.254649715,853.118229302,726.887745081,830.576390105,899.152149378,799.38118026,840.796316667,884.844273739
