"","Year","Newport News","Franklin","Emporia","Lynchburg","Charlotte","King George","Nottoway","Manassas","Fredericksburg","Petersburg","Brunswick","Radford","Roanoke","Charles City","Winchester","Charlottesville","Chesapeake","Appomattox","Staunton","Gloucester","Culpeper","Franklin.1","Lee","Westmoreland","Pittsylvania","Mecklenburg","Montgomery","Henry","Isle of Wight","Scott","Manassas Park","Russell","Fairfax.1","Campbell","Rappahannock","Botetourt","Wythe","Clarke","Halifax","Suffolk","Roanoke.1","Madison","Rockbridge","Virginia Beach","Augusta","Lexington","Craig","Surry","Richmond","Prince William","York","Amelia","Middlesex","Louisa","Lunenburg","Mathews","Washington","Buckingham","Caroline","Richmond.1","Dinwiddie","Patrick","Spotsylvania","Bristol","Buena Vista","Carroll","Essex","Martinsville","Chesterfield","Galax","Nelson","Prince Edward","King and Queen","Stafford","Loudoun","Giles","Accomack","New Kent","Tazewell","Bland","Highland","Fauquier","Frederick","Bath","Portsmouth","Albemarle","Dickenson","Cumberland","Hanover","Greensville","Alleghany","Rockingham","Shenandoah","Powhatan","Waynesboro","Southampton","Page","Northumberland","Goochland","Fluvanna","James City","Floyd","Buchanan","Prince George","Grayson","Northampton","Orange","Greene","Wise","Sussex","Harrisonburg","Henrico","King William","Lancaster","Warren","Amherst","Danville","Pulaski","Bedford","Smyth"
"1",2002,202.447338883,273.455347284,242.586391381,192.078774169,271.47377768,194.168035226,215.407631299,188.024833458,171.264322409,192.598389228,280.945801412,186.866430161,255.618768237,162.906921013,249.089401243,284.705306076,266.867094807,200.936803062,148.31236392,198.369050573,214.712034235,260.446476221,232.232152174,229.788587392,236.995012287,244.820826046,189.560437522,230.117776412,246.502635775,281.043038831,189.051761962,327.716456401,185.450130331,231.625139454,222.82700316,219.0984114,254.549227729,257.975695893,253.928000243,262.994294182,262.51094676,261.940060218,182.325568252,228.375652967,183.2448169955,177.246230537,252.165878064,239.911306602,189.459633954,191.167225232,179.12840797,183.517702358,217.685484648,266.051026221,278.506450255,209.994700847,372.991661529,182.8045942,203.89746097,177.317079936,257.983611206,230.320336945,188.626947146,311.918884209,162.81487672,281.667799232,205.89900133,235.04665513,164.69493421,263.478826241,200.792353187,192.816255884,184.503563823,198.825200159,209.012967831,252.487112067,215.861808537,167.241841068,294.60957598,266.764550283,248.839098793,206.702538818,261.412854539,211.172420997,219.66062695,249.551879753,303.834004711,174.032379313,170.631763881,268.684180707,220.71428899,211.369242143,237.712230325,177.673255651,162.447363364,296.077071621,231.874056288,215.270115866,187.489044533,225.194883926,169.796494968,204.976728316,313.209808492,228.059004618,287.239941814,204.188928771,237.628800867,279.712628268,308.956913283,297.292495143,210.754211561,175.580667707,174.970978765,211.97556372,238.844144862,194.358035799,241.155426743,212.675032803,241.485194577,315.773878877
"2",2007,280.923681266,249.499282667,189.845474493,217.455209419,231.05574528,187.445053987,243.110393279,203.171040543,227.090023084,274.736958645,200.648381012,176.711876045,235.715696841,310.177521858,201.77381139,292.642666538,297.573264943,246.7161635,234.867765191,265.470947891,212.792791451,213.53983565,230.551642474,175.571031967,217.544893872,191.51117797,203.365565958,240.135424728,255.187291966,270.347737396,213.792014296,310.95031783,202.20244738,242.447974809,246.928147965,238.529937802,209.393461618,191.584020043,215.032677637,314.634520959,231.493172406,289.255006977,263.866428165,250.714199744,263.678456716,258.036615379,239.522188743,277.109144422,219.403759813,206.257842454,278.938773503,245.762747206,266.653250204,278.758590463,206.454925464,252.31793072,290.220508311,272.594745944,221.700605166,263.477712825,266.904222006,276.37176486,240.299972187,268.374022355,224.076878863,257.152625349,212.842132794,217.5817738,254.627279426,242.185427652,271.915861015,221.934380365,250.927179557,234.58886848,177.569051721,246.31734608,254.204990911,290.305347188,249.471232531,227.802164622,268.831369028,206.093451157,202.472828473,206.387690468,295.753850053,310.720378114,284.244741483,237.165806143,272.887415673,215.814314511,212.822244234,332.689020634,278.967921091,242.050675527,227.026603914,249.883062165,291.601546718,226.455897189,287.776414662,285.69842034,298.490862819,205.913890616,261.916409614,285.090937626,260.924727058,238.355531044,258.992406547,291.390811712,284.416770111,252.599941772,295.618081906,293.2729514,247.946848452,220.76637305,212.202109453,216.570185644,188.686587337,229.167646749,227.424121644,233.519648873
"3",2012,398.302198142,436.176769241,380.876209909,239.036255688,272.304926121,218.139779648,245.449125228,216.808332429,197.16249997,276.136015637,366.459542514,205.651036492,292.601758564,300.370073104,270.333316448,259.969003168,339.648721264,269.170816901,321.506189322,286.318143631,279.185370755,252.849110216,327.508790005,234.468607417,256.642346233,394.323223484,217.703317865,246.692846488,399.397662074,357.263096352,180.319837065,334.449999769,182.769431915,256.60476874,286.527168575,274.143645645,253.771034201,243.058627471,265.241515354,418.81136825,220.655790419,332.637453006,325.10211714,314.300046618,332.944897637,327.255232026,230.713115056,351.190780386,244.793340812,219.818895293,345.52701555,195.370714339,285.589748036,304.239942284,319.140992445,313.660116582,306.033306161,269.990213486,225.937710742,298.382956476,251.017581226,304.984612963,216.383811932,306.320803257,332.749640537,259.5741323,236.713664682,218.083312114,240.086985251,227.393051461,284.051366878,232.138066874,236.836856678,218.837592829,223.710762067,222.15758352,315.015015255,312.504605211,302.978110123,247.748889313,296.953031097,258.570987671,277.364058395,287.208377566,461.500009139,292.783982429,308.270710697,255.46594807,252.593410842,384.086646885,271.221153489,331.009036158,315.701334857,262.980221073,272.862061803,408.277218748,286.712428812,283.848885638,296.548437432,284.914602599,341.421697447,216.5080355,336.467589493,282.057013619,251.368771317,319.603501318,312.690847142,330.498738418,408.326554708,311.599582355,330.307088917,290.283224206,236.944696111,278.486637782,262.792211222,261.873117096,235.778150577,226.951395133,223.249977818,270.662870887
"4",2017,284.179829453,413.51827219,305.319377554,257.329429104,268.038111423,348.904456425,271.512352064,289.298061982,317.842508294,323.288800055,333.929536289,223.540375123,286.845728608,339.027393006,290.44489129,223.783899636,416.674483903,262.28832847,260.174178288,282.460368203,255.331436834,229.594670964,351.039731363,327.93564159,314.628764717,323.14425225,261.099395262,268.154756133,395.486739382,317.509694309,297.43563725,321.748332562,299.072923186,224.403160052,286.952557381,242.112900718,244.398619686,270.9119562,306.488284891,390.70014044,265.56225108,296.247018413,263.715221406,430.301362302,267.188330376,287.789031748,243.334808099,337.308718114,293.603188086,298.565235592,300.679326078,297.939336758,318.978300243,246.280274345,306.443797212,274.899129964,319.348552119,239.067212798,337.879280109,302.188820079,323.245905119,315.620539741,323.438811284,267.855115368,229.493563007,280.388237443,304.11530616,286.04081993,317.008516776,274.635241158,249.596248199,257.95704468,297.21250958,283.351677615,293.725235672,294.605662396,325.9821528,303.80734922,291.423163305,256.145122336,285.525250616,289.96649857,269.648881492,260.283916755,343.282539403,250.077893365,346.209279437,219.801900448,302.350421673,332.422565543,232.127862526,275.330542738,260.498497307,278.165643014,225.432768099,397.151405746,252.408930873,337.007811045,245.120836307,217.592480615,273.599568295,240.3053847,317.114814718,315.276878338,287.673664644,286.888732622,279.310327165,314.340085293,349.439498748,368.458821499,282.402377206,309.160604348,296.254989888,342.732843123,242.855015822,264.250926229,339.589374164,232.418996612,283.182418399,317.144051706
