"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",1.07859262229491,0.0174589448037801,61.7787978836719,0
"PPT",-0.18247466973618,0.0229070654934967,-7.96586842552946,0.00000000000000299301753167632
"Min_Temp",0.0725306423182394,0.0185291505725361,3.91440730293077,0.0000942359237540149
"Extreme_days",-0.0766433936007848,0.0206684381955828,-3.70823343667858,0.000215469961910462
"GC",-0.0357588228482056,0.0207820990801506,-1.72065500747995,0.0854970312769668
