"","df","AIC"
"Deq_withdrawals_model1",12,3329.54007100727
"Deq_withdrawals_model2",10,3326.94906520289
"Deq_withdrawals_model3",8,3356.18225365214
"Deq_withdrawals_model4",7,3412.22149782132
"Deq_withdrawals_model5",7,3412.14446248791
