"","df","AIC"
"Norm_MOdel_1",8,4003.37889964892
"Norm_MOdel_2",6,4004.81084790796
"Norm_MOdel_3",4,4335.0320389392
"Norm_MOdel_4",3,4650.24091189823
"Norm_MOdel_5",3,4649.55852321166
