County,Total.Irri.Area,Facility_withdrawal_mg,SM_F_Unreported,All_Irrigation,Large_Farm_unreported,C_tot_lg
NORTHAMPTON,5857,883.160583,4.05,2962.53,2075.319417,2.349877765
MECKLENBURG,4163,717.926693,47.21,1946.1,1180.963307,1.644963641
DINWIDDIE,1578,156.484435,12.62,737.68,568.575565,3.633432073
LUNENBURG,1408,189.453,7.28,683.69,486.957,2.570331428
BRUNSWICK,2115,588.313208,2.73,963.94,372.896792,0.633840592
BLAND,801,68.0126,2.16,431.6,361.4274,5.314124148
SURRY,929,119.07845,4.53,420.43,296.82155,2.492655472
HANOVER,3569,1365.921879,87.68,1748.23,294.628121,0.215699101
CHARLES CITY,1376,389.420783,6.76,619.8,223.619217,0.574235446
KING AND QUEEN,1221,423.2449,18.32,604.59,163.0251,0.385179124
CHARLOTTE,534,97.947,49.45,280.91,133.513,1.363114746
CARROLL,597,182.032738,8.21,306.42,116.177262,0.638221802
CUMBERLAND,167,5.11825,13.27,96.38,77.99175,15.23797196
AMELIA,205,59.993342,9.39,101.29,31.906658,0.531836649
MIDDLESEX,270,92.475447,12.27,127.37,22.624553,0.244654703
GRAYSON,160,74.95833,10.6,80.76,-4.79833,-0.064013299
MATHEWS,10,4.953694,5.19,5.19,-4.953694,-1
APPOMATTOX,24,6.5,12.78,12.78,-6.5,-1
RAPPAHANNOCK,61,12.237,30.85,30.85,-12.237,-1
POWHATAN,63,69.956393,8.25,32.47,-45.736393,-0.653784322
FLOYD,182,79.81044,67.81,101.17,-46.45044,-0.582009572
MADISON,80,65.750999,33.25,39.7,-59.300999,-0.901902631
WESTMORELAND,882,436.639511,51.3,407.62,-80.319511,-0.183949251
BUCKINGHAM,65,121.18,10.58,36.2,-95.56,-0.788578973
RICHMOND,29,102.71097,7.97,14.45,-96.23097,-0.936910342
CAROLINE,3411,1675.265776,8.58,1540.07,-143.775776,-0.085822667
PATRICK,213,232.381726,36.57,101.16,-167.791726,-0.722052155
LANCASTER,12,177.555194,5.35,5.35,-177.555194,-1
CLARKE,143,237.3854,17.78,74.77,-180.3954,-0.759926263
LOUISA,215,264.1097,49.45,118.14,-195.4197,-0.739918678
GREENE,24,229.48745,11.45,11.45,-229.48745,-1
HALIFAX,1061,730.0528,25.25,515.2,-240.1028,-0.328884157
SUSSEX,699,541.786839,6.29,293.27,-254.806839,-0.470308285
PITTSYLVANIA,1492,929.003341,37.13,710.18,-255.953341,-0.275513908
FLUVANNA,79,311.791356,10.43,45.76,-276.461356,-0.886687045
FRANKLIN,441,448.80891,39.65,163.42,-325.03891,-0.724225618
NOTTOWAY,44,392.2,22.96,22.96,-392.2,-1
SCOTT,13,415.799,6.15,6.15,-415.799,-1
PRINCE EDWARD,14,428.133855,7.51,7.51,-428.133855,-1
ESSEX,3,440.214291,1.46,1.46,-440.214291,-1
GLOUCESTER,13,486.601524,6.64,6.64,-486.601524,-1
NELSON,1016,1035.72252,35.98,553.93,-517.77252,-0.499914321
BOTETOURT,10,532.332318,5.54,5.54,-532.332318,-1
ORANGE,214,638.69024,20.06,110.07,-548.68024,-0.859070964
PAGE,108,658.17335,10.86,58.65,-610.38335,-0.92738995
ROCKBRIDGE,83,670.42992,21.21,44.02,-647.61992,-0.965977055
GOOCHLAND,112,732.627878,11.01,61.66,-681.977878,-0.930865312
GREENSVILLE,5,729.41545,2.29,2.29,-729.41545,-1
CULPEPER,615,1074.750702,90.16,332.03,-832.880702,-0.774952461
LEE,32,870.482,14.01,14.01,-870.482,-1
ACCOMACK,5079,3309.034629,26.93,2358.08,-977.884629,-0.295519612
FAUQUIER,452,1176.654377,109.07,227.18,-1058.544377,-0.899622181
CRAIG,115,1247.68603,10.5,63.56,-1194.62603,-0.957473276
HENRY,43,1227.356,7.36,22.62,-1212.096,-0.98756677
PULASKI,28,1598.12,15.8,15.8,-1598.12,-1
SHENANDOAH,893,2336.51783,52.92,477.36,-1912.07783,-0.818345063
FREDERICK,38,1937.02073,7.86,19.91,-1924.97073,-0.993779106
CHESAPEAKE CITY,72,1982.654924,20.94,26.45,-1977.144924,-0.997220898
SMYTH,28,2062.959199,13.27,13.27,-2062.959199,-1
CAMPBELL,313,2235.73299,22.92,179.32,-2079.33299,-0.930045314
SOUTHAMPTON,1624,2809.935864,5.44,631.21,-2184.165864,-0.777300967
WISE,27,2262.56029,6.6,11.87,-2257.29029,-0.99767078
AUGUSTA,2550,3502.974242,104.89,1344.12,-2263.744242,-0.646234909
WYTHE,18,2789.952249,9.93,9.93,-2789.952249,-1
JAMES CITY,40,3185.088572,14.03,20.79,-3178.328572,-0.99787761
WARREN,10,3619.16156,5.53,5.53,-3619.16156,-1
WASHINGTON,122,3971.443,24.06,57.55,-3937.953,-0.991567297
SPOTSYLVANIA,96,4081.041726,12.62,44.88,-4048.781726,-0.992095156
ROANOKE,71,4181.9055,35.91,35.91,-4181.9055,-1
LOUDOUN,392,4344.775718,120.6,195.36,-4270.015718,-0.982793128
ALBEMARLE,783,4644.929236,61.61,426.9,-4279.639236,-0.921357252
STAFFORD,10,4400.723,5.1,5.1,-4400.723,-1
AMHERST,176,6120.38967,12.2,93.33,-6039.25967,-0.986744308
ROCKINGHAM,5526,8875.608445,146.24,2865.72,-6156.128445,-0.693600724
KING WILLIAM,1618,7126.21459,8.44,802.89,-6331.76459,-0.88851725
YORK,11,6494.847647,5.4,5.4,-6494.847647,-1
NEW KENT,271,6832.186418,8.78,132.17,-6708.796418,-0.981939896
BEDFORD,51,6874.71608,26.01,26.01,-6874.71608,-1
ISLE OF WIGHT,934,7678.510562,14.46,365.01,-7327.960562,-0.954346615
HENRICO,28,9402.4814,13.51,13.51,-9402.4814,-1
MONTGOMERY,323,9659.7504,19.21,172.32,-9506.6404,-0.984149694
VIRGINIA BEACH CITY,315,10503.86296,22.98,111.36,-10415.48296,-0.991585953
PRINCE WILLIAM,943,25403.4781,16.76,464.93,-24955.3081,-0.982357928
GILES,27,25126.104,13.43,13.43,-25126.104,-1
FAIRFAX,60,32642.40524,29.58,29.58,-32642.40524,-1
SUFFOLK CITY,585,35939.41918,23.7,231.11,-35732.00918,-0.994228899
CHESTERFIELD,75,36089.34571,13.27,35.54,-36067.07571,-0.99938292
