"County","County_Code","Total.Irri.Area","Irr.Area.Under.TH","Facility_All_Withdrawl_mg","PPT","Irrigation","SM_F_Unreported","Facility_withdrawal_mg","All_Irrigation_mg","Large_Farm_unreported","C_Under_TH_lg"
"PITTSYLVANIA",143,5606,211,1800.3949,237,525,117.96,86.068,3134.05,2930.022,1.62743295929132
"POWHATAN",145,230,32,32.6476,177.67,584,19.9,0.58,143.03,122.55,3.7537215599309
"PRINCE EDWARD",147,526,46,408.714,192.82,569,27.87,38.6,318.71,252.24,0.617155272390963
"PRINCE WILLIAM",153,1173,10,21593.872,191.17,571,6.08,3.4,713.23,703.75,0.0325902644972611
"PULASKI",155,320,3,1760.111,212.68,549,1.75,0,187.08,185.33,0.105294495631241
"RAPPAHANNOCK",157,335,10,14.576,222.83,539,5.74,0,192.28,186.54,12.7977497255763
"ROANOKE",161,92,82,7430.9603,255.62,506,44.18,20.7,49.57,-15.31,-0.00206029898988964
"ROCKBRIDGE",163,700,55,1333.348511,182.33,580,33.97,0,432.33,398.36,0.298766599065111
"ROCKINGHAM",165,4355,174,8784.345484,211.37,551,102.09,276.896,2555.25,2176.264,0.247743443602474
"RUSSELL",167,251,118,1644.2773,327.72,434,54.53,0,116,61.47,0.0373842052067495
"SCOTT",169,637,180,380.623,281.04,481,92.2,0,326.27,234.07,0.614965464514756
"SHENANDOAH",171,1110,36,1967.5901,237.71,524,20.09,30.277,619.37,569.003,0.289187773408699
"SMYTH",173,452,38,2503.458,315.77,446,18.05,0,214.67,196.62,0.0785393643512294
"SOUTHAMPTON",175,2385,0,6068.35342,296.08,466,0,41,1183.5,1142.5,0.188271829428155
"SPOTSYLVANIA",177,346,40,3729.491,188.63,573,24.41,60.56,211.12,126.15,0.0338249911314976
"STAFFORD",179,186,22,3516.87,198.83,563,13.19,0,111.51,98.32,0.027956677386426
"SURRY",181,1472,30,136.30141,239.91,522,16.68,53.203,818.22,748.337,5.49031004154689
"SUSSEX",183,1410,16,397.3285,297.29,465,7.92,38.6,698.18,651.66,1.64010384354508
"TAZEWELL",185,245,29,1763.684,294.61,467,14.42,0,121.84,107.42,0.0609066023165147
"WARREN",187,151,70,3691.9461,238.84,523,38.98,0,84.1,45.12,0.0122211968370828
"WASHINGTON",191,836,155,3081.793,372.99,389,64.21,0,346.3,282.09,0.0915343762543429
"WESTMORELAND",193,1474,122,663.730732,229.79,532,69.11,311.381,835.03,454.539,0.684824399542795
"WISE",195,28,10,2350.4953,308.96,453,4.82,0,13.51,8.69,0.00369709311905452
"WYTHE",197,1061,22,1596.5893,254.55,507,11.88,0,572.82,560.94,0.351336439496369
"YORK",199,41,41,31129.510681,179.13,583,25.45,0,25.45,0,0
"CHESAPEAKE CITY",550,314,189,1681.9399,266.87,495,99.62,0,165.51,65.89,0.0391750026264315
"SUFFOLK CITY",800,1167,109,35591.817279,262.99,499,57.92,208.64,620.1,353.54,0.00993318203531565
"VIRGINIA BEACH CITY",810,431,35,10522.4833922,228.38,534,19.9,0,245.08,225.18,0.0213998912240545
