"County","County_Code","Total.Irri.Area","Irr.Area.Under.TH","Facility_All_Withdrawl_mg","PPT","Irrigation","SM_F_Unreported","Facility_withdrawal_mg","All_Irrigation_mg","Large_Farm_unreported","C_Tot_area_lg"
"ACCOMACK",1,5371,54,4613.681973,315.02,193,11.1,3414.518315,1103.84,-2321.77832,-0.50323761663405
"ALBEMARLE",3,1456,168,3716.21486,292.78,215,38.46,0,333.34,294.88,0.0793495562309871
"ALLEGHANY",5,8,8,14351.1265,271.22,237,2.02,0,2.02,0,0
"AMELIA",7,374,45,117.781,195.37,313,15,85.5,124.65,24.15,0.205041560183731
"APPOMATTOX",11,105,81,42.3,269.17,239,20.61,0,26.72,6.11,0.144444444444444
"AUGUSTA",15,3271,87,4038.266156,332.94,175,16.21,424.6243,609.55,168.7157,0.0417792422496285
"BATH",17,19,19,3818.33,287.21,221,4.47,0,4.47,0,0
"BEDFORD",19,93,54,6562.0609,223.25,285,16.39,11.55,28.22,0.28,0.0000426695217046828
"BOTETOURT",23,52,25,621.356066,274.14,234,6.23,0,12.96,6.73,0.0108311487861132
"BRUNSWICK",25,1280,40,361.79871,366.46,142,6.05,0,193.55,187.5,0.51824397052162
"BUCKINGHAM",29,16,16,125.099,269.99,238,4.05,0,4.05,0,0
"CAMPBELL",31,290,98,1786.7911,256.6,251,26.19,57.88,77.51,-6.56,-0.00367138609544227
"CAROLINE",33,1959,25,2654.55079,225.94,282,7.51,792.39,588.27,-211.63,-0.0797234698982723
"CARROLL",35,1086,19,190.4055,259.57,248,5.02,0,286.8,281.78,1.47989422574453
"CHARLES CITY",36,1435,11,428.065565,300.37,208,2.44,405.611,317.84,-90.211,-0.210741081217313
"CHARLOTTE",37,759,85,82.747,272.3,236,21.36,15.3,190.74,154.08,1.86206146446397
"CHESTERFIELD",41,64,12,32729.120098,240.09,268,3.42,22.9,18.26,-8.06,-0.000246263876812641
"CLARKE",43,249,28,252.6576,243.06,265,7.9,46.58,70.26,15.78,0.0624560670250964
"CRAIG",45,10,10,895.4523,230.71,277,2.95,0,2.95,0,0
"CULPEPER",47,641,64,998.447221,279.19,229,15.61,93.1449,156.31,47.5551,0.0476290574001207
"CUMBERLAND",49,18,18,2.3137,255.47,253,4.85,0,4.85,0,0
"DICKENSON",51,12,12,2145.649,308.27,200,2.56,0,2.56,0,0
"DINWIDDIE",53,1162,53,52.41692,251.02,257,14.5,17.00596,318,286.49404,5.46567863964537
