"","County","County_Code","Total.Irri.Area","Irr.Area.Under.TH","Facility_withdrawal_mg","PPT","Irrigation","Vol_Unreported","C_tot","Method1_Unreported"
"74","SOUTHAMPTON",175,1624,14,2809.935864,397.15,111,1.65,0.000587202014515446,1.65
"75","SPOTSYLVANIA",177,96,27,4081.041726,323.44,185,5.32,0.00130358872983501,5.32
"76","STAFFORD",179,10,10,4400.723,283.35,225,2.4,0.000545364932080479,2.4
"77","SURRY",181,929,10,119.07845,337.31,171,1.82,0.0152840417388705,1.82
"78","SUSSEX",183,699,15,541.786839,368.46,140,2.24,0.0041344673564505,2.24
"79","WARREN",187,10,10,3619.16156,242.86,265,2.82,0.000779185994669992,2.82
"80","WASHINGTON",191,122,51,3971.443,319.35,189,10.26,0.00258344385151694,10.26
"81","WESTMORELAND",193,882,111,436.639511,327.94,180,21.28,0.0487358552396327,21.28
"82","WISE",195,27,15,2262.56029,349.44,159,2.54,0.00112262201861591,2.54
"83","WYTHE",197,18,18,2789.952249,244.4,264,5.06,0.00181365111242088,5.06
"84","YORK",199,11,11,6494.847647,300.68,207,2.42,0.000372603043447495,2.42
"85","CHESAPEAKE CITY",550,72,57,1982.654924,416.67,91,5.52,0.00278414560858801,5.52
"86","SUFFOLK CITY",800,585,60,35939.419179,390.7,117,7.48,0.000208128015724046,7.48
"87","VIRGINIA BEACH CITY",810,315,65,10503.862962,430.3,78,5.4,0.000514096577567288,5.4
