"","County","Total.Irri.Area","Irr.Area.above.TH","Irr.Area.Under.TH","Pct.under.TH.of.Irri.area.abv.TH","Pct.under.TH.of.total.Irr.area","AcreageUnderTh","County_Code","Facility_withdrawal_mg","Method1_Unreported","C_tot"
"1","ACCOMACK",9716,9699,17,0.18,0.17,16.5172,1,5389.55086,9.18,0
"2","ALBEMARLE",1387,1267,120,9.47,8.65,119.9755,3,3908.210335,370.07,0.09
"3","ALLEGHANY",191,180,11,6.11,5.76,11.0016,5,21938.65572,1340.9,0.06
"4","AMELIA",886,777,109,14.03,12.3,108.978,7,42.093,5.9,0.14
"5","AMHERST",144,108,36,33.33,25,36,9,5863,1954.33,0.33
"6","APPOMATTOX",508,489,19,3.89,3.74,18.9992,11,87.302,3.39,0.04
"7","AUGUSTA",3416,3232,184,5.69,5.39,184.1224,15,4341.0051,247.31,0.06
"8","BATH",109,109,0,0,0,0,17,4118.789482,0,0
"9","BEDFORD",676,517,159,30.75,23.52,158.9952,19,4864.389855,1495.95,0.31
"10","BLAND",135,114,21,18.42,15.56,21.006,21,72.718,13.4,0.18
"11","BOTETOURT",253,176,77,43.75,30.43,76.9879,23,2906.553869,1271.33,0.44
"12","BRUNSWICK",1474,1348,126,9.35,8.55,126.027,25,731.753,68.41,0.09
"13","BUCKINGHAM",469,453,16,3.53,3.41,15.9929,29,459.12,16.21,0.04
"14","CAMPBELL",1328,1198,130,10.85,9.79,130.0112,31,2215.3349,240.42,0.11
"15","CAROLINE",2272,2247,25,1.11,1.1,24.992,33,2657.6773,29.56,0.01
"16","CARROLL",785,725,60,8.28,7.64,59.974,35,168.574,13.94,0.08
"17","CHARLES CITY",1122,1101,21,1.91,1.87,20.9814,36,291.196,5.55,0.02
"18","CHARLOTTE",1454,1252,202,16.13,13.89,201.9606,37,116.545,18.8,0.16
"19","CHESTERFIELD",571,536,35,6.53,6.13,35.0023,41,32908.706117,2149.04,0.07
"20","CLARKE",327,233,94,40.34,28.75,94.0125,43,259.376083,104.66,0.4
"21","CRAIG",130,100,30,30,23.08,30.004,45,862.29,258.73,0.3
"22","CULPEPER",589,478,111,23.22,18.85,111.0265,47,598.094,138.93,0.23
"23","CUMBERLAND",222,195,27,13.85,12.16,26.9952,49,2.622,0.36,0.14
"24","DINWIDDIE",1164,1049,115,10.96,9.88,115.0032,53,102.639,11.25,0.11
"25","ESSEX",246,207,39,18.84,15.85,38.991,57,295.8453,55.72,0.19
"26","FAIRFAX",101,0,101,Inf,100,101,59,31715.8939,Inf,Inf
"27","FAUQUIER",862,660,202,30.61,23.43,201.9666,61,917.868,280.86,0.31
"28","FLOYD",779,583,196,33.62,25.16,195.9964,63,59.2953,19.93,0.34
"29","FLUVANNA",57,33,24,72.73,42.11,24.0027,65,264.928204,192.71,0.73
"30","FRANKLIN",1126,884,242,27.38,21.49,241.9774,67,414.587,113.48,0.27
"31","FREDERICK",520,361,159,44.04,30.58,159.016,69,672.497,296.24,0.44
"32","GILES",193,165,28,16.97,14.51,28.0043,71,24886.2384,4223.88,0.17
"33","GLOUCESTER",98,47,51,108.51,52.04,50.9992,73,445.9206,483.86,1.09
"34","GOOCHLAND",101,78,23,29.49,22.77,22.9977,75,695.2937,205,0.29
"35","GRAYSON",619,542,77,14.21,12.44,77.0036,77,67.504,9.59,0.14
"36","GREENE",36,0,36,Inf,100,36,79,201.205732,Inf,Inf
"37","GREENSVILLE",734,734,0,0,0,0,81,647.5772,0,0
