County,Total.Irri.Area,Facility_withdrawal_mg,SM_F_Unreported,All_Irrigation,Large_Farm_unreported,C_irr_lg
ORANGE,1556,0.45,29.57,868.23,838.21,1862.688889
MECKLENBURG,4158,5.59,129.93,2289.12,2153.6,385.2593918
POWHATAN,230,0.58,19.9,143.03,122.55,211.2931034
PRINCE WILLIAM,1173,3.4,6.08,713.23,703.75,206.9852941
LUNENBURG,1484,10,31.37,763.26,721.89,72.189
CULPEPER,589,4.11,64.66,343.08,274.31,66.74209246
LOUDOUN,3666,36.6,108.94,2158.79,2013.25,55.0068306
HALIFAX,2617,26.816,44.36,1415.67,1344.494,50.13775358
DINWIDDIE,1164,14.055,61.72,624.71,548.935,39.05620776
FRANKLIN,1126,11.81,126.01,586.33,448.51,37.97713802
PITTSYLVANIA,5606,86.068,117.96,3134.05,2930.022,34.04310545
SOUTHAMPTON,2385,41,0,1183.5,1142.5,27.86585366
MIDDLESEX,651,13.4,9.27,377.11,354.44,26.45074627
NEW KENT,458,11.89,9.5,290.19,268.8,22.60723297
FREDERICK,520,9,84.83,277.42,183.59,20.39888889
SHENANDOAH,1110,30.277,20.09,619.37,569.003,18.7932424
SUSSEX,1410,38.6,7.92,698.18,651.66,16.88238342
SURRY,1472,53.203,16.68,818.22,748.337,14.06569178
AMELIA,886,42.093,67.09,545.32,436.137,10.36127147
KING WILLIAM,2457,143.51,9.38,1535.81,1382.92,9.636401644
MONTGOMERY,303,17,24.97,184.56,142.59,8.387647059
ROCKINGHAM,4355,276.896,102.09,2555.25,2176.264,7.859499596
GREENSVILLE,734,50.8297,0,385.33,334.5003,6.580804136
PRINCE EDWARD,526,38.6,27.87,318.71,252.24,6.534715026
NORTHAMPTON,9338,742.087,26.14,5548.58,4780.353,6.441768957
CHESTERFIELD,571,55,22.25,363,285.75,5.195454545
HANOVER,2393,236.0457,174.95,1506,1095.0043,4.638950424
ISLE OF WIGHT,791,97.5,2.75,434.63,334.38,3.429538462
AUGUSTA,3416,461.554,113.45,2106.15,1531.146,3.317371315
PAGE,238,34.476,7.9,134.32,91.944,2.666898712
SPOTSYLVANIA,346,60.56,24.41,211.12,126.15,2.083058124
CLARKE,327,42.8,50.45,175.5,82.25,1.921728972
SUFFOLK CITY,1167,208.64,57.92,620.1,353.54,1.694497699
CHARLES CITY,1122,268.67,13.39,715.67,433.61,1.613912979
WESTMORELAND,1474,311.381,69.11,835.03,454.539,1.45975188
NELSON,795,192.13,86.62,474.92,196.17,1.021027429
ACCOMACK,9716,3444.534,9.88,5649.03,2194.616,0.637130015
KING AND QUEEN,743,256.91,39.39,457.31,161.01,0.626717528
CAROLINE,2272,960.526,14.85,1350.01,374.634,0.390030046
ESSEX,246,140.34,23.09,145.65,-17.78,-0.126692319
ROANOKE,92,20.7,44.18,49.57,-15.31,-0.739613527
FAIRFAX,101,14.599,62.06,62.06,-14.599,-1
