County,Total.Irri.Area,Facility_withdrawal_mg,SM_F_Unreported,All_Irrigation,Large_Farm_unreported,C_tot_lg
NORTHAMPTON,9338,997.0889,26.14,5548.58,4525.3511,4.538563312
PITTSYLVANIA,5606,1800.3949,117.96,3134.05,1215.6951,0.675238027
MECKLENBURG,4158,1132.005,129.93,2289.12,1027.185,0.907403236
SURRY,1472,136.30141,16.68,818.22,665.23859,4.880643494
HALIFAX,2617,772.2776,44.36,1415.67,599.0324,0.775669785
CHARLOTTE,1454,116.545,105.62,760.22,538.055,4.616714574
LUNENBURG,1484,231.424,31.37,763.26,500.466,2.162550124
DINWIDDIE,1164,102.639,61.72,624.71,460.351,4.485146971
AMELIA,886,42.093,67.09,545.32,436.137,10.36127147
CHARLES CITY,1122,291.196,13.39,715.67,411.084,1.411708952
SUSSEX,1410,397.3285,7.92,698.18,292.9315,0.737252676
FLOYD,779,59.2953,116.25,462.05,286.5047,4.831828155
ORANGE,1556,569.231,29.57,868.23,269.429,0.473321024
MIDDLESEX,651,117.3,9.27,377.11,250.54,2.135890878
ACCOMACK,9716,5389.55086,9.88,5649.03,249.59914,0.046311677
GRAYSON,619,67.504,38.95,313.1,206.646,3.061240815
APPOMATTOX,508,87.302,11.35,303.47,204.818,2.346086
CARROLL,785,168.574,30.67,401.24,201.996,1.198263077
RAPPAHANNOCK,335,14.576,5.74,192.28,171.964,11.79774973
KING AND QUEEN,743,261.51,39.39,457.31,156.41,0.598103323
CUMBERLAND,222,2.622,16.91,139,119.468,45.56369184
WESTMORELAND,1474,663.730732,69.11,835.03,102.189268,0.153961935
MADISON,333,39.538,38.34,177.3,99.422,2.514593556
POWHATAN,230,32.6476,19.9,143.03,90.4824,2.771487031
MATHEWS,117,1.113,2.94,68.77,64.717,58.14645103
LEE,1374,597.42,115.13,775.45,62.9,0.105286063
FRANKLIN,1126,414.587,126.01,586.33,45.733,0.110309778
NOTTOWAY,457,214.159,18.64,266.19,33.391,0.155916866
BLAND,135,72.718,11.07,71.16,-12.628,-0.173657141
LOUISA,365,199.934,26.94,192.78,-34.094,-0.170526274
BRUNSWICK,1474,731.753,64.54,754.98,-41.313,-0.056457575
NORTHUMBERLAND,38,73.9144,5.82,22.13,-57.6044,-0.779339344
LOUDOUN,3666,2154.691,108.94,2158.79,-104.841,-0.048657093
PRINCE EDWARD,526,408.714,27.87,318.71,-117.874,-0.288402159
PATRICK,325,241.6111,75.91,184.11,-133.4111,-0.552172893
CLARKE,327,259.376083,50.45,175.5,-134.326083,-0.517881531
SCOTT,637,380.623,92.2,326.27,-146.553,-0.385034535
ESSEX,246,295.8453,23.09,145.65,-173.2853,-0.585729434
BUCKINGHAM,469,459.12,9.86,289.16,-179.82,-0.391662311
GREENE,36,201.205732,18.48,18.48,-201.205732,-1
NELSON,795,593.2255,86.62,474.92,-204.9255,-0.345442838
FLUVANNA,57,264.928204,13.72,32.59,-246.058204,-0.928773155
GREENSVILLE,734,647.5772,0,385.33,-262.2472,-0.404966697
CULPEPER,589,598.094,64.66,343.08,-319.674,-0.53448789
GLOUCESTER,98,445.9206,30.63,58.86,-417.6906,-0.936692765
FREDERICK,520,672.497,84.83,277.42,-479.907,-0.71361954
FAUQUIER,862,917.868,119.38,509.44,-527.808,-0.575036933
GOOCHLAND,101,695.2937,14.08,61.84,-647.5337,-0.931309603
HENRICO,49,677.181536,30.58,30.58,-677.181536,-1
PAGE,238,876.3444,7.9,134.32,-749.9244,-0.855741647
KING GEORGE,3,761.1532,1.81,1.81,-761.1532,-1
CRAIG,130,862.29,16.29,70.6,-807.98,-0.937016549
ROCKBRIDGE,700,1333.348511,33.97,432.33,-934.988511,-0.701233401
WYTHE,1061,1596.5893,11.88,572.82,-1035.6493,-0.648663561
CAROLINE,2272,2657.6773,14.85,1350.01,-1322.5173,-0.497621476
SHENANDOAH,1110,1967.5901,20.09,619.37,-1368.3101,-0.695424367
CAMPBELL,1328,2215.3349,73.37,749.49,-1539.2149,-0.694800095
PULASKI,320,1760.111,1.75,187.08,-1574.781,-0.894705504
RUSSELL,251,1644.2773,54.53,116,-1582.8073,-0.962615795
HENRY,416,1815.299008,22.09,235.67,-1601.719008,-0.882344452
CHESAPEAKE CITY,314,1681.9399,99.62,165.51,-1616.0499,-0.960824997
TAZEWELL,245,1763.684,14.42,121.84,-1656.264,-0.939093398
SMYTH,452,2503.458,18.05,214.67,-2306.838,-0.921460636
WISE,28,2350.4953,4.82,13.51,-2341.8053,-0.996302907
AUGUSTA,3416,4341.0051,113.45,2106.15,-2348.3051,-0.540958844
WASHINGTON,836,3081.793,64.21,346.3,-2799.703,-0.908465624
BOTETOURT,253,2906.553869,44.52,146.29,-2804.783869,-0.964986027
