"Year","County_Code","name","PPT","Irrigation","parm_Tot_Area","All_Irrigation_mg","Small_Farm_Unreported","TOT_DEQ_Withdrawals","IRR_DEQ_withdrawals","Large_Farm_unreported","C_tot_lg"
2002,7,"AMELIA",183.52,324,886,305.68,37.61,42.093,42.093,225.977,5.36851733067256
2002,119,"MIDDLESEX",217.69,290,651,201.04,8.03,117.3,13.4,179.61,1.53120204603581
2002,109,"LOUISA",266.05,242,365,94.06,23.19,199.934,0,70.87,0.354466974101454
2002,111,"LUNENBURG",278.51,229,1484,361.88,14.88,231.424,10,337,1.4562016039823
2002,115,"MATHEWS",209.99,298,117,37.13,6.03,1.113,0,31.1,27.9424977538185
2002,191,"WASHINGTON",372.99,135,836,120.18,22.28,3081.793,0,97.9,0.031767221224787
2002,29,"BUCKINGHAM",182.8,325,469,162.31,9,459.12,0,153.31,0.333921414880641
2002,33,"CAROLINE",203.9,304,3411,1104.2,25.57,2657.6773,960.526,118.104,0.04443880376297
2002,53,"DINWIDDIE",257.98,250,1885,501.82,30.61,102.639,14.055,457.155,4.45400871013942
2002,141,"PATRICK",230.32,278,432,127.89,39.67,241.6111,0,88.22,0.365132231093687
2002,177,"SPOTSYLVANIA",188.63,319,346,117.53,26.84,3729.491,60.56,30.13,0.00807885043830378
2002,35,"CARROLL",281.67,226,1086,261.36,14.44,168.574,0,246.92,1.46475731726126
2002,57,"ESSEX",205.9,302,246,79.11,12.54,295.8453,140.34,-73.77,-0.249353293765356
2002,41,"CHESTERFIELD",164.69,343,571,208.56,16.8,32908.706117,55,136.76,0.00415573919903683
2002,125,"NELSON",200.79,307,1016,332.14,47.4,593.2255,192.13,92.61,0.156112641820016
2002,147,"PRINCE EDWARD",192.82,315,526,176.44,20.13,408.714,38.6,117.71,0.28800090038511
2002,97,"KING AND QUEEN",184.5,324,1221,421.26,22.08,261.51,256.91,142.27,0.544032732973883
2002,179,"STAFFORD",198.83,309,221,72.72,8.23,3516.87,0,64.49,0.0183373283630046
2002,107,"LOUDOUN",209.01,299,3666,1167.23,77.05,2154.691,36.6,1053.58,0.488970344239615
2002,71,"GILES",252.49,256,193,52.61,8.72,24886.2384,0,43.89,0.00176362531349856
2002,1,"ACCOMACK",215.86,292,9716,3021.09,18.03,5389.55086,3444.534,-441.474,-0.0819129481227309
2002,127,"NEW KENT",167.24,341,495,179.74,6.54,14967.40878,11.89,161.31,0.0107774166103854
2002,185,"TAZEWELL",294.61,213,330,74.85,6.58,1763.684,0,68.27,0.0387087482791702
2002,21,"BLAND",266.76,241,801,205.56,5.39,72.718,0,200.17,2.75268846777964
2002,91,"HIGHLAND",248.84,259,20,5.52,2.48,32.1618,0,3.04,0.0945220727695589
2002,61,"FAUQUIER",206.7,301,920,294.88,69.55,917.868,0,225.33,0.245492815960465
2002,69,"FREDERICK",261.41,247,520,136.77,41.82,672.497,9,85.95,0.127807261593732
2002,17,"BATH",211.17,297,109,34.47,6.01,4118.789482,0,28.46,0.00690979719268886
2002,3,"ALBEMARLE",249.55,258,1456,400.01,46.16,3908.210335,0,353.85,0.0905401628031875
2002,51,"DICKENSON",303.83,204,12,2.61,2.61,1571.946,0,0,0
2002,49,"CUMBERLAND",174.03,334,222,78.96,9.6,2.622,0,69.36,26.4530892448513
2002,85,"HANOVER",170.63,337,3569,1280.77,99.76,5914.3517,236.0457,944.9643,0.159774789855666
2002,81,"GREENSVILLE",268.68,239,734,186.8,2.29,647.5772,50.8297,133.6803,0.206431449408657
