"","County","Total.Irri.Area","Irr.Area.above.TH","Irr.Area.Under.TH","Pct.under.TH.of.Irri.area.abv.TH","Pct.under.TH.of.total.Irr.area","AcreageUnderTh","County_Code","Facility_withdrawal_mg","Method1_Unreported","C_tot"
"78","SPOTSYLVANIA",58,29,29,100,50,29,177,3808.4174,3808.42,1
"79","STAFFORD",25,0,25,Inf,100,25,179,3946.842,Inf,Inf
"80","SURRY",1238,1173,65,5.54,5.25,64.995,181,78.119956,4.33,0.06
"81","SUSSEX",1371,1346,25,1.86,1.82,24.9522,183,456.542,8.46,0.02
"82","TAZEWELL",18,0,18,Inf,100,18,185,613.3172,Inf,Inf
"83","WARREN",12,0,12,Inf,100,12,187,3510.696,Inf,Inf
"84","WASHINGTON",224,135,89,65.93,39.73,88.9952,191,3633.4089,2395.14,0.66
"85","WESTMORELAND",1642,1640,2,0.12,0.12,1.9704,193,757.3936,0.91,0
"86","WISE",12,0,12,Inf,100,12,195,2587.3307,Inf,Inf
"87","WYTHE",72,20,52,260,72.22,51.9984,197,2699.777321,7018.64,2.6
"88","YORK",21,13,8,61.54,38.1,8.001,199,8251.782001,5079.05,0.62
"89","CHESAPEAKE CITY",282,214,68,31.78,24.11,67.9902,550,2422.93334,769.76,0.32
"90","SUFFOLK CITY",414,352,62,17.61,14.98,62.0172,800,33496.6765933,5901.91,0.18
"91","VIRGINIA BEACH CITY",180,136,44,32.35,24.44,43.992,810,7247.615924,2344.25,0.32
