"Year","County_Code","name","PPT","Irrigation","parm_Tot_Area","All_Irrigation_mg","Small_Farm_Unreported","TOT_DEQ_Withdrawals","IRR_DEQ_withdrawals","Unreported_Deficit_Irr_based","C_tot_lg"
2002,167,"RUSSELL",327.72,180,134,25.68,5.37,1644.2773,0,20.31,0.0123519311493262
2002,59,"FAIRFAX",185.45,323,55,18.92,18.92,31715.8939,14.599,-14.599,-0.000460305487401066
2002,31,"CAMPBELL",231.63,276,546,160.47,30.12,2215.3349,0,130.35,0.0588398620903774
2002,157,"RAPPAHANNOCK",222.83,285,126.5,38.39,17.75,14.576,0,20.64,1.41602634467618
2002,23,"BOTETOURT",219.1,289,57.5,17.7,7.69,2906.553869,0,10.01,0.00344394098687183
2002,197,"WYTHE",254.55,253,118,31.79,9.97,1596.5893,0,21.82,0.0136666329907134
2002,43,"CLARKE",257.98,250,288,76.67,12.51,259.376083,42.8,21.36,0.0823514633768295
2002,83,"HALIFAX",253.93,254,1850.5,500.51,27.72,772.2776,26.816,445.974,0.577478875471721
2002,800,"SUFFOLK CITY",262.99,245,600.5,156.67,16.96,35591.817279,208.64,-68.93,-0.00193668110452653
2002,113,"MADISON",261.94,246,75,19.65,13.88,39.538,0,5.77,0.145935555667965
2002,163,"ROCKBRIDGE",182.33,326,123,42.7,17.53,1333.348511,0,25.17,0.0188772851151442
2002,810,"VIRGINIA BEACH CITY",228.38,280,254,75.73,14.16,10522.4833922,0,61.57,0.0058512803209212
2002,15,"AUGUSTA",183.24,325,3343.5,1157.12,65.58,4341.0051,461.554,629.986,0.145124455163621
2002,45,"CRAIG",252.17,256,62.5,17.04,3.95,862.29,0,13.09,0.0151805077178212
2002,181,"SURRY",239.91,268,1133,323.34,7.42,136.30141,53.203,262.717,1.92747088969953
2002,159,"RICHMOND",189.46,319,126,42.8,5.44,190.5196,0,37.36,0.196095309878879
2002,153,"PRINCE WILLIAM",191.17,317,974.5,328.95,17.38,21593.872,3.4,308.17,0.0142711784158024
2002,199,"YORK",179.13,329,19,6.66,4.9,31129.510681,0,1.76,0.0000565379911697174
2002,7,"AMELIA",183.52,324,468,161.47,14.32,42.093,42.093,105.057,2.49583066067992
2002,119,"MIDDLESEX",217.69,290,478.5,147.77,5.25,117.3,13.4,129.12,1.10076726342711
2002,109,"LOUISA",266.05,242,278.5,71.77,18.3,199.934,0,53.47,0.267438254624026
2002,111,"LUNENBURG",278.51,229,1089,265.56,8.29,231.424,10,247.27,1.06847172289823
2002,115,"MATHEWS",209.99,298,35,11.11,4.28,1.113,0,6.83,6.13656783468104
2002,191,"WASHINGTON",372.99,135,317,45.57,15.24,3081.793,0,30.33,0.0098416733375668
2002,29,"BUCKINGHAM",182.8,325,52,18,6.06,459.12,0,11.94,0.0260062728698379
2002,33,"CAROLINE",203.9,304,2192,709.59,8.09,2657.6773,960.526,-259.026,-0.0974633000026
2002,53,"DINWIDDIE",257.98,250,1371,364.98,10.65,102.639,14.055,340.275,3.31526028117967
2002,141,"PATRICK",230.32,278,269,79.63,17.02,241.6111,0,62.61,0.259135445349986
2002,177,"SPOTSYLVANIA",188.63,319,120,40.76,11.72,3729.491,60.56,-31.52,-0.00845155545354581
2002,35,"CARROLL",281.67,226,692.5,166.66,6.02,168.574,0,160.64,0.952934616251616
2002,57,"ESSEX",205.9,302,124.5,40.04,6.75,295.8453,140.34,-107.05,-0.361844518064002
2002,41,"CHESTERFIELD",164.69,343,130,47.48,11.51,32908.706117,55,-19.03,-0.000578266429933247
2002,125,"NELSON",200.79,307,828.5,270.85,26.64,593.2255,192.13,52.08,0.0877912362162449
2002,147,"PRINCE EDWARD",192.82,315,109.5,36.73,10.06,408.714,38.6,-11.93,-0.0291891151269592
2002,97,"KING AND QUEEN",184.5,324,380.5,131.28,9.49,261.51,256.91,-135.12,-0.516691522312722
2002,179,"STAFFORD",198.83,309,105.5,34.71,5.43,3516.87,0,29.28,0.00832558496617731
2002,107,"LOUDOUN",209.01,299,2056.5,654.78,66.86,2154.691,36.6,551.32,0.255869635135618
2002,71,"GILES",252.49,256,31,8.45,7.5,24886.2384,0,0.95,0.0000381737080843845
2002,1,"ACCOMACK",215.86,292,5939.5,1846.83,16.01,5389.55086,3444.534,-1613.714,-0.299415302298492
2002,127,"NEW KENT",167.24,341,458,166.31,5.45,14967.40878,11.89,148.97,0.00995295860423477
2002,185,"TAZEWELL",294.61,213,245,55.57,6.58,1763.684,0,48.99,0.0277770847838955
2002,21,"BLAND",266.76,241,135,34.65,2.57,72.718,0,32.08,0.441156247421546
2002,91,"HIGHLAND",248.84,259,20,5.52,2.48,32.1618,0,3.04,0.0945220727695589
2002,61,"FAUQUIER",206.7,301,657,210.58,65.55,917.868,0,145.03,0.158007469483629
2002,69,"FREDERICK",261.41,247,224.5,59.05,23.67,672.497,9,26.38,0.0392269407893269
2002,17,"BATH",211.17,297,19,6.01,2.21,4118.789482,0,3.8,0.00092260117119528
2002,3,"ALBEMARLE",249.55,258,1206.5,331.47,32.01,3908.210335,0,299.46,0.0766233069183059
2002,51,"DICKENSON",303.83,204,12,2.61,2.61,1571.946,0,0,0
2002,49,"CUMBERLAND",174.03,334,167,59.4,8.18,2.622,0,51.22,19.534706331045
2002,85,"HANOVER",170.63,337,3263,1170.96,76.44,5914.3517,236.0457,858.4743,0.145151039969436
2002,81,"GREENSVILLE",268.68,239,246,62.61,1.27,647.5772,50.8297,10.5103,0.0162301884624721
2002,5,"ALLEGHANY",220.71,287,99.5,30.41,2.9,21938.65572,0,27.51,0.00125395103287577
2002,165,"ROCKINGHAM",211.37,297,5167,1634.14,82.7,8784.345484,276.896,1274.544,0.14509265400837
2002,171,"SHENANDOAH",237.71,270,824,236.91,30.19,1967.5901,30.277,176.443,0.0896746736019865
2002,145,"POWHATAN",177.67,330,81,28.46,6.33,32.6476,0.58,21.55,0.660079148237543
2002,175,"SOUTHAMPTON",296.08,212,2815.5,635.6,4.74,6068.35342,41,589.86,0.0972026444695767
2002,139,"PAGE",231.87,276,267,78.47,5.73,876.3444,34.476,38.264,0.043663199080179
2002,133,"NORTHUMBERLAND",215.27,293,38,11.86,0.62,73.9144,0,11.24,0.152067797343955
2002,75,"GOOCHLAND",187.49,321,66.5,22.73,7.35,695.2937,0,15.38,0.0221201486508507
2002,65,"FLUVANNA",225.19,283,111.5,33.6,8.14,264.928204,0,25.46,0.0961015083165702
2002,95,"JAMES CITY",169.8,338,38.5,13.86,5.58,5502.30478,0,8.28,0.00150482394761128
2002,63,"FLOYD",204.98,303,187,60.34,41.14,59.2953,0,19.2,0.323803067022175
2002,149,"PRINCE GEORGE",228.06,280,7,2.09,2.09,326.456752,0,0,0
2002,77,"GRAYSON",287.24,221,128.5,30.24,9.65,67.504,0,20.59,0.305018961839298
2002,131,"NORTHAMPTON",204.19,304,7810.5,2528.4,14.73,997.0889,742.087,1771.583,1.7767553123899
2002,137,"ORANGE",237.63,270,595,171.07,12.94,569.231,0.45,157.68,0.277005293105962
2002,79,"GREENE",279.71,228,42.5,10.32,8.98,201.205732,0,1.34,0.00665985002852702
2002,195,"WISE",308.96,199,27.5,5.83,2.33,2350.4953,0,3.5,0.00148904786152944
2002,183,"SUSSEX",297.29,211,1390.5,312.43,3.48,397.3285,38.6,270.35,0.680419350738746
2002,87,"HENRICO",175.58,332,26.5,9.37,9.37,677.181536,0,0,0
2002,101,"KING WILLIAM",174.97,333,2037.5,722.5,5.5,7514.2431,143.51,573.49,0.0763203947979804
2002,103,"LANCASTER",211.98,296,12,3.78,3.78,498.1982,0,0,0
2002,187,"WARREN",238.84,269,35,10.03,10.03,3691.9461,0,0,0
2002,9,"AMHERST",194.36,314,147,49.15,9.03,5863,0,40.12,0.0068429131843766
2002,155,"PULASKI",212.68,295,134.5,42.25,5.81,1760.111,0,36.44,0.0207032397388574
2002,19,"BEDFORD",241.49,267,330,93.83,14.93,4864.389855,0,78.9,0.0162199170609034
2002,173,"SMYTH",315.77,192,108,22.08,6.75,2503.458,0,15.33,0.00612352993339613
2003,67,"FRANKLIN",322.8,185,882.5,173.85,24.33,388.448,0,149.52,0.384916385204712
2003,37,"CHARLOTTE",415.76,92,745,72.99,11.27,113.567,0,61.72,0.543467732704042
2003,99,"KING GEORGE",346.12,162,350,60.38,3.62,796.321,0,56.76,0.0712777887309263
2003,135,"NOTTOWAY",440.16,68,230.5,16.69,2.75,216.402,0,13.94,0.0644171495642369
2003,25,"BRUNSWICK",424.95,83,1395,123.3,2.92,271.093,0,120.38,0.444054254444047
2003,161,"ROANOKE",442.56,65,93,6.44,4.29,6991.8365,0.4,1.75,0.000250291893982361
2003,36,"CHARLES CITY",439.57,68,1249,90.44,0.98,192.29469,140,-50.54,-0.262825770175973
2003,550,"CHESAPEAKE CITY",422.84,85,260.5,23.58,5.66,4650.718044,0.983792,16.93621,0.00364163336494884
2003,11,"APPOMATTOX",465.04,43,74,3.39,1.53,81.33,0,1.86,0.0228697897454814
2003,73,"GLOUCESTER",461.72,46,52,2.55,2.38,479.707,0,0.17,0.000354382987948894
2003,47,"CULPEPER",411.32,97,628,64.87,9.19,599.078,5.302,50.378,0.0840925555603778
2003,105,"LEE",368.35,140,179,26.69,7.75,650.416,0,18.94,0.0291198248505572
2003,193,"WESTMORELAND",383.56,124,1558,205.72,7.66,546.9156,223.695,-25.635,-0.0468719487979498
2003,143,"PITTSYLVANIA",499.2,9,3952,37.88,1.26,1773.663,0,36.62,0.0206465377019197
2003,117,"MECKLENBURG",424.11,84,3696.5,330.65,7.47,190.511,0,323.18,1.69638498564387
2003,121,"MONTGOMERY",441.4,67,336,23.97,2.68,7622.6086,10.4,10.89,0.00142864478178769
2003,89,"HENRY",527.6,-20,276.5,-5.89,-0.56,1669.303,0,-5.33,-0.0031929493926507
2003,93,"ISLE OF WIGHT",406.02,102,746.5,81.08,2.72,14104.7598,2,76.36,0.00541377528456741
2003,169,"SCOTT",448.2,60,149.5,9.55,3.42,384.929,0,6.13,0.0159250147429786
2003,167,"RUSSELL",506.87,1,134,0.14,0.03,1288.082,0,0.11,0.0000853982898604282
2003,59,"FAIRFAX",398.5,110,55,6.44,6.44,29771.4871,54.1,-54.1,-0.00181717493043873
2003,31,"CAMPBELL",435.97,72,546,41.86,7.86,1988.4549,0,34,0.0170987031186878
2003,157,"RAPPAHANNOCK",462.52,45,126.5,6.06,2.8,13.345,0,3.26,0.24428624953166
2003,23,"BOTETOURT",462.08,46,57.5,2.82,1.22,2193.3006,0,1.6,0.000729494169654629
2003,197,"WYTHE",419.88,88,118,11.06,3.47,2576.606,0,7.59,0.00294573559170475
2003,43,"CLARKE",422.72,85,288,26.07,4.25,197.5757,1.5,20.32,0.102846655737522
2003,83,"HALIFAX",465.17,43,1850.5,84.73,4.69,760.9566,0.015,80.025,0.105163684762048
2003,800,"SUFFOLK CITY",344.61,163,600.5,104.23,11.28,30355.4162,196.69,-103.74,-0.00341751202871005
2003,113,"MADISON",476.75,31,75,2.48,1.75,43.799,0,0.73,0.0166670471928583
2003,163,"ROCKBRIDGE",427.69,80,123,10.48,4.3,1066.0726,0,6.18,0.00579697855474383
2003,810,"VIRGINIA BEACH CITY",426.34,82,254,22.18,4.15,3156.889,4,14.03,0.00444424875249019
2003,15,"AUGUSTA",447,61,3343.5,217.18,12.31,4056.825,141.597,63.273,0.0155966796694459
2003,45,"CRAIG",427.08,81,62.5,5.39,1.25,757.067,0,4.14,0.00546847240732987
2003,181,"SURRY",413.95,94,1133,113.41,2.6,98.0439,8.661,102.149,1.04187001945047
2003,159,"RICHMOND",433,75,126,10.06,1.28,117.9943,0,8.78,0.0744103740604419
2003,153,"PRINCE WILLIAM",375.98,132,974.5,136.98,7.24,20291.813,0,129.74,0.00639371159196076
2003,199,"YORK",456.99,51,19,1.03,0.76,31027.3086,0,0.27,0.00000870201162082102
2003,7,"AMELIA",404.26,104,468,51.83,4.6,0,0,47.23,Inf
2003,119,"MIDDLESEX",458.62,49,478.5,24.97,0.89,70.5389,12,12.08,0.171253024926672
2003,109,"LOUISA",403.25,105,278.5,31.14,7.94,153.9612,0,23.2,0.150687316025076
2003,111,"LUNENBURG",415.3,93,1089,107.85,3.37,221.491,0,104.48,0.471712168891738
2003,115,"MATHEWS",450.97,57,35,2.12,0.82,5.1598,0,1.3,0.251947749912787
2003,191,"WASHINGTON",508.84,-1,317,-0.34,-0.11,3165.058,0,-0.23,-0.0000726684945425961
2003,29,"BUCKINGHAM",361.27,147,52,8.14,2.74,797.7879,0,5.4,0.00676871634678841
2003,33,"CAROLINE",378.49,130,2192,303.44,3.46,1283.25574,129.274,170.706,0.133025705382779
2003,53,"DINWIDDIE",437.53,70,1371,102.19,2.98,17.522,0.217,98.993,5.6496404520032
2003,141,"PATRICK",610.09,-102,269,-29.22,-6.25,241.795,0,-22.97,-0.0949978287392212
2003,177,"SPOTSYLVANIA",317.17,191,120,24.41,7.02,3754.002,1.2,16.19,0.00431273078703741
2003,35,"CARROLL",557.96,-50,692.5,-36.87,-1.33,175.4273,0,-35.54,-0.202591044837377
2003,57,"ESSEX",403.58,104,124.5,13.79,2.33,174.6372,24.42,-12.96,-0.0742109928468849
2003,41,"CHESTERFIELD",414.74,93,130,12.87,3.12,34078.7701,15.4,-5.65,-0.000165792368193475
2003,125,"NELSON",510.25,-2,828.5,-1.76,-0.17,715.97,125.38,-126.97,-0.177339832674553
2003,147,"PRINCE EDWARD",386.74,121,109.5,14.11,3.87,361.3264,0.744,9.496,0.0262809470882836
2003,97,"KING AND QUEEN",457.34,51,380.5,20.66,1.49,65.976,62.029,-42.859,-0.64961501151934
2003,179,"STAFFORD",318.74,189,105.5,21.23,3.32,3487.074,0,17.91,0.00513611124971824
2003,107,"LOUDOUN",422.64,85,2056.5,186.14,19.01,1918.676,0.97,166.16,0.0866013855387778
2003,71,"GILES",444.68,63,31,2.08,1.84,24316.547,0,0.24,0.00000986982238884493
2003,1,"ACCOMACK",384.95,123,5939.5,777.94,6.75,4921.331657,3104.2237,-2333.0337,-0.474065529942803
2003,127,"NEW KENT",461.13,47,458,22.92,0.75,7660.00172,5.62,16.55,0.00216057392739071
2003,185,"TAZEWELL",434.16,74,245,19.31,2.29,1680.703,0,17.02,0.0101267148330193
2003,21,"BLAND",386.02,122,135,17.54,1.3,62.937,0,16.24,0.258035813591369
2003,91,"HIGHLAND",376.33,132,20,2.81,1.27,2916.7336,0,1.54,0.000527987883432344
2003,61,"FAUQUIER",426.46,82,657,57.37,17.86,983.8588,0,39.51,0.0401582015630698
2003,69,"FREDERICK",379.59,128,224.5,30.6,12.27,1025.3919,6,12.33,0.0120246707624665
2003,17,"BATH",397.41,111,19,2.25,0.83,4462.6829,0,1.42,0.00031819424140577
2003,3,"ALBEMARLE",471.21,37,1206.5,47.54,4.59,3636.6436,0,42.95,0.0118103407218678
2003,51,"DICKENSON",435.47,73,12,0.93,0.93,1540.376,0,0,0
2003,49,"CUMBERLAND",362.77,145,167,25.79,3.55,2.2051,0,22.24,10.0857103986214
2003,85,"HANOVER",471.1,37,3263,128.56,8.39,6188.66967,75.178,44.992,0.00727006002891087
2003,81,"GREENSVILLE",347.17,161,246,42.17,0.86,34.0449,0,41.31,1.21339760140285
2003,5,"ALLEGHANY",368.17,140,99.5,14.83,1.42,15721.783,0,13.41,0.000852956690726491
2003,165,"ROCKINGHAM",408.59,99,5167,544.71,27.57,7790.53,32.521,484.619,0.0622061656909094
2003,171,"SHENANDOAH",416.07,92,824,80.73,10.29,1691.246,0,70.44,0.0416497659122328
2003,145,"POWHATAN",402.54,105,81,9.06,2.01,38.4136,4.81,2.24,0.0583126809255056
2003,175,"SOUTHAMPTON",371.6,136,2815.5,407.74,3.04,2264.03714,50.95,353.75,0.156247436824292
2003,139,"PAGE",394.39,114,267,32.41,2.37,773.7486,0,30.04,0.0388239797784448
2003,133,"NORTHUMBERLAND",483.68,24,38,0.97,0.05,66.5523,0,0.92,0.013823714582366
2003,75,"GOOCHLAND",365.12,143,66.5,10.13,3.27,400.825,0,6.86,0.0171147009293333
2003,65,"FLUVANNA",342.75,165,111.5,19.59,4.74,279.15,0,14.85,0.0531972058033315
2003,95,"JAMES CITY",427.09,81,38.5,3.32,1.34,1633.328959,0,1.98,0.00121224814455763
2003,63,"FLOYD",469.37,39,187,7.77,5.3,56.847,10.5,-8.03,-0.141256354776857
2003,149,"PRINCE GEORGE",433.07,75,7,0.56,0.56,108.887226,0,0,0
2003,77,"GRAYSON",468.35,40,128.5,5.47,1.75,64.691,0,3.72,0.0575041350419687
2003,131,"NORTHAMPTON",422.18,86,7810.5,715.27,4.17,738.04504,457.66466,253.43534,0.34338736291758
2003,137,"ORANGE",367.23,141,595,89.34,6.76,536.752,0,82.58,0.153851313083137
2003,79,"GREENE",437.56,70,42.5,3.17,2.76,183.9189,0,0.41,0.00222924343283915
2003,195,"WISE",444.17,64,27.5,1.87,0.75,2246.494,0,1.12,0.000498554636691663
2003,183,"SUSSEX",403.11,105,1390.5,155.47,1.73,351.8869,18.9,134.84,0.38319130379676
2003,87,"HENRICO",467.83,40,26.5,1.13,1.13,112.356,0,0,0
2003,101,"KING WILLIAM",455.78,52,2037.5,112.82,0.86,7205.827952,24.1,87.86,0.0121929083771164
2003,103,"LANCASTER",447.71,60,12,0.77,0.77,295.2157,0,0,0
2003,187,"WARREN",399.74,108,35,4.03,4.03,3966.652,0,0,0
2003,9,"AMHERST",488.43,20,147,3.13,0.58,6576.832,0,2.55,0.00038772466743867
2003,155,"PULASKI",399.44,109,134.5,15.61,2.15,1682.551,0,13.46,0.00799975751106504
2003,19,"BEDFORD",505.41,3,330,1.05,0.17,4029.9904,0,0.88,0.000218362803047868
2003,173,"SMYTH",487.53,20,108,2.3,0.7,2567.973,0,1.6,0.000623059510360896
2004,67,"FRANKLIN",440.7,67,882.5,62.96,8.81,437.6641,0,54.15,0.12372502108352
2004,37,"CHARLOTTE",455.8,52,745,41.25,6.37,148.0165,18.2,16.68,0.112690139275013
2004,99,"KING GEORGE",382.62,125,350,46.59,2.8,902.3829,7.4,36.39,0.0403265620392408
2004,135,"NOTTOWAY",453.91,54,230.5,13.25,2.19,226.1633,0,11.06,0.048902717638096
2004,25,"BRUNSWICK",476.98,31,1395,46.05,1.09,1013.78,0,44.96,0.0443488725364478
2004,161,"ROANOKE",371.41,137,93,13.57,9.04,7368.0489,5.25,-0.72,-0.0000977192211631494
2004,36,"CHARLES CITY",549.93,-42,1249,-55.86,-0.6,51.6081,13.79,-69.05,-1.33796826467163
2004,550,"CHESAPEAKE CITY",546.15,-38,260.5,-10.54,-2.53,4932.15236,0.98581,-8.99581,-0.00182391161979432
2004,11,"APPOMATTOX",364.96,143,74,11.27,5.1,86.59,0,6.17,0.0712553412634253
2004,73,"GLOUCESTER",536.93,-29,52,-1.61,-1.5,485.985,0,-0.11,-0.000226344434499007
2004,47,"CULPEPER",325.13,183,628,122.38,17.34,687.4135,26.4275,78.6125,0.114359843092986
2004,105,"LEE",283.01,225,179,42.89,12.46,635.993,0,30.43,0.0478464385614307
2004,193,"WESTMORELAND",493.34,15,1558,24.89,0.93,472.08045,161.042,-137.082,-0.290378472567547
2004,143,"PITTSYLVANIA",405.29,103,3952,433.46,14.37,1493.7455,5.618,413.472,0.276802172793156
2004,117,"MECKLENBURG",449.69,58,3696.5,228.3,5.16,609.9384,0.567,222.573,0.364910620482331
2004,121,"MONTGOMERY",286.95,221,336,79.07,8.83,8037.1723,10,60.24,0.00749517339574766
2004,89,"HENRY",427.37,81,276.5,23.85,2.29,1081.018,0,21.56,0.0199441637419543
2004,93,"ISLE OF WIGHT",530.98,-23,746.5,-18.28,-0.61,14822.334604,3,-20.67,-0.00139451716293208
2004,169,"SCOTT",320.1,188,149.5,29.93,10.71,388.2952,0,19.22,0.0494984228494197
2004,167,"RUSSELL",436.91,71,134,10.13,2.12,1401.1267,0,8.01,0.00571682775012424
2004,59,"FAIRFAX",340.51,167,55,9.78,9.78,31179.9948,17.4,-17.4,-0.000558050125139854
2004,31,"CAMPBELL",375.88,132,546,76.75,14.41,2044.8746,5.34,57,0.0278745699125022
2004,157,"RAPPAHANNOCK",286.05,222,126.5,29.9,13.83,14.242,0,16.07,1.1283527594439
2004,23,"BOTETOURT",282.54,225,57.5,13.78,5.99,997.5791,0,7.79,0.00780890457709068
2004,197,"WYTHE",339.19,169,118,21.24,6.66,2581.357,0,14.58,0.00564819201683456
2004,43,"CLARKE",278.04,230,288,70.54,11.51,214.469,0,59.03,0.275237913171601
2004,83,"HALIFAX",436.91,71,1850.5,139.91,7.75,794.2524,0,132.16,0.166395468241582
2004,800,"SUFFOLK CITY",508.08,0,600.5,0,0,34540.961863,0,0,0
2004,113,"MADISON",319.83,188,75,15.01,10.61,50.638,0,4.4,0.0868912674276235
2004,163,"ROCKBRIDGE",319.29,189,123,24.75,10.16,612.3916,0,14.59,0.023824624635609
2004,810,"VIRGINIA BEACH CITY",555.58,-48,254,-12.98,-2.43,5814.974298,3.6,-14.15,-0.00243337275022295
2004,15,"AUGUSTA",295.79,212,3343.5,754.8,42.78,3990.4075,87.989,624.031,0.15638277544336
2004,45,"CRAIG",302.67,205,62.5,13.64,3.17,1130.353,0,10.47,0.00926259318991501
2004,181,"SURRY",542.84,-35,1133,-42.23,-0.97,86.7978,0,-41.26,-0.4753576703557
2004,159,"RICHMOND",527.94,-20,126,-2.68,-0.34,118.86,0,-2.34,-0.0196870267541646
2004,153,"PRINCE WILLIAM",316.56,191,974.5,198.2,10.47,20958.728,0,187.73,0.00895712755087045
2004,199,"YORK",559.51,-52,19,-1.05,-0.78,30823.8643,0,-0.27,-0.00000875944681601781
2004,7,"AMELIA",466.8,41,468,20.43,1.81,0,0,18.62,Inf
2004,119,"MIDDLESEX",502.45,6,478.5,3.06,0.11,62.7574,14.5,-11.55,-0.184042041257286
2004,109,"LOUISA",432.91,75,278.5,22.24,5.67,162.09757,0,16.57,0.102222383716178
2004,111,"LUNENBURG",458.68,49,1089,56.82,1.77,225.2288,0,55.05,0.24441812059559
2004,115,"MATHEWS",485.86,22,35,0.82,0.32,1.289,0,0.5,0.387897595034911
2004,191,"WASHINGTON",409.81,98,317,33.08,11.06,3045.175,0,22.02,0.00723111151247465
2004,29,"BUCKINGHAM",364.93,143,52,7.92,2.66,204.742,0,5.26,0.025690869484522
2004,33,"CAROLINE",463.88,44,2192,102.7,1.17,1366.0375,155.723,-54.193,-0.0396716781201102
2004,53,"DINWIDDIE",476.14,32,1371,46.72,1.36,21.0767,0,45.36,2.15213956644067
2004,141,"PATRICK",439.44,69,269,19.76,4.22,236.7354,0,15.54,0.0656429076513272
2004,177,"SPOTSYLVANIA",389.07,119,120,15.21,4.37,3685.0377,15.52,-4.68,-0.00127000057557077
2004,35,"CARROLL",364.86,143,692.5,105.45,3.81,174.5737,0,101.64,0.582218283739189
2004,57,"ESSEX",527.8,-20,124.5,-2.65,-0.45,172.8791,28.5,-30.7,-0.17758074862722
2004,41,"CHESTERFIELD",495.65,12,130,1.66,0.4,34553.8402,15.8,-14.54,-0.000420792592540843
2004,125,"NELSON",391.27,117,828.5,103.22,10.15,779.2303,170.87,-77.8,-0.0998421134291107
2004,147,"PRINCE EDWARD",405.43,103,109.5,12.01,3.29,379.1028,8.3,0.42,0.00110787891833033
2004,97,"KING AND QUEEN",534.11,-26,380.5,-10.53,-0.76,154.6606,149.5326,-159.3026,-1.03001410831201
2004,179,"STAFFORD",348.04,160,105.5,17.97,2.81,3792.029,0,15.16,0.00399785972100952
2004,107,"LOUDOUN",268.54,239,2056.5,523.38,53.45,2510.3395,39.1085,430.8215,0.17161881888884
2004,71,"GILES",310.02,198,31,6.54,5.8,24026.141,0,0.74,0.0000307997859498119
2004,1,"ACCOMACK",500.37,8,5939.5,50.6,0.44,3826.463078,2178.6459,-2128.4859,-0.556254132501001
2004,127,"NEW KENT",517.95,-10,458,-4.88,-0.16,8158.5187,13.3597,-18.0797,-0.00221605179381399
2004,185,"TAZEWELL",414.11,94,245,24.52,2.9,1733.1808,0,21.62,0.0124741746504462
2004,21,"BLAND",397.7,110,135,15.81,1.17,59.985,0,14.64,0.244061015253813
2004,91,"HIGHLAND",253.17,255,20,5.43,2.44,3298.5548,0,2.99,0.000906457579543623
2004,61,"FAUQUIER",314.21,194,657,135.73,42.25,1057.2515,0,93.48,0.0884179402914065
2004,69,"FREDERICK",263.26,245,224.5,58.57,23.48,1689.334,6,29.09,0.0172198037806615
2004,17,"BATH",262.68,245,19,4.96,1.83,4344.0645,0,3.13,0.000720523371602793
2004,3,"ALBEMARLE",356.16,152,1206.5,195.28,18.86,3962.27139,0,176.42,0.0445249662719342
2004,51,"DICKENSON",367.34,141,12,1.8,1.8,1622.2731,0,0,0
2004,49,"CUMBERLAND",430.92,77,167,13.69,1.89,2.242,0,11.8,5.26315789473684
2004,85,"HANOVER",473.58,34,3263,118.14,7.71,5934.875829,86.391,24.039,0.00405046385006685
2004,81,"GREENSVILLE",444.98,63,246,16.5,0.34,985.7455,24.75,-8.59,-0.00871421680342441
2004,5,"ALLEGHANY",273.69,234,99.5,24.79,2.37,15206.467,0,22.42,0.00147437271260971
2004,165,"ROCKINGHAM",230.42,278,5167,1529.6,77.41,8442.8792,11.67,1440.52,0.170619520411947
2004,171,"SHENANDOAH",232.62,275,824,241.3,30.75,1857.7367,5.78,204.77,0.110225523347846
2004,145,"POWHATAN",495.38,13,81,1.12,0.25,40.3521,2.2,-1.33,-0.0329598707378303
2004,175,"SOUTHAMPTON",505.46,3,2815.5,8.99,0.07,2388.279598,81.473,-72.553,-0.0303787714222227
