"Year","County_Code","name","PPT","Irrigation","parm_Tot_Area","All_Irrigation_mg","Small_Farm_Unreported","TOT_DEQ_Withdrawals","IRR_DEQ_withdrawals","Unreported_Deficit_Irr_based","C_tot_lg"
2002,67,"FRANKLIN",273.46,235,882.5,220.84,30.9,414.587,11.81,178.13,0.429656501530439
2002,37,"CHARLOTTE",271.47,237,745,188.02,29.02,116.545,0,159,1.36427989188725
2002,99,"KING GEORGE",194.17,314,350,117.03,7.02,761.1532,0,110.01,0.144530693689523
2002,135,"NOTTOWAY",215.41,293,230.5,71.92,11.86,214.159,0,60.06,0.280445836971596
2002,25,"BRUNSWICK",280.95,227,1395,337.2,7.98,731.753,0,329.22,0.449905910874298
2002,161,"ROANOKE",255.62,252,93,24.96,16.64,7430.9603,20.7,-12.38,-0.00166600271030919
2002,36,"CHARLES CITY",162.91,345,1249,458.85,4.96,291.196,268.67,185.22,0.636066429483921
2002,550,"CHESAPEAKE CITY",266.87,241,260.5,66.85,16.04,1681.9399,0,50.81,0.0302091650242675
2002,11,"APPOMATTOX",200.94,307,74,24.19,10.95,87.302,0,13.24,0.151657464891984
2002,73,"GLOUCESTER",198.37,310,52,17.17,16.01,445.9206,0,1.16,0.0026013599730535
2002,47,"CULPEPER",214.71,293,628,195.94,27.77,598.094,4.11,164.06,0.274304707955606
2002,105,"LEE",232.23,276,179,52.61,15.28,597.42,0,37.33,0.062485353687523
2002,193,"WESTMORELAND",229.79,278,1558,461.22,17.17,663.730732,311.381,132.669,0.199883768527988
2002,143,"PITTSYLVANIA",237,271,3952,1140.46,37.8,1800.3949,86.068,1016.592,0.564649455516676
2002,117,"MECKLENBURG",244.82,263,3696.5,1035.24,23.38,1132.005,5.59,1006.27,0.888927169049607
2002,121,"MONTGOMERY",189.56,318,336,113.78,12.7,8396.0889,17,84.08,0.0100141864862817
2002,89,"HENRY",230.12,278,276.5,81.85,7.84,1815.299008,0,74.01,0.0407701429207193
2002,93,"ISLE OF WIGHT",246.5,262,746.5,208.27,6.97,16964.964678,97.5,103.8,0.00611849196094153
2002,169,"SCOTT",281.04,227,149.5,36.14,12.93,380.623,0,23.21,0.0609789739453475
