Year,Min,Median,Mean,Max
2002,0,0.016867445,0.125109305,3.661327231
2007,0,0.011349854,0.076966855,1.550723343
2012,0.000104494,0.010026457,0.092842339,2.096209535
2017,0.000157664,0.007643717,0.070455593,1.377423924
