"COUNTYFP","YEAR","County_Name","Facility_withdrawal_mg","parm_Coeff","Unreported_Coeff_Based"
1,2002,"ACCOMACK",3444.534,-0.310370869622373,-1069.08
7,2002,"AMELIA",42.093,4.35629543290733,183.37
15,2002,"AUGUSTA",461.554,1.21073205742989,558.82
33,2002,"CAROLINE",960.526,-0.0592958633919174,-56.96
36,2002,"CHARLES CITY",268.67,2.96890538454136,797.66
41,2002,"CHESTERFIELD",55,0.731932649070232,40.26
43,2002,"CLARKE",42.8,0.980337102294103,41.96
47,2002,"CULPEPER",4.11,9.04998122009693,37.2
53,2002,"DINWIDDIE",14.055,12.1093510953536,170.2
57,2002,"ESSEX",140.34,-0.762825994014536,-107.05
59,2002,"FAIRFAX",14.599,-1,-14.6
67,2002,"FRANKLIN",11.81,17.7307366638442,209.4
69,2002,"FREDERICK",9,6.6464349046845,59.82
81,2002,"GREENSVILLE",50.8297,0.548396388033447,27.87
83,2002,"HALIFAX",26.816,101.571720625881,2723.75
85,2002,"HANOVER",236.0457,1.19771816417157,282.72
93,2002,"ISLE OF WIGHT",97.5,3.77909964125212,368.46
97,2002,"KING AND QUEEN",256.91,-0.613183965479662,-157.53
101,2002,"KING WILLIAM",143.51,1.31713771822969,189.02
107,2002,"LOUDOUN",36.6,101.749643839691,3724.04
111,2002,"LUNENBURG",10,23.7433296436494,237.43
117,2002,"MECKLENBURG",5.59,171.749461705626,960.08
119,2002,"MIDDLESEX",13.4,3.85238200383612,51.62
121,2002,"MONTGOMERY",17,1.72171170004054,29.27
125,2002,"NELSON",192.13,-0.382185189312319,-73.43
127,2002,"NEW KENT",11.89,4.54063725105499,53.99
131,2002,"NORTHAMPTON",742.087,1.75264956898963,1300.62
137,2002,"ORANGE",0.45,323.060543049543,145.38
139,2002,"PAGE",34.476,2.00549350780367,69.14
143,2002,"PITTSYLVANIA",86.068,23.1222339199659,1990.08
145,2002,"POWHATAN",0.58,31.5062661144322,18.27
147,2002,"PRINCE EDWARD",38.6,243.704114380151,9406.98
153,2002,"PRINCE WILLIAM",3.4,51.0649825550898,173.62
161,2002,"ROANOKE",20.7,-0.935024154589372,-19.35
165,2002,"ROCKINGHAM",276.896,3.17150275505883,878.18
171,2002,"SHENANDOAH",30.277,5.24639536345211,158.85
175,2002,"SOUTHAMPTON",41,4.06897308943295,166.83
177,2002,"SPOTSYLVANIA",60.56,23.1028232286482,1399.11
181,2002,"SURRY",53.203,5.64249604991228,300.2
183,2002,"SUSSEX",38.6,4.84763210073762,187.12
193,2002,"WESTMORELAND",311.381,-0.0785017695294748,-24.44
800,2002,"SUFFOLK CITY",208.64,-0.304622913943818,-63.56
1,2003,"ACCOMACK",3104.2237,-0.310370869622373,-963.46
15,2003,"AUGUSTA",141.597,1.21073205742989,171.44
