Year,Min,Median,Mean,Max
2002,-0.249353294,0.096140089,1.177989362,31.93171608
2007,-0.983574685,0.036368435,0.370056655,8.322747274
2012,-0.982930384,0.009786555,0.186312843,5.46567864
2017,-0.77312347,0.004503683,0.245988086,8.629902799
